noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1175.958251953125,868.1407470703125,1405.3282470703125,1057.3240966796875,1432.2225341796875,1424.224853515625,815.7154541015625,1063.4674072265625,1107.7694091796875,904.6171875
0.1,1250.329833984375,749.6382446289062,918.2957763671875,959.3297119140625,1479.661865234375,1390.261962890625,873.2931518554688,1117.257568359375,1142.231201171875,1104.1505126953125
0.2,1057.2471923828125,1026.7489013671875,1189.30859375,1066.8455810546875,1372.8204345703125,1474.8570556640625,994.4378051757812,909.8443603515625,1259.251708984375,1089.9366455078125
0.3,1118.1458740234375,1119.1304931640625,996.3517456054688,1043.578369140625,1376.138427734375,1167.9632568359375,994.3200073242188,1156.46484375,1245.6572265625,1083.923828125
0.4,1060.5135498046875,891.2828369140625,1016.2903442382812,1073.811279296875,1213.086669921875,1202.101806640625,1027.24072265625,848.36767578125,1176.2564697265625,953.1525268554688
0.5,982.689453125,895.6002807617188,955.8897705078125,986.0274658203125,1155.6331787109375,1054.5506591796875,920.09716796875,833.1603393554688,997.984375,953.1475830078125
0.6,937.0714721679688,859.685546875,1052.502197265625,815.3858642578125,996.29638671875,1015.2863159179688,840.1234130859375,786.8831176757812,876.7498779296875,786.4016723632812
0.7,768.1124877929688,753.6676635742188,845.03564453125,773.7572021484375,1050.5653076171875,756.0595092773438,841.5001831054688,679.9714965820312,853.1583251953125,786.9220581054688
0.8,754.6517333984375,625.7845458984375,769.4400634765625,650.5164794921875,615.1453247070312,664.783447265625,703.5616455078125,718.365234375,658.66845703125,613.146728515625
0.9,571.7401123046875,543.3894653320312,570.1174926757812,646.351806640625,577.9488525390625,593.4835815429688,676.7149658203125,632.1478271484375,515.3902587890625,451.6038513183594
1.0,611.7421264648438,528.8674926757812,577.8350830078125,551.721435546875,570.2422485351562,532.291015625,573.9348754882812,675.6148681640625,558.6942138671875,507.2254943847656
1.1,333.12921142578125,474.01800537109375,356.5216979980469,503.82257080078125,526.8927001953125,485.28662109375,586.3463745117188,536.3246459960938,499.9043884277344,433.815673828125
1.2,358.60418701171875,470.393798828125,366.47637939453125,467.6490173339844,373.3663330078125,410.44744873046875,491.04559326171875,468.0362243652344,365.287109375,485.33538818359375
1.3,332.7238464355469,475.987548828125,297.46026611328125,402.5945739746094,289.36077880859375,353.36328125,468.777587890625,429.96435546875,286.50579833984375,372.8995666503906
1.4,265.461181640625,434.7320251464844,221.841064453125,294.72222900390625,273.1427307128906,356.62628173828125,426.44970703125,547.5476684570312,346.1401062011719,376.5282287597656
1.5,271.05096435546875,416.4803771972656,221.5771026611328,315.56201171875,245.0284881591797,231.03457641601562,406.6471862792969,385.1897888183594,227.4262237548828,275.3934326171875
