noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1831.723388671875,3663.666748046875,2817.97119140625,1071.6102294921875,2936.08544921875,3301.382080078125,710.8638916015625,3665.971923828125,2035.803466796875,1616.727294921875
0.1,1830.483154296875,3620.029296875,2721.956787109375,1061.239990234375,2886.574462890625,3237.970703125,647.8905029296875,3624.5703125,1790.895263671875,1562.5426025390625
0.2,1782.759033203125,3462.45458984375,2543.653564453125,701.3320922851562,2834.73681640625,3033.69384765625,699.932861328125,3557.727783203125,1889.243408203125,1340.705322265625
0.3,1782.5374755859375,3198.784912109375,2323.53759765625,763.5763549804688,2670.02490234375,2893.66552734375,670.5121459960938,3378.550048828125,1386.38818359375,1187.626220703125
0.4,1546.498291015625,2964.09228515625,2073.3994140625,756.779296875,2412.904541015625,2560.932861328125,667.7984619140625,3068.079345703125,1142.5338134765625,1085.480712890625
0.5,1479.924072265625,2643.295654296875,1681.885498046875,776.8549194335938,2131.032470703125,2244.985595703125,648.0360717773438,3118.078369140625,1087.59765625,931.60888671875
0.6,1472.6876220703125,2245.51025390625,1546.352783203125,800.6649169921875,1887.684814453125,2016.199462890625,616.5201416015625,2831.30810546875,744.2821044921875,871.8707275390625
0.7,1341.966796875,2061.58251953125,1284.22607421875,610.5182495117188,1647.122802734375,1541.8681640625,582.3405151367188,2614.554443359375,746.6363525390625,670.9985961914062
0.8,1081.6221923828125,1844.5074462890625,1038.9163818359375,768.0526123046875,1476.8743896484375,1336.0006103515625,617.6716918945312,2252.47705078125,417.9368591308594,674.3140869140625
0.9,780.0812377929688,1658.6177978515625,905.6031494140625,414.74365234375,1152.300048828125,1279.1807861328125,585.8428344726562,2000.3267822265625,388.1355285644531,560.3128662109375
1.0,898.3928833007812,1382.025146484375,712.943603515625,524.3610229492188,1117.181884765625,1227.7891845703125,529.7337036132812,1776.7613525390625,310.1041259765625,436.5149841308594
1.1,767.9369506835938,1026.321533203125,609.8627319335938,431.7525939941406,1037.740478515625,784.9853515625,520.1375732421875,1655.5081787109375,186.90005493164062,405.40972900390625
1.2,566.6778564453125,894.0079956054688,478.98895263671875,214.50076293945312,873.1130981445312,812.8011474609375,507.2897033691406,1375.9490966796875,134.61148071289062,322.9631652832031
1.3,599.3287353515625,908.2713012695312,311.6961364746094,329.42926025390625,824.9456176757812,632.6585693359375,438.9925842285156,1325.936767578125,96.85752868652344,294.9932556152344
1.4,455.9104919433594,714.4598388671875,296.11163330078125,174.61526489257812,721.2318115234375,561.5142211914062,427.70440673828125,1087.578857421875,87.97251892089844,276.9609680175781
1.5,389.11041259765625,652.1359252929688,192.21051025390625,277.81207275390625,578.938232421875,578.4417724609375,419.59307861328125,1110.3277587890625,11.464993476867676,233.5301055908203
