noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1503.5111083984375,2241.9521484375,3411.947998046875,3606.009765625,1511.496337890625,1624.7545166015625,1345.6719970703125,3046.27685546875,1034.6773681640625,1384.184814453125
0.1,1395.336181640625,2216.74462890625,3423.09228515625,3550.639404296875,1728.527587890625,1654.000732421875,1473.210205078125,3057.245361328125,1037.3486328125,1622.891845703125
0.2,1379.832275390625,2231.909912109375,3286.046875,3540.946533203125,1588.0880126953125,1630.3924560546875,1385.379638671875,2983.306640625,1078.2562255859375,1435.0504150390625
0.3,1373.86328125,2427.959716796875,3379.9765625,3499.07861328125,1652.5068359375,1626.322021484375,1358.091064453125,3065.07177734375,891.6480712890625,1555.381103515625
0.4,1358.322021484375,2478.92919921875,3341.413330078125,3409.563720703125,1553.3411865234375,1611.0609130859375,1334.96337890625,3060.57275390625,1044.86962890625,1588.347412109375
0.5,1399.1038818359375,2024.979736328125,3319.25,3499.550048828125,1651.818603515625,1607.8209228515625,1384.783203125,3056.885009765625,1199.131103515625,1562.1552734375
0.6,1351.0604248046875,2404.66650390625,3362.07861328125,3426.740234375,1506.649169921875,1584.454345703125,1380.3751220703125,3050.33642578125,993.7604370117188,1735.1279296875
0.7,1371.155029296875,2512.95458984375,3323.432373046875,3546.380126953125,1588.167724609375,1594.447998046875,1366.0657958984375,3044.0302734375,1133.866943359375,1551.6046142578125
0.8,1310.8028564453125,2181.040771484375,3241.31298828125,3435.24462890625,1601.2021484375,1605.1063232421875,1362.303955078125,3034.29248046875,1013.2176513671875,1450.9130859375
0.9,1290.711669921875,1855.1318359375,3277.5078125,3224.6328125,1606.827392578125,1600.609619140625,1261.544921875,2914.876953125,1039.01904296875,1643.120849609375
1.0,1356.099609375,2232.720458984375,3004.54736328125,3567.48876953125,1579.3505859375,1592.12939453125,1451.165771484375,3019.766357421875,946.4364013671875,1593.555419921875
1.1,1381.933349609375,2406.81494140625,3245.8359375,3526.412841796875,1358.7283935546875,1570.0947265625,1382.1444091796875,2992.71826171875,1065.8634033203125,1537.5400390625
1.2,1336.150146484375,2301.648681640625,3083.22900390625,3462.33154296875,1489.1993408203125,1553.7816162109375,1254.840087890625,2990.63720703125,996.69189453125,1595.7008056640625
1.3,1319.9345703125,1895.3583984375,3212.78076171875,3512.916748046875,1518.739501953125,1558.352294921875,1330.6170654296875,2969.56201171875,1020.1387939453125,1580.040283203125
1.4,1350.497314453125,2054.10107421875,3031.0009765625,3242.42578125,1499.555908203125,1530.6341552734375,1498.648681640625,2947.869384765625,966.0616455078125,1642.732421875
1.5,1244.194091796875,2336.8173828125,3023.64501953125,3209.1904296875,1491.4072265625,1492.358642578125,1306.6041259765625,2925.908203125,934.05224609375,1428.606201171875
