noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1100.917236328125,2364.605712890625,1943.667724609375,2746.642333984375,2921.47119140625,1429.021728515625,1794.7603759765625,2372.326416015625,3283.950439453125,3357.66259765625
0.1,1054.5447998046875,2386.85888671875,1979.740234375,2729.397216796875,2899.87158203125,1388.310791015625,1721.8726806640625,2085.71337890625,3261.632568359375,3364.507080078125
0.2,1032.5360107421875,2315.916748046875,1928.4195556640625,2682.324462890625,2933.761962890625,1368.422119140625,1566.028564453125,2393.1884765625,3247.46923828125,3306.274658203125
0.3,998.5657348632812,2303.75,1841.1539306640625,2657.75244140625,2897.565185546875,1221.912841796875,1597.98193359375,2261.410888671875,3223.61962890625,3247.3251953125
0.4,947.4364013671875,2095.151611328125,1849.6234130859375,2572.35498046875,2856.24755859375,1340.3353271484375,1354.705078125,2285.409423828125,3123.9404296875,3185.398193359375
0.5,871.9537963867188,2155.88623046875,1819.216796875,2204.95361328125,2771.80224609375,1172.559814453125,1084.0908203125,2260.5068359375,3029.27294921875,3103.90380859375
0.6,836.66845703125,2134.373291015625,1756.171875,2285.55419921875,2723.439453125,1236.876220703125,899.5715942382812,2030.687744140625,2968.384521484375,3025.8349609375
0.7,795.8052978515625,1956.1588134765625,1721.8472900390625,1986.5745849609375,2653.785888671875,1067.690185546875,891.5968017578125,1860.4501953125,2757.002685546875,2879.644775390625
0.8,769.9254150390625,2023.3052978515625,1541.081298828125,2077.640625,2466.97314453125,1104.834228515625,730.7843017578125,1893.066162109375,2740.09423828125,2796.07080078125
0.9,684.1812133789062,1950.312744140625,1496.147216796875,1881.2418212890625,2454.022705078125,1217.6820068359375,595.1510009765625,1588.3651123046875,2300.69677734375,2629.301025390625
1.0,626.9288330078125,1907.7757568359375,1539.1597900390625,1755.146728515625,2351.1455078125,886.1614990234375,500.59478759765625,1354.371826171875,2391.304443359375,2593.8857421875
1.1,609.5506591796875,1766.8453369140625,1428.365234375,1569.2254638671875,2211.5693359375,1103.062744140625,359.6560363769531,1351.4813232421875,2250.181640625,2362.612548828125
1.2,584.0936279296875,1779.1751708984375,1423.9910888671875,1396.2371826171875,2143.58056640625,949.4796752929688,266.760009765625,1074.552490234375,1777.51171875,2227.51611328125
1.3,537.7774658203125,1772.763916015625,1361.8602294921875,1418.8912353515625,1983.130126953125,925.3192138671875,263.6902160644531,883.4739990234375,1758.1851806640625,2269.66650390625
1.4,489.7928771972656,1560.4146728515625,1232.74169921875,1221.218994140625,1835.259521484375,790.6041259765625,180.38851928710938,824.9871826171875,1835.481201171875,1765.56640625
1.5,470.58184814453125,1561.3892822265625,1130.5087890625,1127.7288818359375,1706.953125,632.4354858398438,173.455322265625,683.3538818359375,1478.4228515625,1846.425537109375
