0,1,2,3,4,5,6,7
tensor(1.2454),tensor(9.5150e-05),tensor(0.0674),tensor(-0.1016),tensor(0.3013),tensor(0.0737),tensor(0.4451),tensor(0.9573)
tensor(1.2443),tensor(0.0014),tensor(0.0316),tensor(-0.1744),tensor(0.0354),tensor(-0.0877),tensor(0.1747),tensor(0.8628)
tensor(1.2426),tensor(0.0016),tensor(0.0179),tensor(-0.2463),tensor(0.0257),tensor(-0.0141),tensor(0.0358),tensor(0.6147)
tensor(1.2404),tensor(0.0019),tensor(-0.0058),tensor(-0.2998),tensor(0.0333),tensor(0.0659),tensor(-0.0195),tensor(-0.5517)
tensor(1.2377),tensor(-2.8256e-06),tensor(-0.0955),tensor(-0.3901),tensor(-0.5122),tensor(0.0519),tensor(-1.2473),tensor(0.6828)
tensor(1.2342),tensor(-0.0062),tensor(-0.1211),tensor(-0.4820),tensor(-1.0294),tensor(-0.5469),tensor(-1.3086),tensor(1.3248)
tensor(1.2299),tensor(-0.0136),tensor(-0.1045),tensor(-0.5891),tensor(-0.8162),tensor(-0.1606),tensor(-1.6379),tensor(2.6388)
tensor(1.2249),tensor(-0.0209),tensor(-0.0451),tensor(-0.6657),tensor(-1.0229),tensor(-1.1179),tensor(-0.2934),tensor(2.0415)
tensor(1.2193),tensor(-0.0270),tensor(0.0439),tensor(-0.7244),tensor(-0.5089),tensor(-1.1738),tensor(1.0052),tensor(0.6490)
tensor(1.2137),tensor(-0.0336),tensor(0.0553),tensor(-0.6321),tensor(-1.1395),tensor(-1.9042),tensor(0.8172),tensor(0.7877)
tensor(1.2091),tensor(-0.0426),tensor(0.0169),tensor(-0.5257),tensor(-1.1076),tensor(-1.3331),tensor(-0.0097),tensor(-0.6560)
tensor(1.2052),tensor(-0.0546),tensor(-0.0006),tensor(-0.4440),tensor(-1.8897),tensor(-2.1857),tensor(-0.1227),tensor(-0.9426)
tensor(1.2022),tensor(-0.0649),tensor(0.2151),tensor(-0.3159),tensor(-0.7041),tensor(-1.3225),tensor(0.4762),tensor(-0.2189)
tensor(1.2001),tensor(-0.0668),tensor(0.3740),tensor(-0.1973),tensor(0.2490),tensor(-0.5163),tensor(0.7933),tensor(-0.1019)
tensor(1.1991),tensor(-0.0628),tensor(0.3262),tensor(-0.0519),tensor(0.7396),tensor(0.4626),tensor(0.2402),tensor(-0.7126)
tensor(1.1991),tensor(-0.0549),tensor(0.4105),tensor(0.0399),tensor(1.2394),tensor(0.3763),tensor(1.4311),tensor(-1.4221)
tensor(1.1999),tensor(-0.0489),tensor(0.1792),tensor(0.1549),tensor(0.2893),tensor(-0.0501),tensor(0.5953),tensor(-1.9940)
tensor(1.2013),tensor(-0.0462),tensor(0.0992),tensor(0.1986),tensor(0.3951),tensor(0.3847),tensor(0.1810),tensor(-1.6974)
tensor(1.2029),tensor(-0.0457),tensor(-0.0433),tensor(0.1973),tensor(-0.2698),tensor(0.2266),tensor(-0.8294),tensor(-0.7542)
tensor(1.2046),tensor(-0.0532),tensor(-0.2176),tensor(0.2191),tensor(-1.5994),tensor(-0.9923),tensor(-1.2216),tensor(-0.5548)
tensor(1.2064),tensor(-0.0604),tensor(-0.1499),tensor(0.2469),tensor(-0.2035),tensor(0.4561),tensor(-0.8405),tensor(-0.8755)
tensor(1.2080),tensor(-0.0635),tensor(-0.0756),tensor(0.1461),tensor(-0.5809),tensor(-0.7570),tensor(0.3916),tensor(0.0716)
tensor(1.2090),tensor(-0.0642),tensor(-0.0414),tensor(0.0915),tensor(0.4056),tensor(0.6515),tensor(-0.1569),tensor(0.3429)
tensor(1.2096),tensor(-0.0599),tensor(-0.0135),tensor(0.0632),tensor(0.6750),tensor(0.6693),tensor(0.3715),tensor(-0.1564)
tensor(1.2101),tensor(-0.0521),tensor(-0.0820),tensor(0.0636),tensor(1.2702),tensor(2.0417),tensor(-0.7379),tensor(-0.1371)
tensor(1.2108),tensor(-0.0465),tensor(-0.2606),tensor(0.1255),tensor(0.1260),tensor(0.9774),tensor(-0.9095),tensor(-0.8921)
tensor(1.2118),tensor(-0.0491),tensor(-0.3792),tensor(0.1085),tensor(-0.7591),tensor(0.2239),tensor(-1.3126),tensor(-0.3811)
tensor(1.2126),tensor(-0.0558),tensor(-0.3951),tensor(0.0942),tensor(-0.9266),tensor(-0.1995),tensor(-0.8550),tensor(-0.3877)
tensor(1.2132),tensor(-0.0577),tensor(-0.2405),tensor(0.0484),tensor(0.4562),tensor(0.7768),tensor(0.1677),tensor(-0.3339)
tensor(1.2132),tensor(-0.0570),tensor(-0.2657),tensor(-0.0308),tensor(-0.2815),tensor(-0.2698),tensor(0.4029),tensor(0.1574)
tensor(1.2130),tensor(-0.0586),tensor(-0.2844),tensor(-0.0281),tensor(-0.1358),tensor(-0.1974),tensor(0.6728),tensor(-0.4269)
tensor(1.2125),tensor(-0.0589),tensor(-0.2199),tensor(-0.0986),tensor(0.0768),tensor(-0.4033),tensor(1.3860),tensor(-0.1606)
tensor(1.2113),tensor(-0.0580),tensor(-0.1311),tensor(-0.2083),tensor(0.1445),tensor(-0.9313),tensor(2.3954),tensor(0.9623)
tensor(1.2095),tensor(-0.0547),tensor(-0.1803),tensor(-0.2191),tensor(0.6044),tensor(0.2329),tensor(1.2707),tensor(0.5141)
tensor(1.2079),tensor(-0.0526),tensor(-0.3196),tensor(-0.1575),tensor(-0.0727),tensor(0.1236),tensor(0.2084),tensor(0.0750)
tensor(1.2068),tensor(-0.0535),tensor(-0.2945),tensor(-0.1198),tensor(-0.1464),tensor(0.1335),tensor(-0.1015),tensor(0.5738)
tensor(1.2061),tensor(-0.0561),tensor(-0.3301),tensor(-0.0662),tensor(-0.4931),tensor(0.3145),tensor(-1.2781),tensor(1.7143)
tensor(1.2058),tensor(-0.0570),tensor(-0.2083),tensor(-0.0167),tensor(0.2298),tensor(0.7312),tensor(-0.5945),tensor(1.1352)
tensor(1.2056),tensor(-0.0615),tensor(-0.4035),tensor(-0.0357),tensor(-1.3349),tensor(-0.3320),tensor(-1.7300),tensor(0.3075)
tensor(1.2051),tensor(-0.0747),tensor(-0.4818),tensor(-0.0769),tensor(-1.9719),tensor(-0.7435),tensor(-2.1629),tensor(-0.0898)
tensor(1.2044),tensor(-0.0888),tensor(-0.4552),tensor(-0.0746),tensor(-1.5333),tensor(-0.3747),tensor(-1.8168),tensor(-0.4516)
tensor(1.2042),tensor(-0.0968),tensor(-0.3973),tensor(0.0147),tensor(-0.4731),tensor(0.2669),tensor(-0.5814),tensor(-1.5054)
tensor(1.2046),tensor(-0.1037),tensor(-0.5334),tensor(0.0892),tensor(-1.2552),tensor(-0.6201),tensor(-0.3798),tensor(-1.9047)
tensor(1.2052),tensor(-0.1122),tensor(-0.4839),tensor(0.0648),tensor(-0.8620),tensor(-0.4843),tensor(0.0691),tensor(-1.1551)
tensor(1.2055),tensor(-0.1226),tensor(-0.5878),tensor(-0.0106),tensor(-1.7540),tensor(-0.9861),tensor(-0.9648),tensor(0.2389)
tensor(1.2052),tensor(-0.1403),tensor(-0.7336),tensor(-0.0601),tensor(-2.6728),tensor(-1.5245),tensor(-1.7812),tensor(0.6235)
tensor(1.2049),tensor(-0.1594),tensor(-0.7354),tensor(-0.0166),tensor(-2.0869),tensor(-1.0478),tensor(-1.2224),tensor(-0.2965)
tensor(1.2047),tensor(-0.1755),tensor(-0.7833),tensor(-0.0369),tensor(-1.9471),tensor(-0.6531),tensor(-1.5698),tensor(-0.0719)
tensor(1.2040),tensor(-0.1912),tensor(-0.7339),tensor(-0.1289),tensor(-1.9906),tensor(-1.0636),tensor(-1.0437),tensor(0.8217)
tensor(1.2026),tensor(-0.2062),tensor(-0.6795),tensor(-0.1980),tensor(-1.7554),tensor(-0.9119),tensor(-0.9608),tensor(1.9497)
tensor(1.2478),tensor(-0.0059),tensor(-0.0335),tensor(-0.0771),tensor(-0.9911),tensor(-1.4258),tensor(0.4829),tensor(-0.2164)
tensor(1.2469),tensor(-0.0137),tensor(-0.0460),tensor(-0.1586),tensor(-0.9360),tensor(-1.1924),tensor(0.1604),tensor(0.0128)
tensor(1.2452),tensor(-0.0171),tensor(0.0282),tensor(-0.2581),tensor(0.0911),tensor(0.0698),tensor(0.0010),tensor(1.0112)
tensor(1.2429),tensor(-0.0158),tensor(0.0258),tensor(-0.3268),tensor(0.2395),tensor(0.2959),tensor(-0.0631),tensor(0.5695)
tensor(1.2400),tensor(-0.0134),tensor(-0.0107),tensor(-0.3904),tensor(0.3674),tensor(0.7865),tensor(-0.6546),tensor(0.1263)
tensor(1.2366),tensor(-0.0048),tensor(0.1055),tensor(-0.4640),tensor(1.7927),tensor(2.1576),tensor(-0.0400),tensor(-0.6572)
tensor(1.2325),tensor(0.0058),tensor(0.0662),tensor(-0.5544),tensor(0.8675),tensor(0.9577),tensor(0.1226),tensor(-0.0875)
tensor(1.2277),tensor(0.0099),tensor(0.0272),tensor(-0.6514),tensor(0.2161),tensor(0.3060),tensor(-0.1650),tensor(1.0822)
tensor(1.2222),tensor(0.0062),tensor(-0.0753),tensor(-0.7274),tensor(-1.1442),tensor(-1.1237),tensor(-0.5051),tensor(1.4479)
tensor(1.2159),tensor(0.0013),tensor(0.0663),tensor(-0.8299),tensor(-0.1341),tensor(-0.5567),tensor(0.6114),tensor(1.8470)
tensor(1.2097),tensor(-0.0024),tensor(0.0552),tensor(-0.6889),tensor(-0.8585),tensor(-1.3749),tensor(0.4879),tensor(0.7523)
tensor(1.2048),tensor(-0.0081),tensor(0.0575),tensor(-0.5502),tensor(-0.5758),tensor(-0.6347),tensor(-0.1853),tensor(-0.6503)
tensor(1.2009),tensor(-0.0086),tensor(0.0940),tensor(-0.3838),tensor(0.4722),tensor(0.6579),tensor(-0.1721),tensor(-1.8039)
tensor(1.1986),tensor(-0.0038),tensor(0.1000),tensor(-0.1911),tensor(0.7096),tensor(0.8499),tensor(-0.0502),tensor(-1.1485)
tensor(1.1978),tensor(-2.3748e-05),tensor(-0.0112),tensor(-0.0268),tensor(0.2440),tensor(0.3865),tensor(0.0040),tensor(-1.3067)
tensor(1.1979),tensor(0.0011),tensor(0.0208),tensor(0.0386),tensor(0.0441),tensor(0.0461),tensor(0.0031),tensor(-0.1415)
tensor(1.1984),tensor(0.0017),tensor(0.0790),tensor(0.0797),tensor(0.1013),tensor(0.0003),tensor(0.0280),tensor(0.5017)
tensor(1.1991),tensor(-0.0035),tensor(-0.0262),tensor(0.1099),tensor(-1.3954),tensor(-1.3695),tensor(-0.6721),tensor(1.2256)
tensor(1.2002),tensor(-0.0086),tensor(0.2003),tensor(0.1538),tensor(0.1181),tensor(-0.3105),tensor(0.3344),tensor(1.3800)
tensor(1.2015),tensor(-0.0030),tensor(0.2804),tensor(0.1641),tensor(1.0909),tensor(0.6421),tensor(0.6958),tensor(0.1423)
tensor(1.2029),tensor(0.0034),tensor(0.2805),tensor(0.1858),tensor(0.5248),tensor(0.1070),tensor(0.2834),tensor(1.3347)
tensor(1.2044),tensor(0.0036),tensor(0.2408),tensor(0.2064),tensor(-0.4743),tensor(-0.9603),tensor(0.0311),tensor(1.8954)
tensor(1.2062),tensor(-0.0023),tensor(0.2665),tensor(0.2431),tensor(-0.9765),tensor(-1.5950),tensor(-0.0582),tensor(2.8521)
tensor(1.2082),tensor(-0.0165),tensor(0.0913),tensor(0.2398),tensor(-2.5809),tensor(-2.7268),tensor(-1.2366),tensor(2.8530)
tensor(1.2101),tensor(-0.0331),tensor(0.1815),tensor(0.2341),tensor(-1.5804),tensor(-1.6249),tensor(-1.1327),tensor(2.4781)
tensor(1.2118),tensor(-0.0434),tensor(0.1318),tensor(0.2078),tensor(-0.9779),tensor(-0.0541),tensor(-2.5915),tensor(2.4654)
tensor(1.2133),tensor(-0.0517),tensor(0.0353),tensor(0.1573),tensor(-1.1130),tensor(0.4799),tensor(-3.6809),tensor(1.6718)
tensor(1.2143),tensor(-0.0592),tensor(0.0220),tensor(0.0808),tensor(-0.7510),tensor(1.2111),tensor(-4.1439),tensor(1.4526)
tensor(1.2146),tensor(-0.0687),tensor(-0.0199),tensor(-0.0023),tensor(-1.6140),tensor(0.0085),tensor(-3.7172),tensor(0.8251)
tensor(1.2142),tensor(-0.0803),tensor(0.0513),tensor(-0.0822),tensor(-1.2888),tensor(-0.0729),tensor(-2.8615),tensor(0.6195)
tensor(1.2132),tensor(-0.0910),tensor(0.0456),tensor(-0.1705),tensor(-1.3875),tensor(-0.1575),tensor(-2.9108),tensor(0.8177)
tensor(1.2118),tensor(-0.0999),tensor(0.1619),tensor(-0.1903),tensor(-0.8414),tensor(0.1298),tensor(-2.5259),tensor(1.7433)
tensor(1.2103),tensor(-0.1020),tensor(0.3187),tensor(-0.1751),tensor(0.3262),tensor(0.7762),tensor(-1.2837),tensor(0.4925)
tensor(1.2089),tensor(-0.0968),tensor(0.4275),tensor(-0.1602),tensor(0.9565),tensor(1.3849),tensor(-1.3407),tensor(1.4849)
tensor(1.2080),tensor(-0.0865),tensor(0.6246),tensor(-0.0761),tensor(1.6183),tensor(1.4135),tensor(-0.3911),tensor(2.2189)
tensor(1.2075),tensor(-0.0757),tensor(0.6426),tensor(-0.0411),tensor(1.0761),tensor(0.8333),tensor(-0.6893),tensor(2.9188)
tensor(1.2072),tensor(-0.0688),tensor(0.6091),tensor(-0.0294),tensor(0.6520),tensor(0.9468),tensor(-1.9363),tensor(4.0451)
tensor(1.2072),tensor(-0.0597),tensor(0.7175),tensor(0.0335),tensor(1.2822),tensor(1.6340),tensor(-2.0540),tensor(4.4726)
tensor(1.2074),tensor(-0.0549),tensor(0.6077),tensor(0.0123),tensor(0.0123),tensor(0.6139),tensor(-2.8095),tensor(4.3842)
tensor(1.2075),tensor(-0.0577),tensor(0.5788),tensor(-0.0002),tensor(-0.7230),tensor(-0.0903),tensor(-3.1221),tensor(4.6995)
tensor(1.2077),tensor(-0.0621),tensor(0.7420),tensor(0.0653),tensor(-0.3593),tensor(-0.2001),tensor(-2.5264),tensor(5.7547)
tensor(1.2080),tensor(-0.0707),tensor(0.6201),tensor(0.0030),tensor(-1.7974),tensor(-1.2593),tensor(-3.6988),tensor(6.6028)
tensor(1.2081),tensor(-0.0829),tensor(0.6997),tensor(0.0006),tensor(-1.2396),tensor(-0.5400),tensor(-4.0117),tensor(7.1409)
tensor(1.2077),tensor(-0.0968),tensor(0.6092),tensor(-0.1034),tensor(-2.2260),tensor(-1.0958),tensor(-5.2095),tensor(8.2651)
tensor(1.2067),tensor(-0.1111),tensor(0.6855),tensor(-0.1302),tensor(-1.3442),tensor(-0.1040),tensor(-5.1758),tensor(7.7298)
tensor(1.2054),tensor(-0.1223),tensor(0.7188),tensor(-0.1971),tensor(-1.4716),tensor(-0.3113),tensor(-5.2791),tensor(8.3482)
tensor(1.2035),tensor(-0.1315),tensor(0.7011),tensor(-0.2961),tensor(-0.8321),tensor(0.8368),tensor(-5.9448),tensor(7.4622)
tensor(1.2008),tensor(-0.1417),tensor(0.5738),tensor(-0.3503),tensor(-1.7052),tensor(0.0823),tensor(-6.2548),tensor(3.8497)
tensor(1.1978),tensor(-0.1557),tensor(0.5179),tensor(-0.4199),tensor(-1.7943),tensor(0.1156),tensor(-6.4599),tensor(1.0037)
tensor(1.1940),tensor(-0.1695),tensor(0.4915),tensor(-0.5278),tensor(-1.6438),tensor(0.4360),tensor(-6.7476),tensor(-0.3185)
tensor(1.1895),tensor(-0.1803),tensor(0.5266),tensor(-0.6063),tensor(-1.1109),tensor(0.9668),tensor(-6.5674),tensor(-0.8587)
tensor(1.1843),tensor(-0.1905),tensor(0.5318),tensor(-0.6981),tensor(-1.3822),tensor(0.4092),tensor(-6.1485),tensor(-1.0170)
tensor(1.1780),tensor(-0.2041),tensor(0.4564),tensor(-0.8791),tensor(-2.0227),tensor(-0.1227),tensor(-6.6389),tensor(-1.0113)
tensor(1.2536),tensor(-0.0034),tensor(-0.0514),tensor(-0.0902),tensor(-0.7634),tensor(-0.7888),tensor(-0.2518),tensor(0.7764)
tensor(1.2526),tensor(-0.0132),tensor(-0.1359),tensor(-0.1606),tensor(-1.6915),tensor(-1.6922),tensor(-0.5848),tensor(0.5496)
tensor(1.2510),tensor(-0.0256),tensor(-0.1706),tensor(-0.2484),tensor(-1.4102),tensor(-0.8086),tensor(-1.6393),tensor(1.2632)
tensor(1.2487),tensor(-0.0366),tensor(-0.1146),tensor(-0.3228),tensor(-1.3521),tensor(-1.2954),tensor(-0.5746),tensor(0.4707)
tensor(1.2459),tensor(-0.0446),tensor(-0.0628),tensor(-0.3833),tensor(-0.6423),tensor(-0.6283),tensor(-0.2019),tensor(-0.4928)
tensor(1.2425),tensor(-0.0457),tensor(0.0626),tensor(-0.4529),tensor(0.3655),tensor(-0.0582),tensor(0.9718),tensor(-1.1843)
tensor(1.2387),tensor(-0.0392),tensor(0.1691),tensor(-0.5180),tensor(1.2589),tensor(0.4315),tensor(2.0726),tensor(-2.2876)
tensor(1.2341),tensor(-0.0274),tensor(0.1549),tensor(-0.6179),tensor(1.6160),tensor(1.3352),tensor(1.1073),tensor(-1.0148)
tensor(1.2289),tensor(-0.0130),tensor(0.1345),tensor(-0.6979),tensor(2.0094),tensor(2.2359),tensor(0.2911),tensor(-0.7285)
tensor(1.2230),tensor(0.0045),tensor(0.1288),tensor(-0.7758),tensor(2.3689),tensor(2.8953),tensor(-0.1278),tensor(-0.8899)
tensor(1.2165),tensor(0.0170),tensor(0.0011),tensor(-0.8014),tensor(0.8475),tensor(1.1718),tensor(-0.1884),tensor(-0.7056)
tensor(1.2103),tensor(0.0193),tensor(-0.1477),tensor(-0.7446),tensor(-0.1836),tensor(0.2412),tensor(-0.6328),tensor(1.0466)
tensor(1.2051),tensor(0.0167),tensor(-0.2262),tensor(-0.5349),tensor(-0.4259),tensor(-0.1104),tensor(-0.3371),tensor(0.6681)
tensor(1.2016),tensor(0.0134),tensor(-0.1268),tensor(-0.3555),tensor(-0.3840),tensor(-0.3099),tensor(-0.1893),tensor(1.5386)
tensor(1.1995),tensor(0.0082),tensor(-0.1972),tensor(-0.1698),tensor(-0.9261),tensor(-0.8531),tensor(-0.1976),tensor(0.8283)
tensor(1.1986),tensor(0.0014),tensor(-0.2060),tensor(-0.0511),tensor(-0.7867),tensor(-0.4726),tensor(-0.5711),tensor(0.8046)
tensor(1.1985),tensor(-0.0060),tensor(-0.2530),tensor(0.0188),tensor(-1.0811),tensor(-0.2799),tensor(-1.5512),tensor(1.3654)
tensor(1.1990),tensor(-0.0136),tensor(-0.2380),tensor(0.0846),tensor(-0.8290),tensor(-0.1573),tensor(-1.1508),tensor(0.5727)
tensor(1.1998),tensor(-0.0199),tensor(-0.1125),tensor(0.1260),tensor(-0.7474),tensor(-0.6704),tensor(-0.3185),tensor(1.2214)
