noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3169.43115234375,3245.147705078125,1059.563232421875,2551.517333984375,2602.4013671875,2830.713623046875,1762.8330078125,247.7722930908203,3255.33544921875,3248.38720703125
0.1,3204.2841796875,3240.40283203125,603.0386962890625,1903.2310791015625,1798.6513671875,2809.94873046875,1420.6036376953125,246.4082794189453,3223.7919921875,3241.32275390625
0.2,1911.6796875,3135.049560546875,468.9303283691406,1605.958740234375,1540.83349609375,2454.02685546875,943.0855712890625,243.1220703125,3069.48095703125,2366.48779296875
0.3,1270.1365966796875,2602.2978515625,416.6817321777344,1033.2694091796875,1579.018798828125,2059.201171875,1063.211669921875,236.81442260742188,2596.666015625,1131.3936767578125
0.4,932.5595703125,2018.474609375,372.7778625488281,765.9458618164062,1008.3117065429688,1165.297607421875,853.5368041992188,212.4955596923828,1640.8411865234375,409.3360290527344
0.5,702.8507690429688,1497.3582763671875,348.91729736328125,504.2379455566406,637.7547607421875,1072.404052734375,684.422119140625,192.77755737304688,913.083984375,331.26055908203125
0.6,487.09649658203125,788.270751953125,327.69439697265625,520.9610595703125,384.74957275390625,692.1556396484375,624.6947021484375,197.9148406982422,978.2542724609375,221.4546356201172
0.7,334.10504150390625,492.09442138671875,333.73297119140625,396.6639404296875,327.70635986328125,638.4803466796875,551.2490234375,161.01144409179688,599.5574340820312,157.50332641601562
0.8,219.59658813476562,342.4390869140625,317.53338623046875,350.8180847167969,257.1509094238281,472.0,427.6490783691406,156.12928771972656,641.47119140625,179.25965881347656
0.9,251.33987426757812,369.8665771484375,282.3735656738281,240.4680938720703,260.34014892578125,437.09429931640625,324.11419677734375,134.36090087890625,475.0077209472656,129.69052124023438
1.0,138.92135620117188,326.0924987792969,272.3538513183594,236.37283325195312,277.8076477050781,434.90301513671875,341.281982421875,147.99404907226562,467.3489685058594,133.8918914794922
1.1,175.02899169921875,311.5660095214844,240.4550018310547,217.2703399658203,200.4933624267578,401.6148681640625,260.0776062011719,135.22219848632812,338.45404052734375,88.30342102050781
1.2,149.2191619873047,275.57952880859375,215.83901977539062,223.9080810546875,236.2824249267578,377.0250244140625,200.1514892578125,121.2096176147461,326.4348449707031,87.63810729980469
1.3,103.8508529663086,289.99737548828125,189.88766479492188,176.10702514648438,188.10403442382812,336.482666015625,251.5251007080078,127.6363525390625,321.7778625488281,86.82081604003906
1.4,46.97367858886719,283.8351135253906,166.83526611328125,183.728271484375,177.39761352539062,343.38409423828125,199.8917694091797,108.47444152832031,237.6313018798828,100.43641662597656
1.5,103.76190185546875,291.88629150390625,175.90785217285156,200.4076385498047,165.37283325195312,351.2481994628906,193.94041442871094,98.3504867553711,247.16629028320312,66.93805694580078
