noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3171.572265625,1617.2587890625,1642.8060302734375,903.9556884765625,2808.94677734375,1191.93896484375,3096.01611328125,2720.26318359375,2035.3193359375,1160.8594970703125
0.1,2962.10986328125,1545.595947265625,1333.8382568359375,854.3504638671875,2733.708251953125,1650.4976806640625,2882.700927734375,2468.2529296875,2035.486328125,1109.434814453125
0.2,2781.6123046875,1154.5389404296875,1572.572509765625,822.0543212890625,2913.80908203125,1323.723388671875,2748.83349609375,2494.031005859375,2273.093994140625,1133.9603271484375
0.3,1762.2523193359375,1128.813720703125,1232.2567138671875,655.9889526367188,2781.531005859375,1047.3697509765625,1007.8160400390625,2341.569091796875,1280.6328125,925.7610473632812
0.4,1152.1531982421875,730.8873291015625,970.2353515625,615.7970581054688,2211.95458984375,1101.506591796875,694.685791015625,2065.474609375,712.6470947265625,925.0822143554688
0.5,716.2364501953125,665.5021362304688,1173.4417724609375,537.7156372070312,1796.2857666015625,963.4352416992188,487.7198181152344,1513.3408203125,595.5328979492188,644.4360961914062
0.6,596.3103637695312,406.4422607421875,819.5187377929688,541.268310546875,1011.29296875,590.58740234375,533.2907104492188,1138.865966796875,491.314453125,507.01580810546875
0.7,445.0845642089844,453.5277404785156,701.9724731445312,562.7147216796875,703.0020751953125,574.3058471679688,435.777587890625,792.9273681640625,338.24468994140625,468.47088623046875
0.8,402.17913818359375,400.75042724609375,507.0301818847656,466.379150390625,451.7088317871094,487.62091064453125,386.266845703125,627.1913452148438,386.7416076660156,479.73663330078125
0.9,384.4710693359375,344.667236328125,447.1136169433594,454.2557067871094,437.2177734375,415.528564453125,411.565185546875,615.1971435546875,257.248779296875,467.76483154296875
1.0,378.1634521484375,319.622802734375,467.2108459472656,399.95135498046875,364.5732727050781,404.28570556640625,354.9804382324219,430.1612854003906,264.1314697265625,475.653564453125
1.1,363.98883056640625,249.65328979492188,382.26885986328125,408.25152587890625,221.4636993408203,366.15716552734375,323.08868408203125,478.85540771484375,285.7018127441406,353.2419128417969
1.2,322.4878234863281,226.05349731445312,231.7733917236328,349.1676940917969,309.1744384765625,231.00015258789062,215.91165161132812,385.508544921875,210.08993530273438,363.23126220703125
1.3,394.29754638671875,112.08552551269531,98.91134643554688,353.06781005859375,247.08395385742188,280.8074035644531,139.7510986328125,348.6084899902344,199.29014587402344,325.7159118652344
1.4,314.1846618652344,133.22950744628906,113.67427825927734,241.1240997314453,77.7714614868164,252.47280883789062,218.0806884765625,346.1009521484375,247.72207641601562,216.44644165039062
1.5,290.76641845703125,179.83644104003906,76.5553207397461,276.99224853515625,135.5825958251953,228.01425170898438,115.0744857788086,281.789306640625,224.0407257080078,202.79061889648438
