noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2220.0470506256293,2150.476998685105,2160.8285683230706,2250.117040969794,2204.8228244068437,2144.437162507352,2145.7098221159085,2088.9355456505373,2144.9378726497216,2180.496291980706
0.1,1488.60991462038,1457.507567718333,1575.4366379617582,1607.269222641138,1604.4755902179863,1576.1012994315565,1512.441957686368,1283.1362981823136,1287.5861982360975,1566.7805577239658
0.2,875.9609679345906,659.252125980324,936.471885647119,844.9056039929173,753.4779005750325,936.9655570158604,426.81916031343235,769.2623398185625,724.2214745260419,908.8335533642188
0.3,-37.51473022953367,156.22453417233538,528.1102108644338,460.0838559625434,165.61819577937467,510.28264131218884,-144.13415292113248,219.9822747596549,74.97118995772216,280.58626243520035
0.4,-219.25118804840332,-245.02221306389092,-106.43266882220246,-151.63090387257586,-182.16215488322854,-5.293059405092781,-277.7240895182025,-255.53063742698083,-240.88958135889666,-104.23312833556129
0.5,-183.4668148235157,-591.9617114759507,-247.53065065486385,-351.7703810301937,-341.59428933227923,-254.21637053379035,-381.35974081433864,-509.3475985281428,-253.93860885540343,-350.8490285836902
0.6,-303.61831582427374,-277.65233106478837,-253.73716261390382,-367.56919487495554,-324.78837913013433,-413.34016112313475,-309.04889521707173,-400.6862820897222,-242.05423283700793,-404.62153107653177
0.7,-295.27514737284775,-292.36883935429444,-181.52818357256348,-423.76911149623254,-287.5701672310464,-361.26651325136555,-349.3854422853475,-363.42348613296815,-416.1691773982701,-304.10895893411157
0.8,-176.5107567478977,-426.4545545537052,-407.9258057822469,-187.8065431633029,-243.58049094387474,-456.21088234332154,-185.80539660591603,-286.4718557447243,-176.4284363592548,-388.7972748934842
0.9,-321.06531553658726,-420.21762750090085,-491.20808414678413,-296.99211257699864,-253.5699702634402,-113.74406729141617,-261.74626496129196,-414.2476338315652,-294.77652004026345,-233.98297569765714
1.0,-202.4182235497745,-216.83270914876343,-179.38742400892104,-300.40258635621626,-171.9515816742759,-608.5782690660917,-253.51117885441778,-373.59981917252446,-232.9642467677266,-250.09440281137412
1.1,-212.5737231125253,-326.01497846506516,-156.46854618937869,-304.14572489313724,-244.78495160515254,-204.35110254174637,-280.9498118663587,-254.74410059142355,-257.8233884624073,-85.1017239369557
1.2,-191.89631262886593,-189.00359892353697,-187.95025864261027,-247.5870438210211,-172.65121386409905,-332.3392147411058,-205.86679662995806,-89.99816885450119,-95.49879802787146,-273.24611670039025
1.3,-299.4989856781414,-259.2900481958002,-345.64878543206254,-150.62273132067568,-449.9126626587207,-96.86386652418634,-106.89456433615919,-100.15035188575612,-485.13107921283125,-276.4527314147232
1.4,-460.5908546612174,-368.8043772960889,-90.43587300439728,-324.50860474266466,-293.65796667287935,-55.5503666179967,-193.9811721200952,-296.7552817258676,-248.55754000402504,-87.1973053658171
1.5,-107.80628163817713,-178.104086401591,-68.70934906825084,-88.15203743265376,-493.5763334281256,-274.48013901207395,-296.02407417678876,-195.28378076218578,-172.61768565658238,-169.87558719728605
