noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
0.0,-112.50685472218049,-218.3466140564225,513.62075233676,-123.37340846511555,1753.2622510380825,-245.84532622347055,-138.7949748530444,1252.0272872008918,-140.5611333368283,-122.23287102992052,-130.3387179091456,879.9483700898606,-41.90135065044935,-117.16535003091194,1082.3334773389543,-135.86967170270964,-188.93633622667755,-126.01098470992733,-127.25978781024178,1069.2103189435006,-193.70186996830495,-99.93202286379582,-159.3167853347746,-144.13767103737302,-134.06857926793032,-143.01349840786196,-72.49684499132437,1374.6936689918896,-157.18074122604054,-119.85195676312443
0.1,-117.29028228417727,-217.5497214245413,466.50150177617286,-120.5783109817359,1724.4063011285311,-243.63567248893,-145.0715933407673,1245.375396814179,-143.97366892569335,-126.39159633409307,-131.3478829403361,871.4792023195927,1.859637344746346,-119.98903768401298,1065.9256952463631,-138.71334471303138,-186.73004050519722,-127.56755488967295,-128.631737054864,1039.017191642025,-197.83334291606553,-94.39420376382803,-157.81331901267907,-147.4132112428514,-133.10366288250333,-145.21763837347476,-72.90791861189956,1366.837214517736,-137.1559671865707,-119.72855150608646
0.2,-126.74381604207151,-215.00494286899635,445.61556467131004,-108.76767983743414,1695.845868376832,-240.3598971199091,-149.58902651543923,1226.2682560852606,-144.84432790268548,-135.0878034246999,-130.68198966752473,829.1391744213472,52.75288634193545,-124.43555369201768,1019.1441159300186,-146.07019015003547,-162.02276994806758,-125.8711218844307,-132.4529521484199,1014.8157077810827,-203.14511589876193,-42.48563411137052,-148.76934241383168,-151.48376793581585,-133.0061587866673,-149.51539193646337,-86.07545073261721,1320.7253187107585,-129.6308209624852,-119.63758619147507
0.3,-139.67294353282279,-212.2151285437817,445.6211618317483,-93.39351043475929,1617.4371924295417,-238.38541289674262,-152.6057923395036,1187.8314505552069,-144.30443151582324,-146.6661316051574,-131.86349461053294,776.8766143188708,81.53056685028915,-121.35299100339394,962.70985360264,-152.84328574408602,-143.78441313671334,-126.25126006712651,-134.8337407584373,961.9527582754278,-210.18055888888156,-7.131690351918635,-137.59334321478372,-155.23617255251503,-130.60786520516342,-156.8485555304156,-118.5972729102139,1259.389471038908,-122.0105478345935,-114.38404871938118
0.4,-151.1794431970489,-207.31491370074127,441.9325683102444,-83.27771422310221,1504.3273209543895,-241.11933854656604,-154.58923275929234,1132.1204882999887,-148.12921582297207,-158.40106601851227,-129.1152601806578,696.5788604902789,96.94952459034647,-112.55587499809306,886.9456975010164,-154.84204603510068,-132.2399243923271,-126.80506685795997,-139.64262937526425,898.3322322809329,-215.26674213199263,9.740358086792554,-128.95384660290998,-160.95097133430008,-119.95647588100209,-163.19461286020774,-143.5459905969101,1104.3214680664776,-114.78422815776939,-109.3555222829837
0.5,-166.1689953080998,-198.319609221369,392.4992650660738,-76.01208590452019,1366.7266644689712,-242.71759632794215,-159.75060982984255,1095.3028783766026,-146.95997773352775,-165.4682579619485,-121.96370886723,599.8015889384632,95.63664129801995,-98.91067671108726,797.5396771809453,-155.7676935252802,-145.30710871716815,-128.82116128495855,-144.2443350401122,815.1336845458982,-218.16895331265246,9.274358916316414,-122.17292860224534,-167.76380206596932,-105.58919380847028,-167.39416447838323,-121.7076066610435,947.466238153224,-110.37135745173741,-105.58743972816981
0.6,-179.1262273258483,-184.2666670496307,341.80623127971717,-78.12803045114963,1236.441069360935,-244.53775168614393,-163.82625151540756,1050.697434556895,-148.80874470073925,-174.90637389396807,-122.67189798194133,493.265607942707,93.14932075924219,-87.2425144565468,706.202842348594,-155.03842244061383,-136.86188566475045,-136.40053870773593,-149.89535480558314,723.6234735122923,-215.89482160284138,5.007792667246949,-116.73945459980617,-178.0657147677174,-92.01072427310659,-169.81055136014817,-192.67918150835578,843.4726412575694,-107.36055766735765,-106.37066459923687
0.7,-192.86365583369235,-171.00547864124502,290.1600591880948,-87.28980108130924,1094.3598553586903,-247.70524230916504,-169.89271710003118,1017.7260585792455,-155.9135055700326,-182.36647573033824,-114.66245654345843,430.837964419371,74.71316208031287,-77.07932008700391,653.5293314688086,-154.83550500640914,-153.07860320717253,-145.5154167234674,-152.9366591859335,636.3970073242335,-215.51461196340787,-2.04137773106737,-114.99400938196035,-185.7536305638379,-87.04850957299901,-179.06637190911073,-160.33628655093702,723.9159533651263,-111.60528936972874,-112.20003125531339
0.8,-199.61623390772974,-157.82840283355785,210.37173318142146,-90.76879436818317,946.476972376889,-251.20689659885156,-167.9047468915348,983.8951192965785,-158.4445924087418,-190.256973246139,-125.02866127688026,351.71911177351365,58.550431010646435,-88.02210282689137,588.8603719402207,-158.6220410312392,-158.71895560451145,-155.0311299626782,-159.27435023854034,524.5133739227942,-206.31705288121617,-28.51621564303077,-116.35550933165466,-193.9829326455547,-92.10878150981263,-185.67071670895365,-148.09311136308503,649.244544652443,-122.17888283928312,-117.58770181378698
0.9,-203.40647463878702,-176.93378272103286,159.11173192088495,-116.29491294724173,804.1574605855002,-255.83321657785882,-169.70808455187807,880.8178940971351,-168.50303261783532,-198.69410743879132,-137.7951422007095,315.5345040688969,43.58616493039689,-96.80565761744734,522.381265874194,-163.89749960174677,-170.24554975126426,-168.54055690078465,-163.71434540271756,477.3345189300993,-203.0858435495212,-49.936113349566554,-121.87525753151905,-200.87944600963527,-91.7956838190729,-199.3176516017706,-121.02294027763298,577.680802757302,-124.96114549889542,-117.61355672931606
1.0,-204.5984486865228,-148.81111833101178,105.73756637106206,-132.20887193820434,734.595720188896,-258.0843011403042,-172.64708730689597,814.8357368831894,-183.26147474325188,-207.88218107974885,-148.67815561069614,274.7869421255859,31.282231848180896,-118.65465925186834,502.4245908502456,-163.42462188126513,-191.6995090506592,-179.1582816495823,-163.9057429582283,428.7038548135849,-199.82526302916844,-80.30001078911754,-134.8365682674301,-204.1227789204326,-110.01686768452211,-204.73838295067054,-135.64081580987377,535.163731598005,-136.98881213850146,-129.24614915316505
1.1,-219.44101605393467,-164.8874309650013,48.774645261540954,-154.71581237538754,612.6698634853626,-267.0482454109466,-174.06053035770347,747.5934287284055,-191.40829543548816,-216.96261509133288,-159.9618517235104,246.52885898666017,15.273211651291003,-139.887773452157,452.8998888472107,-172.02577956035225,-209.48621540974295,-192.33608695481286,-169.22069023418118,350.88883506086825,-201.21675590725818,-103.45424355412695,-145.53534205235349,-214.98439749597168,-129.83801366669147,-214.57306851175267,-168.28692021427287,483.56050581441394,-144.73917581874218,-147.17515595146833
1.2,-228.72585822733018,-153.03310438263347,-26.998136305729464,-170.1300452453474,480.95979471158364,-267.0089434976947,-172.70319329864594,662.4813274554872,-198.23477118095954,-224.78105050197559,-182.27475516649872,214.30585724296188,-6.669717373081885,-157.43338351641881,400.6551647936655,-182.17435279787964,-223.29784698206026,-201.94791147774907,-177.8603662991929,296.521786784368,-205.28729571382323,-120.32129469765457,-163.34084598260273,-220.1091422775683,-148.22836689473903,-221.10437013985606,-182.699443195252,456.5962480832342,-151.98011175555345,-147.47624133310197
1.3,-240.30022751906722,-171.15927140433178,-57.401337158143164,-187.07133740402213,510.50563792176956,-276.6933779048664,-171.28220302881755,613.6621300619356,-214.3039840496496,-236.13865714187756,-193.23463336439733,189.22913803167663,-15.32451270706735,-189.3040664483319,364.3405656668957,-196.09776783101773,-238.14944565001207,-213.74581018510213,-189.53588989491055,263.7674825517383,-209.74573423417127,-140.46902171336575,-173.55186910868585,-239.77149131301098,-165.242941990098,-234.9973542394742,-165.6717756335386,418.4182858571788,-167.5509723321623,-172.3611409508841
1.4,-239.9873889809729,-173.48989591848755,-117.91425221254016,-207.42609049015,403.74982093690176,-280.2365091782384,-172.99490496268186,583.3626827694193,-226.46208932179312,-241.87699755491,-195.8053681155987,180.4930668741069,-27.15910870491286,-194.5967411493977,315.55046131683855,-199.63763311423185,-258.1497634199928,-222.42229444754216,-191.40749570233336,237.79048213001823,-213.47709722895698,-165.95209331191626,-191.73279136744242,-244.45262238851456,-184.11277978124627,-240.96192207059752,-174.9485005498336,395.5211179893596,-178.46619971121473,-190.1713525367026
1.5,-257.8355051093601,-190.1234828134074,-182.33701631657723,-221.75990501368292,374.2362584386843,-290.914814463232,-173.90712981398423,497.1869237291693,-237.34271410765047,-245.44467231190907,-215.55712000971522,159.41618143546265,-33.651261175508324,-218.4153739550771,294.3714656334474,-210.74934870465944,-281.9397901781469,-231.7176619510348,-199.0916392360066,187.99069278013582,-232.49644452694884,-196.55259958877448,-200.3458671555008,-250.98806853723795,-207.79387558299314,-254.0161342203863,-201.3562914370104,370.09744903574546,-186.8765649642528,-186.24712079560172
