param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
0.5,2861.168718165158,832.8895433032019,496.5796209645526,2151.3436198187114,460.300705283758,2494.7893363669036,986.7381575250698,1021.1668195938197,1034.5988412677568,583.650861624469,560.9757535567774,669.4123166413606,397.3093156519697,1071.3361317611807,2633.988683640566,1012.6568652034288,2777.6748642701305,537.4545281574603,736.3914081897775,638.0395060800348,2823.494616698962,627.9565586749848,810.7330248073122,600.0094880145404,790.5673502560073,879.6819967306321,418.7410273832905,464.4708388233288,2230.1717072422175,2692.584353331322
0.6,2889.382268090369,2430.6904680375883,561.9593472100612,2186.139477812746,417.9481552872797,2356.0238596454437,986.6617509445371,1021.0726753623094,1034.8917997089745,607.2594528119591,615.1783102220079,1114.8062533690777,553.417363548849,2689.0331040231267,2648.5564616373513,1012.3254762882464,2629.6339908054424,563.6512356982456,764.3155331659264,721.4537916467185,2874.591632799914,619.7657768125971,752.5590509000318,832.1066615789235,854.4342173869272,929.3876161834584,435.2228554840256,462.93134520218626,2242.0574659109384,2539.8027995435214
0.7,2890.3629608415663,2835.5144285729175,715.8514942511185,2842.4270876772475,499.0225478759629,2505.1164497961263,986.9063104313511,1021.1549694562609,1034.4604111143503,991.2652885295714,750.5014912841688,2939.517156567142,1434.3334748262198,2682.037230716497,2667.706623097744,1012.520403010701,2610.923918450837,683.1770345030893,1013.6095027399027,3105.4793931726945,3002.0102298095653,639.4689731299661,983.6969708003866,670.2923404978785,1444.4874562835132,1804.7145575726092,451.61328940688946,459.94075678110613,2247.7886927479312,2780.3496620215487
0.8,2873.4939565632512,2803.745199457205,973.2973487083991,2938.5562311337794,577.6163986696845,2490.056393005661,986.998559436289,1021.1189513873887,1034.5382836207611,1067.9043530771426,913.2135035735215,2940.181045654209,3172.206101658152,2687.0031197689927,2673.127124949254,1012.5718551387054,2619.0241359102333,426.50907774577445,2834.1146258904655,3180.0283449543635,2998.839492789121,1128.9806174325447,3023.5702011400253,914.130039240598,2866.4117411845027,2786.5776525919323,437.9161479242327,1192.3534477384908,2272.96671115388,2617.9408614572926
0.9,2838.4576251157378,2783.348609078063,2833.947808013024,2765.7317661816787,621.9305530680464,2514.298050449808,986.6985109711956,1021.327374625757,1034.5376649087314,3088.6292649099255,692.4040860259054,2660.458636294744,3224.7398625339897,2689.2621962854882,2683.43416988807,1012.4693411596566,2629.3025018462313,1905.427059001166,2810.603833900698,2905.0338261060365,3004.6317931357717,2514.604379480832,3022.9607020589906,705.1271113829687,2874.4477219512987,2802.4555587940226,754.5855112635339,1323.1616673870253,2313.462491163663,2601.7555893722842
1.0,2795.8097353815074,2765.6563346585544,2257.246188194033,1003.9297286967767,673.4791172876054,2632.6285441022055,986.7552713214221,1021.6742619696915,1034.3439976463392,3060.171099525989,516.8764716996114,652.2355049708058,3213.524940784426,2703.1102548136887,2679.7904687034925,1012.1762482565185,2628.8293839077332,2752.329151873273,2824.938477196092,3010.475708439658,3013.9224773597894,3491.538046980025,3011.210495098604,915.5583554026491,2966.6723134085732,2845.7240085703024,850.6615463209143,898.267065315283,2424.650602472917,2586.3114622408275
1.1,2844.122845703459,2723.0418111222725,1080.0679234476434,846.3205021448263,710.5089309940483,2833.3688474922405,986.2412726110442,1021.798260545841,1034.2672233980522,3099.371462872038,364.85996194779983,461.383428857772,3222.331597488844,1206.6329647852165,2001.2213935142724,1012.5238287575852,2817.5401368973426,1705.2144585588467,1451.8981667790842,2292.629183779976,2377.2274373505966,3562.9631577589744,2993.5073039368517,668.0998842750212,3155.769389728496,3130.8403414723975,610.9938222543805,751.8898952464162,2450.0285681970977,2548.57501616641
1.2,840.0672956916372,751.9624970791924,934.8749153268709,710.2028313451551,753.8952103098761,1696.2085919377046,986.2115867397904,1021.9664832070499,1034.1505731976251,994.2380285683846,360.4867228270217,730.9152795527838,1071.746637994297,707.0974298784109,975.4406235640203,1012.3493695861649,1299.786115741027,1140.5521585462516,748.6483575384557,2357.429021203565,947.5876937041209,3604.2635116251563,3102.678399221809,602.7239702135299,485.80725458658736,1350.4724190732895,581.7076117831447,953.6518814781848,1211.725602237759,2522.8628748141455
1.3,543.4368689799692,439.89230546937296,784.3761319511916,461.67592762786546,750.0637039858534,927.9852381896568,986.1652461633963,1022.1600147280418,1033.8167970889958,485.0566517265387,333.4500360523058,634.5566217421682,453.6688512615563,383.48519215462545,626.2630763151067,1012.3516727324981,770.5540917264277,598.5956300105177,415.85320669180857,830.2944487747985,406.64158648437456,825.8118194226063,790.429527501685,577.867667981626,439.89552640951723,747.8622405257048,490.62224407973446,448.91392804400476,594.943113628163,687.144644684521
1.4,404.16196020360735,423.0440868232901,523.8545261937873,373.23270982782986,620.0559363151845,489.79351523702417,985.7179654694786,1022.5860772575234,1033.4667828536756,438.2541280988232,326.7084133233867,486.1098595876239,207.09071433388903,383.2943125564613,329.30957521747854,1012.6344741020314,444.0710965130096,432.2226154894632,415.0411628956984,633.6278318319204,408.29067268703415,754.6321907228216,427.6228736885802,451.93397530988784,358.11853057013366,680.4158649959762,451.1148694812897,402.1139947337407,433.6489570288337,667.195955924649
1.5,386.5792626264639,381.66579742093995,369.21096292679954,339.1230842436263,425.43221483456074,396.32197064116986,985.109475333296,1022.7220052349066,555.5618694940679,401.39477655003,318.74516263896606,445.85315562331135,193.4752626134371,369.5376261401232,311.12497591850314,1012.3991530230084,370.0900579474977,239.09537633495611,384.2172461961919,423.3969351494044,382.7839153633064,419.48373663440333,412.61623401218014,405.0054870684548,344.580255410761,425.3133810976601,410.622920860865,373.20223844015163,365.29275340755,378.864417470856
1.6,371.1026045340162,277.19748554782757,321.9234371703493,298.6531163644735,379.14404899764565,273.7617992271272,984.7113559666237,1024.095193669215,405.97627902295875,365.3187474163313,312.39096753909024,381.4918835543673,189.33886568471019,339.77608645618733,315.83051183933605,1013.5629352521561,366.52953579842205,231.13892503200577,347.3901679790537,261.3642298845848,339.54285941148106,391.92501789646815,384.28652589622493,362.62558856168465,346.5069065289366,323.4502515120159,370.6144797852845,314.9363127418254,331.43115040908754,385.1896459847253
1.7,342.28832789331966,329.0471535321434,285.99788943183876,281.4457968175806,335.59384579633917,273.0800656920533,984.6172375584949,1025.340189745838,1033.8351362061976,319.36221861973354,297.50667668381755,335.83448060699266,189.3956388763134,319.1107092100233,179.73770544125102,1013.3888487220131,319.59586690371987,305.17092041884797,316.251626487393,312.42217431857733,317.4452971101824,208.8695018235406,346.7587644197894,320.91736893060414,289.4442673552396,291.9040107920737,333.3881278531443,272.35295839859634,319.285052863126,320.3642516164931
1.8,312.92664728444794,296.16296015509386,276.9362889986959,270.2882626772914,289.204724265101,253.21522053413264,984.4396431548328,1027.0239830300998,788.187122585362,299.091210205853,280.60377116637244,297.41944414785013,292.7736359028888,301.98460965960254,166.17565688960474,1013.8553516928938,270.30489969867654,280.7315089978821,283.219827251838,282.48014895615,278.48781390177,260.3212571483448,320.08973478327715,269.1462544219006,272.1863698789421,240.58249258340692,308.14182652423943,271.44064750628127,303.4205669216305,301.4142708196657
1.9,299.00519047091444,282.9819146574048,269.1079135444683,265.3380111625914,272.03136980263355,240.82875331653767,983.7326356044598,1027.9529501339618,422.73567030099395,282.27558515751923,267.8439862847527,276.8141273948676,277.996270898234,287.56278845497144,165.30671324355447,1014.735614041382,247.62175360441483,266.7529508146836,271.1877752467962,266.02596271404246,269.88429744960797,231.16609242724985,296.0189313089528,254.97410086960468,275.6110772815454,263.5857645153414,292.21305154152003,279.36213664215245,290.9094754054323,305.96943607209266
2.0,295.93500432131475,280.13371427268885,267.5397744561512,267.2941076450848,288.02865570892425,240.66181509216344,982.7378717075738,459.112471477747,858.3924402579199,278.5182727064863,273.7612437658175,270.4117676089339,281.8556272017502,285.97540876550505,166.42068541218606,1015.7612445828805,260.8548943590332,260.07858520849646,265.98614057297175,251.13522058232584,274.3774410280184,221.80693514177045,280.4872530941478,246.3073370979658,279.32222810208935,286.74095314810154,288.79373677189585,284.88699441429395,279.8548715799283,310.97208263133905
2.1,294.0336292855322,277.8753354176206,266.7693530628306,262.86503258837354,286.16745588076606,250.29588950356896,240.93430664005047,423.5125822351588,297.7211984986653,276.8766447709616,284.80272935560276,272.7826187177984,265.8465207099798,289.74947079603294,169.48207752848808,1016.6777127426712,264.810115300647,264.39274709020384,260.01791559005056,254.4475632485312,264.439147722963,212.47021655729273,271.38941764172176,249.59134977087828,274.97073368053213,269.4534019143101,285.227378148046,284.8257835627676,290.3302710225485,304.7326174009561
2.2,286.01770252244773,272.29351604681847,262.58925176484865,259.59057166635773,285.50250234574,258.8226596104788,181.68518304884904,384.25546373920463,237.1704689622166,273.3280063938975,249.71208646956052,272.43696992255923,181.05618611572913,285.6923126206046,170.7868934089035,1018.3123989159236,260.205704212157,269.58518245090704,255.35156842491955,254.95806519295041,263.84845742849814,211.28617749753758,260.2607651534731,251.10582135026192,281.34051916381725,303.69961832683896,280.9590373967668,283.9316663820342,305.9695013166821,294.7467439557906
2.3,279.9578513780383,268.58122051801683,257.62101881671344,256.23012967212514,282.68090925600256,256.00150129877886,162.24232600802165,366.4313254994266,245.99377281520228,271.4450316265851,240.54304057726125,268.39121937008224,280.0425682564043,279.95449116827047,174.09810904572544,1021.1881680686054,256.0875456696858,267.9877695242186,254.0890309605236,254.67342361056862,263.44734295159736,212.58860530679462,256.2989486104333,251.36534135951547,280.08348156350985,294.49830563242836,278.05800115682376,281.23581264188357,301.1895459057841,286.32891515126573
2.4,265.7351121908379,264.14184873893225,255.71049904089872,254.8530839325934,280.9380895005728,250.4760745133373,158.60405782051103,353.1139421850683,233.9827943627637,268.62018188334446,220.6129422884598,265.50900540632017,272.7118346567255,278.24791470541373,176.58161896119805,541.695855146973,251.1645791597989,264.9907648419449,252.36777011805384,253.63291033101027,262.76891012101436,214.27680360004297,254.29319098787747,251.3145411855693,271.4337406801875,280.93065815993504,275.3003675257753,275.79333513533436,295.318512221485,280.365757767853
