noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
0.0,2799.748653318319,2765.531626407869,2494.4044358479664,1001.3134745604966,673.2205416031641,2630.2212989491622,986.50819070737,1021.3999878490816,1034.6231458607783,3060.351614503903,517.5961840858165,708.438589649471,3213.27233929456,2702.2922226418723,2679.6746880289984,1012.5296960559456,2627.1033270677613,2539.754956777097,2825.9543291369837,2893.6964197855405,3013.477550992421,3492.6054997913147,3012.3372060509805,915.0671491021998,2970.4285739850857,2846.8401341151084,828.0342166799512,923.1814072182793,2413.780663491519,2586.993977165972
0.1,3036.030866840423,2821.0004534102127,1393.6987611637132,1309.9960781230682,600.032861165335,2693.9872241132493,987.6288843024282,1021.0067720370268,836.3615400347799,3147.8384640523627,449.91919911216803,1034.276706391261,1241.776502800729,2788.9530761418396,2730.6829181765465,1012.6861454880533,2780.2514028240157,1555.5713003292872,2892.932639370463,2987.1943408763163,3025.816511313087,1686.2068893491646,3049.022874994096,813.5500858874523,1412.678888417646,2804.8483574641514,604.7197448677773,1450.8260723238432,2414.538461953407,2625.1925473272686
0.2,3045.245284676353,1388.3479436660598,726.4009390967669,934.2196650324065,576.9130596917859,1366.2182917008292,1544.4332140185033,1036.6644197807045,861.463648403048,1727.6886258289094,444.2703214222523,2118.0965119893667,752.1266152092307,2666.6497880479083,2525.7191771538087,1005.7353455071949,2899.507575637886,836.8553385040792,1349.473463724357,1949.8618063797487,2849.894663745662,1049.9513960562285,2680.2355040359025,788.9210411183036,697.567930316405,2835.2176617907453,527.9901948513638,1044.3881364941576,2169.012075659758,2220.734173452921
0.3,905.3311350256217,570.6376236080914,581.2729462481491,635.5760748966402,522.6119604585713,606.2090416784922,1014.5953432287763,1018.9324615141762,633.9087557181856,829.8384719501753,474.61595901462545,737.9378254459422,656.8207340342701,1774.1548481487923,1608.491146984637,990.1977047243154,2029.6568560147637,505.3105040618183,838.9431178489898,841.106901476243,1311.506177890452,810.2717279203491,900.7378385256343,888.5918884018942,517.6548547094253,1162.9725672433055,516.6463050722516,724.7671774891303,1322.0437594222476,1020.5134571757993
0.4,693.9506538098298,416.4741524700329,475.47530942352796,533.8641120810496,493.8511075898979,531.0295385789892,623.2624676378501,743.8477916351125,432.48853155387013,515.1206858334692,425.14159179880517,577.0543984198689,614.1629609437881,1031.5925552815977,685.8961953589621,937.7017396859334,1072.2033498531623,422.52562183313796,494.09758823937665,471.62276985577,731.3161346199155,571.6243037025919,631.0716385357016,798.7679842299495,425.43454535548653,886.5904074795344,423.5029465047993,492.16282183336244,556.4736593104088,842.8076933682514
0.5,546.5000707013693,368.53386975020805,351.1623160824553,475.3989881263343,492.19188784226924,514.8642294619173,558.2122705618757,589.803107191138,244.25318608709912,445.8717181836786,402.848526023286,399.8435106221535,491.1184240206696,608.1644142941924,460.79584033068284,481.8001091086641,700.7148428629768,340.049081112708,373.9605150481528,379.77785728905644,462.59537342081086,482.22894433665635,558.1243314025457,837.7280937816995,314.6746268206275,567.0442901734394,428.2325545500089,432.8571101914478,594.1913223800542,846.7626518779485
0.6,500.5267504767536,350.98850941567724,317.30341238668916,473.6826399902504,413.21789275676235,433.8573804153731,515.296964033246,442.03120935995105,240.13131058814594,341.3206156875409,415.6997605347151,364.77623012474896,345.3355098613448,499.8815501862815,386.7163015381838,185.4417990658562,519.8035090684266,305.9747099507148,227.35709656548207,335.5899082158426,459.6980594240857,399.0401849122661,450.765393834577,741.2022672116645,310.18605110344663,444.7456680338141,391.1018270019371,368.009565437598,491.2685794349387,858.9241928010997
0.7,432.8768103385622,317.79380718439967,301.53452264555636,439.9728439879702,400.43890356794765,416.6309169865478,419.51359537499013,420.2147907193529,160.71453141051407,405.0881350347223,366.45296183548476,314.88041697597055,217.26716907466175,438.4767292436469,315.09481375355654,120.22676095862671,431.2230556267697,283.3271451452935,218.1582599030162,299.8208478573331,385.0590714174297,397.66067985997313,298.71075242247537,618.2679903280471,325.1983597145145,412.5964995580327,402.0213161864613,329.0853800822252,487.2565195527894,698.7231644032316
0.8,385.3205392303375,276.6239513348335,294.54764537256233,466.2876740581226,347.66336908246916,402.4004847985758,452.36345795592376,332.0788103566669,113.51233406213586,305.07960887002866,333.0559752240953,287.97316702084265,163.72795676765253,384.6259623853167,282.5621014141155,81.19381548954517,337.0228605611448,249.76812142171917,109.60291401116444,316.2519500473701,329.27339101098534,347.6258847650111,306.7744310881682,385.4872973614169,304.7141230611666,352.9249970861796,301.5261032315026,306.5548549294124,383.8649176808345,790.4631840540649
0.9,382.7253213268264,247.11889823736092,281.91310423026465,421.1292464905153,343.04264962293735,388.4334900909899,393.0302978393671,332.97656378761565,69.37565329508415,274.8760510666227,285.3577933690261,260.8678515135123,95.50844495406822,340.40079316723575,269.561807660467,85.54534831933437,362.5291946289674,246.07511833288032,168.12225797326758,227.91926217197746,320.52323599496845,323.545071585799,261.29168923474924,242.76365496159173,246.04395297668148,325.6849944166791,333.0373584087556,308.1101435860284,398.8711014109359,352.5480259680234
1.0,350.97550851763674,254.05325421548542,293.18741480793085,468.2657175374663,330.81753292653144,347.99028171955115,394.14212650076905,323.65289327911165,39.34262703775945,226.35052122660005,289.04563301374617,244.62247530845463,123.2881210474198,316.8160712673435,268.75594051340573,57.16976589062936,269.642103440974,189.65356437780667,81.62415461279419,189.9017680764644,316.8386014714415,289.39011929789336,241.05859989823642,183.403928218987,218.82336609626313,313.2226308421666,324.71714815075063,252.06372347304176,444.53881488235555,476.535045905836
1.1,328.4209913377945,223.63891456669708,289.52682520557886,337.5434863733165,301.06204696537463,314.0925848374318,341.3578166688873,317.6038140618801,32.9309619024156,126.58539497691473,240.13568573257749,231.86146825162209,57.32131538065637,318.7930840096218,217.85644060435843,52.15933014026301,274.14250502195716,236.99957657749724,83.31283624800409,177.92540692900454,241.71856842999915,227.28937499609725,157.76638919725391,209.77196961542995,145.3884198349921,296.8310418089173,306.439167729815,223.2742472945344,370.5743134778051,271.34479321101605
1.2,320.00270545227363,162.90420099704403,245.85152811462294,390.41521743957003,297.467085821686,288.84191038953355,239.57263963547047,285.88476040454265,18.190778887614897,148.04872130673022,261.1520988472385,208.9027410650618,106.93512651913787,292.6484494168199,222.11744315075106,62.9615866503904,250.16464188888594,206.70268459047594,62.65998706813448,174.85073683159163,173.03471864740183,299.53193056202855,182.70462550386407,234.3807425142682,135.24523035764278,287.5283633354864,227.84826657885532,246.10817450472936,280.7547098856291,229.16109027087163
1.3,287.0127337537753,187.97088964774497,287.58489344462896,340.02991669855766,267.14910488012754,266.9472261693893,285.4811081263721,284.20448482157695,49.16391303192512,123.13720680527967,236.9858871394478,193.97063525691632,70.58663036383872,287.2921053611234,184.3273246016801,35.7036696622315,220.37909387608534,175.52932494591965,84.25461290603872,153.26753861962712,220.30137015171317,259.2154380724409,174.72396263280305,154.05385418598846,125.38397497744381,274.21554431661815,223.64755042280677,231.42038905485796,317.899151291395,221.6970083395632
1.4,267.9090008644649,194.07354999720394,278.1725145862395,317.923268637397,295.48435154745323,315.00969295133376,201.2725404992944,253.46655413554868,21.978609235131664,95.39511830892152,162.63787174632643,209.65536201655095,35.593075705587935,292.32906550878204,181.0401980631898,53.406155360098275,233.9096805397944,141.12755496227777,61.85804886267296,101.11439591345746,157.9777586057474,217.5017142670798,164.14832462749266,109.23886909869665,72.28581035238564,273.79000369451893,166.98116628012386,188.61320254072993,189.19105237035862,252.79226972128913
1.5,259.50541831091584,164.529534162395,193.85908564690098,330.3246166247947,219.9510600327081,204.25398685892443,221.1985907106855,290.23099677481196,17.55544229496005,20.39260916286764,170.90917321137331,180.9245002321574,49.244068705138304,253.36860379267478,194.83702827844337,41.051996115319,224.81451392224426,142.57861014603026,33.5103052176522,78.1123519007318,197.79774145965703,202.94138909880033,128.39356208218254,114.78006012957519,107.7756356617291,260.0201875553811,131.03007296246363,197.0040819604123,209.1363433082467,254.83518314557423
