noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,758.2076650599643,3321.4363546181967,3025.622465449285,1677.5087773874936,3219.779023714136,3166.5292464362165,3107.6192051436906,855.9372380866109,2553.195991855934,3065.6285834770356
0.1,2012.7630710295539,1156.09563184848,2191.352421017479,1190.1051849921612,2136.2616670928423,2670.064774259118,3035.020191064754,1108.9894417829573,1895.6467563691087,2692.4229214862044
0.2,951.2512992956679,786.8634488677601,724.0198302690078,776.0207932215094,893.1117298647025,1074.1716991682606,1259.6938358769655,826.9326439731509,1842.7457556294116,958.8617270318604
0.3,672.4791327146709,564.0562575266163,551.7305546910336,607.9539385370192,682.1457160006355,731.6653433899819,919.6397461123909,741.8290136160665,911.5691890103137,746.6814094948156
0.4,505.45661105246455,486.18341638907634,460.2779853341858,435.2313601842752,571.1727518247957,639.103690326508,479.477312129785,597.3992515476031,810.9798752192693,554.2408011097524
0.5,449.92392643100004,424.33394385895156,438.46336414406295,399.40451122557727,454.7230939491095,555.226058658139,418.47867556505196,583.474322219913,596.9616719843048,513.6683694504655
0.6,420.5744835109284,362.32394352831335,364.9064286048143,333.7469953118603,396.45280323715696,485.890182814305,385.61305377437026,506.6682822869144,492.10848973912914,446.5639660329137
0.7,379.76502102283547,350.6901745048277,333.34632636376386,349.27137266992116,341.5270365816513,417.53498969076753,334.72621885662556,522.2457122775576,638.3477985141537,395.0103709479414
0.8,344.9651833846416,327.81066320732316,335.4807246881458,301.05195456268154,351.4398252568198,388.2116201911504,310.85079406066717,383.0017104744758,428.8302865852669,349.96710609414646
0.9,356.7893083092431,283.37535280594227,304.90707184097346,312.9068677279708,327.24437903010255,386.82198005219595,238.55762205720643,294.557549747613,458.17231093861767,350.51007872164706
1.0,346.34468672814984,287.4616233778174,302.2463644920182,300.3392014774664,329.6838358453109,368.6874310272593,318.06291932005433,171.92596590611578,443.24964522988046,302.9364712408027
1.1,340.39705738346544,209.10059822044755,283.7550407264231,288.19884699975535,307.13886267666186,296.2393038151283,212.4474606135158,141.97585742466748,415.0253512830117,323.4523112715928
1.2,316.62445587867563,279.860753815243,270.81234061848244,290.34314017322333,281.3550430060519,313.3560115709787,303.1497504754711,102.82115335383642,347.810684563236,275.66989499884494
1.3,303.7364591958121,255.79281066129147,265.72994288793745,272.9369296858778,288.60120587353543,277.5757305742179,258.61119075203266,107.46397391129881,195.58770914769917,248.3421968414174
1.4,267.40510131502396,227.35271920175674,255.84822348851344,266.69723811383903,251.42662369093077,247.48153891401248,248.59470276936045,79.92438718282037,307.73939466263175,244.77497753278385
1.5,306.2339420817201,221.28614511267537,258.10809925795263,242.38401055424438,253.26484710992932,246.94596130734513,279.1786668460217,49.61899323133283,189.75384639707065,236.4750976448625
