param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,3337.433972867516,1253.6503123365312,3164.0275618715577,3074.240209116454,1409.5608522357784,3083.7003370275934,3386.9125442032355,3024.756500274632,2148.7566290486347,2875.887773309631
0.6,3341.1028968170176,856.0592194257522,3165.806575813967,3035.474779441798,944.2995514574332,3466.7935908987624,3648.4948026302945,3462.539366996173,2273.04164378706,2870.7583813359947
0.7,3345.7963530658876,906.9349167871866,3166.948535802254,3159.8150491578135,927.8332685084097,3249.28222244909,3704.1000978224083,3398.348847411008,2550.437474919453,2864.1394443994795
0.8,3354.3596636026755,968.5112873139573,3167.1548554409756,2769.464613079448,1130.3839781067252,2976.0935576753336,3699.6501792999507,3378.1310733405494,2575.43237021629,2864.3513098058
0.9,3357.942400978119,1189.5028074605448,3143.7424434443465,2940.6805489075873,1452.8648710622817,3469.1688318749984,3790.7841733379064,3398.2996085904224,2345.983799028186,2865.5098728995804
1.0,3333.7531023839983,1199.9850794723266,3105.9289422276315,2756.155261706215,2846.6692395391865,3390.0695078895246,3749.242353207149,3389.954089244523,2350.5017084820342,2851.4528037302225
1.1,3341.928902867202,1099.7291427941082,3119.912979914932,2443.334159214345,3032.8298200525815,3437.6845727749983,3646.5047686545163,3422.7606852866447,2322.292401545813,2850.8435866152413
1.2,3331.389070527531,1073.1232119430065,3132.0550448528,2525.1101362650247,3276.5290867086032,3503.602240985519,3629.286347186325,3424.7015081095087,2187.7160053070675,2846.5733560153685
1.3,3320.859861572188,988.7133051484709,3129.8223593317916,2406.8963106780716,2440.4021009006765,3329.6575756587954,3209.4262062325906,3365.5461504856403,2259.781032782991,2849.8338447127126
1.4,3308.099215274058,872.0275156467842,3112.9898929187625,1486.9754980109012,1111.0578449689772,3135.709802686647,3008.538318338022,2755.3135370738337,1739.6078239649269,2856.223762615564
1.5,3321.2630292554613,733.092172083593,3087.894304951141,2488.315750431334,861.0712663055987,2490.0639124138443,1712.0129281911982,2703.4258186578704,1870.988378199828,2853.3449250055337
1.6,3301.3052927221593,685.6041030400324,3054.6626605491183,927.4515705358848,1062.9833945392725,2087.294716464165,1000.4324204450273,2408.8421782167698,1885.8831175455693,2868.8580958654293
1.7,3259.1481255857193,639.5401070177139,3023.8909358348856,835.4459076910596,1055.6849715667936,1731.383234101906,1139.7337072407158,1587.6898670842643,1754.945837494071,2880.699577953824
1.8,3358.7524413309548,516.8289466814173,3007.3416188795372,1228.0438673189162,1851.5580292313948,1572.7668999623734,933.6704906882969,2180.5022349500227,1624.980341457793,2906.2681757227942
1.9,3390.228066902858,410.4050474704487,2994.1714270953717,937.3605348725326,837.9463344009188,1275.231245705633,846.2904451498849,2562.7307855727067,1382.9047066442704,2961.82078365459
2.0,3472.431397079678,383.6781337365483,3078.6726099373736,761.6722229549607,620.4676811845718,1685.873790677059,813.2660805028532,1997.6357406649263,1561.1099407364538,3082.7332151424116
2.1,3462.375841985282,376.56258904881906,2498.7926255614884,740.1212904792885,582.6874826460545,1389.7602849522002,830.679550927093,2630.6357987287315,1406.9926565587507,3165.255054170656
2.2,3389.284320008485,364.6097168428206,3231.5113030219554,1076.0841377770028,655.415225806821,1183.248590680616,439.8538610123231,1741.370150086054,1042.0511088489834,3074.9128749197616
2.3,3322.1553598236997,366.6125401640908,2984.658585332176,555.9543269020542,1036.0574124962582,1092.0191010136693,1079.8854153817733,3392.389926232746,1341.0417317457163,3009.45361444613
2.4,3298.552559921226,375.57966165483333,3291.4826444020737,569.633477666029,1233.392791166379,621.842442801399,784.3168865320113,3396.439262752345,1609.7192450958287,3021.6219227088445
