noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2398.904960799679,2241.5439787012047,2253.0800063259676,1733.6256232010212,1806.0908526991643,1807.2749124473637,2068.581681661552,1941.9323591319887,1050.5736769777454,1790.51305003047
0.1,2506.821351240651,2134.0572712742023,2403.4451510047957,1951.2525714831197,1803.2174827016631,1816.319401743777,1919.0429465137095,1910.7708343044058,1313.0335621917554,1827.813357277551
0.2,2456.126525175661,2136.4715821255622,2171.146612972826,1988.920760276524,1761.7913685896015,1798.2367538729395,1789.1044304855986,1820.7854419517716,1422.349331227464,1490.3254276671082
0.3,2216.422475222385,1921.7319814956893,1858.765524335608,1798.2750889662177,1749.521702027636,1710.7946423126807,1731.6694501055165,1742.433689292516,1425.5330994036335,1486.352888845758
0.4,2044.5116527211806,1643.320507478505,1849.764637845075,1699.4457857648097,1644.7056045526247,1661.1253005800813,1610.1221614981864,1466.7190669428521,1307.604682829262,1482.254717203746
0.5,1681.7324893276648,1594.348900819039,1570.4088353274199,1398.3096706153258,1617.6731777753,1353.1558272495777,1225.1331603637084,1384.7625967687359,1262.837337343774,1105.7660395606197
0.6,1501.6170921362204,1344.89300334962,1160.8496581929896,1234.7036650072198,1368.1655735913102,1160.2844039547822,1087.1270806195764,1286.0721435845305,1147.4570120418916,1252.051880184132
0.7,1048.4004216357303,1010.041423846799,1041.0958133514685,1150.8093838713537,1123.7405618027408,996.4627283617212,1067.3587263488641,1148.4423714947693,1105.940194199373,964.7289817700454
0.8,735.3661300527547,955.5306949299072,1050.870545708596,603.927972155149,1031.1732621848855,564.53227967469,731.7098466978612,1112.91042089744,944.0996101564388,864.4064356921912
0.9,525.5820123244848,1021.0081632996092,611.8788887644557,481.1423138116672,680.4234070030847,683.5379245129009,658.3982263519181,830.37752501944,655.969321817019,766.5730303359337
1.0,504.88515885001686,667.6539096984187,589.9978890533814,725.1468376344721,552.3465510706253,483.5960895194968,523.5123402546278,737.6627584912087,657.17699340916,642.2618975051103
1.1,367.64524261261715,557.8226210009645,548.7077467874835,374.2296980724303,439.3214308474471,362.841357366266,500.3374671956759,511.32964896206124,586.0305369269738,572.2862974583892
1.2,311.20068227809855,533.9057902569976,396.02017105183717,349.6733286357459,402.33358541147413,252.36397739605042,293.1526649933616,484.4063559024321,533.4620314142848,298.03793975079935
1.3,192.74767053953957,270.4857710724601,278.2050184503982,216.4946331447201,187.15946248886686,299.9326987435387,300.40204341521246,348.20481244161,444.0111629908423,357.73599074853075
1.4,230.8283444666135,270.83513748465856,169.48383515951156,208.68755266451893,238.21495467926678,139.43163734131525,266.46329149849544,355.9526617504059,338.2805183065788,326.32017902966544
1.5,132.04556496736421,171.97112124817198,185.56787325974275,194.32733244807565,175.01649808225739,140.95908060661847,143.71933066279573,206.25175205850368,294.87733755992593,185.92403575736455
