param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1937.084620334234,2130.0752372620664,2225.9490424087194,2437.223155134933,1949.060866998971,1837.4193248649747,2984.2648610181577,1964.6295781549811,1610.9141447699617,2344.3981383785103
0.6,2076.1844894551436,2313.183607491246,1981.4984445699695,2406.4473673167786,1975.6818553385651,1886.291480092518,2625.3042695341705,2065.94913564043,1728.7558821601142,2342.9705422146344
0.7,1873.5062906329288,2398.849554944108,2165.1205223981756,2311.1030002166526,1904.1005013367962,1901.7279703154938,2619.4411895902576,1850.1695821315084,1404.4659083906502,2359.60027929587
0.8,1936.1339952498147,2550.000453737963,2104.8122748074115,2385.722561438323,1863.1847728773366,1887.3063068809174,2924.037449587747,2079.7435177930356,1986.1269180025567,2358.042136672534
0.9,1657.8478502404246,2387.551554838696,2270.3088833692073,2382.877761807029,1776.6760836357832,1845.2861235676478,2865.2720936499322,1686.092863726973,1375.5666410357132,2355.411873951884
1.0,2099.3554793942358,2527.058462475822,1942.9203667303277,2417.92594595589,1832.5777160702244,1843.6373738202988,2691.1482222082004,1867.1475058893702,1733.8764634851425,2364.395522909347
1.1,1594.108879863591,1913.5393509578794,1733.9856682944187,2253.9891603366295,1921.4131446978415,1828.7916461412449,2718.276776251504,1616.0190714530102,1640.1910268433044,2344.5223102574014
1.2,1354.0192397655903,1724.9050663550868,1707.1568592930375,2219.613597450503,1690.3219425058953,1897.6147504356425,2462.599329597861,1627.4094296622688,1461.9214640648313,2156.68281777327
1.3,1060.5879045324498,1455.3043323558181,1702.815174940414,2001.0622439728843,1765.2753889678454,1623.557662782566,1819.101129506063,1306.3473038269635,1333.6754466466032,2099.0038260813217
1.4,1086.8976935294115,1349.3630854526841,1665.5765355980955,1810.1638535099773,1728.777063789812,1751.9907244307117,1970.5834387854866,1109.130963425967,1308.822358973615,2162.4831373758598
1.5,769.961483490016,1160.6127529192195,1682.284390486222,1736.602367717008,1665.6102177222215,1819.6053403605551,1308.3483940874096,1271.2715249973442,1505.2673034581576,1903.8054057559068
1.6,974.280697053818,868.4434550072334,1301.6504062157398,1580.0039225823134,1653.8150406384812,1596.5499995064786,1082.4565246963052,699.5929187522883,1379.3177490567025,1838.0409809036682
1.7,741.0409648043355,773.7825332438276,1213.4971490587843,1369.0529451510097,1559.2589788999605,1657.8036280897154,1301.0358877708468,671.98995548776,1003.5526729453738,1748.523843438783
1.8,880.1971804200417,1058.0272379030619,1194.460688322374,1405.2025870766163,1528.3995881442645,1546.07446330824,822.1875167758371,703.0755904657165,1082.0298016439888,1713.3705722144398
1.9,843.4486984670946,688.9593431056461,1095.8435961431014,1393.3218580991322,1638.1961988879057,1334.1737579121516,719.9747334687012,711.1227338571819,976.1043910297096,1229.5747058909506
2.0,582.5068409773879,798.6530649023509,1303.8962071994372,1218.9564069624762,1436.9830282345263,1430.2902917122278,522.2584173790362,796.3209897673278,803.1170937864877,1373.4859701634557
2.1,761.4126451399854,720.4713054891815,764.398788163761,1144.6641669746207,1474.8798858875266,1518.4404602072218,414.8254559143218,681.8045298930759,816.517451014777,1230.702195456532
2.2,474.59960567663256,852.96021560804,755.1389018878045,1209.1301696529001,1544.584889043434,1209.0788104281894,590.3707401128221,812.9944602084418,862.8230983197167,1228.3242490924179
2.3,560.3252577517508,775.3768015982694,1095.4566640160676,1183.701382083365,1504.156952838002,1455.4648778171284,397.61556193130866,671.5018822553131,769.4946746066666,978.6257525096069
2.4,701.3827186445635,696.1237580790009,922.3136486084628,1132.7824235633805,1374.9997471174138,1130.038821332027,515.6384983857798,506.5405294978735,743.450882056296,1076.1356228201134
