param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,2457.7046136330837,1772.2906584960583,2367.872945839534,2054.8799649099033,1822.7874691994195,1876.8444667464453,1886.157159376924,1805.7102272077645,999.1534524698985,1581.2062898238846
0.6,2474.042367898321,1602.8434296564137,2339.1993596442185,2002.8202774093188,1831.1111005842788,1759.193442797506,2080.723076879905,1872.8110756984133,1097.349240914084,1557.0034648496653
0.7,2569.487135414367,2252.2710971690854,2286.722635919881,2056.738334479705,1822.5060577427455,1839.1812663209068,2118.1296531666735,1886.1784025383877,1041.8198359310948,1777.2550438702845
0.8,2397.989937589477,2188.5476278703272,2442.9179533738425,1785.7976371109762,1810.4131207477112,1808.2945452609833,2084.962170492,1882.8275433396398,1152.449809930853,1778.4317331876023
0.9,2488.268295208037,2107.1275470028604,2467.248765949717,1999.9396928470155,1794.2100982008183,1796.4415226861092,2136.342734982973,1861.5373093744543,971.6003106532155,1737.610274909918
1.0,2517.3849665070684,2493.042296857201,2453.1155662842943,1869.2875743138861,1795.2097814937174,1782.123964681066,2128.329619249972,1824.5094833770186,1013.3047298253966,1739.9768947058299
1.1,2506.348869119039,2271.5324082906004,2284.377883413046,2020.3910855010174,1784.9623818677246,1817.2846334534017,2148.036296480447,1922.051577750417,1077.954863306791,1845.4001246817934
1.2,2487.174207747008,1940.538468647907,2105.4452451226193,2128.949650882586,1766.065573348233,1635.9773724891788,1991.0707738267909,1855.8489181088655,1105.386306571391,1917.1518731336541
1.3,2480.004189502096,2298.015646847653,2401.842923207371,1878.1443176333287,1772.599344517909,1773.714136389755,1986.9789227043846,1880.5164227994876,1078.5897308234369,2071.325761816416
1.4,2374.1667513056814,2442.450248084307,2413.544291092902,1971.5360111868563,1773.9335911162325,1553.309879634662,1847.4184693712953,1938.1992783843302,1101.1979176248055,1811.2745296644086
1.5,2308.1079892671714,2473.561951184829,2336.4125954889087,2011.207936211634,1746.0459742744733,1404.1698360137168,1743.1133802561933,1953.580888112574,1080.8824557653895,1789.874341852276
1.6,2458.5449194264284,2426.589558419309,2466.667702098845,1960.480739279113,1747.6297203588372,1383.5903635830102,1980.8514723701314,1923.6907732027703,1091.8172354718838,1877.6950939186809
1.7,2400.765561967112,2021.107935669028,2275.6097115718803,1992.7577123850238,1755.3589403272658,1470.2286594213529,2117.311905345044,1925.7912743226302,950.5186673395141,1778.093832451076
1.8,2432.639336967615,2323.920690798691,2339.6487350981038,1775.453882030049,1736.1959844981398,1332.736791578929,2169.135346602453,1924.1134162516355,1125.1058473895368,1894.702660322221
1.9,2278.507671535148,2211.324127637302,2335.452782485834,1803.1776746924957,1733.897522166677,1517.5660860413768,1782.824911576939,1882.5446857521358,978.4262536023816,1875.1735250730985
2.0,2360.306666149388,2167.9304084872833,2360.6379105835163,1755.321768113118,1720.1744510954977,1283.513149906207,1871.0690439348932,1852.562379164375,1033.9233299081548,2165.532533979004
2.1,2378.1262675364796,2237.8240386358693,2296.79154955532,1735.4646605978403,1701.2118051027803,1358.523549209304,1862.558479037169,1788.8640400556512,1130.8367951404093,1930.1890195359615
2.2,2188.481317491228,2203.066670636822,2285.3692303088687,1816.5429416015643,1705.7759895321087,1374.1083637196589,2060.7298123060236,1874.6169422864773,990.7727619605691,2222.0547955946176
2.3,2375.112114788673,1817.8277187307824,2319.8554031539384,1688.1404211943384,1686.8357583662769,1364.8573901809405,1961.836097323217,1882.9733129611427,1043.103660817353,1865.6889492286227
2.4,2304.672361969231,2005.198038674676,2213.2365103066604,1679.4913852246482,1705.8244771208476,1354.7112344087695,1982.397019543302,1834.9454227996644,960.220833191807,2123.4038418582268
