param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,459.09884248728713,1670.3677866517287,119.87385945600317,798.56357256572,2868.6003298010955,1059.532701883756,409.1368791228936,1238.9817601316795,710.1015868682582,1751.8989317964447
0.6,412.43762658044335,1679.9682668999194,150.3341759060848,1067.959832139527,2928.347908026762,695.9433116465858,402.9079774581352,1540.1900121986173,721.0375512348578,2371.676057738264
0.7,405.13961574676927,1720.6275334416455,176.38355323422184,1707.0695990702056,2942.1763259684412,691.676968228445,394.0716770485278,1473.5524696241732,699.1706351675033,2355.264259847236
0.8,397.38738865828896,1763.981327606815,232.5829540631784,1957.5315482527171,2921.41821767045,695.0111740336044,392.79083449373303,1659.4987049321414,679.1264290079173,2061.610969291903
0.9,407.625305805866,1809.9135155570752,297.6818952039454,2286.6769100577008,2896.4459930532257,709.5344331082392,389.3464589453721,1856.2237594379294,674.2266308791728,2903.0207258270593
1.0,420.31531201838663,1839.1679383933247,280.8864738312833,2189.367042682886,2666.378212583017,536.9905477910175,382.499297677792,1733.2179862203768,683.7635759265685,2896.3969995240523
1.1,419.63631581183654,1878.6393896164268,347.88112638733645,2190.0692970072005,2604.98918359913,684.2826493460979,379.85737953882756,1965.778366371147,679.1947258388512,2548.92737574507
1.2,437.8249612362885,1918.597543430357,367.13349847530316,2155.8370059718645,2760.444867070796,787.0940643066509,376.2821547585504,1789.5498959018769,667.0172432891476,2663.4585037609795
1.3,477.19493453649494,1956.8358930385807,420.3464885516681,2132.458176146586,2721.7113464441277,1116.5346925526915,372.5568902271897,2154.8049724847774,671.6050144757155,2195.327989837512
1.4,483.39218588442935,1997.2111955263633,410.01264503450693,2135.311180334635,2730.9656804908063,861.6465892714411,371.1805870157677,2232.040395925378,639.3511550795575,2398.511433752311
1.5,452.39198652892054,2070.408981403768,503.5701228226567,2122.7783554784837,2662.7732682428073,958.555347453922,369.36510624052914,2188.5150985118394,643.9533435644892,2440.2759781103987
1.6,477.51455008922596,2113.124083675732,577.850925069559,2096.0690988655815,2671.5742058625824,635.1744215941476,366.1767500475191,2214.0863048268247,610.7179532785187,2528.380010855209
1.7,447.78648250180623,1633.7214648487693,535.3406296190905,2073.3623688957164,2575.5910611099634,874.0135475816171,364.8426775685213,2198.448337208883,594.947755245158,2442.5047709114783
1.8,440.5676081256394,1371.8945807089196,558.7604635625206,2066.9965325595012,2608.827839363843,750.4512347510674,362.27813795388846,2205.7425639945295,577.9058621564001,2646.39880848982
1.9,372.3587796334761,1158.6609281617486,522.9873403932446,2054.7149006060376,2544.226004654677,799.4486434701826,361.0416733859917,2182.963463406318,555.2894517870544,2604.534157859328
2.0,366.2724991667056,1084.1459078897124,466.1426258990844,2051.947213739131,2576.107345603811,618.9991800153505,358.5187224479388,2153.8405287323453,548.5630678910695,2502.6567584454087
2.1,367.10331213291755,1000.463362398605,403.9527177428662,2026.9534222061702,2560.278077124365,653.9334359502602,357.0108784900338,2069.4471628514084,532.3467276715736,2494.655484101468
2.2,357.4461000375824,923.0884485760007,222.59057249507723,1979.2650437189882,2532.5089346111445,588.6779528755501,354.36634996911823,2027.4581299122244,520.9793437848923,2541.920140046658
2.3,356.532706471486,874.3081798579103,228.4903284266436,1945.3591346975925,2511.182975099095,566.0466174155046,352.6905383566029,1983.7160162926943,511.2297593201794,2449.926293515181
2.4,355.5856561790603,850.0655189053816,202.68795119848173,1824.1879702743893,2483.1573573218175,546.3183693758863,351.9757255546718,1955.8482272617628,497.6218077338347,2417.6528379877795
