noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,596.3479938415965,2051.608169151061,3743.191495264501,2274.5538314453133,2681.998770398539,1806.1055635406465,408.96514521146594,2772.971461507535,2239.3200723147015,3047.297623542855
0.1,595.0050571385558,2379.469175583037,3760.5130550274453,2049.5152564058117,2557.118353199831,1903.934350879405,404.80589712606354,2707.6329279470247,2145.126455224177,3054.9536386684426
0.2,596.0665762579112,2211.4403540436165,3758.265330648923,1974.8933213442178,2634.0943242692374,2046.1422295158675,401.078124318142,2698.825270513483,1623.6374379876752,3054.619114837611
0.3,589.8962043428767,2344.997795850224,3754.5374023172235,2124.2972688329055,2709.335405053753,2077.027095077544,404.23419219975494,2693.777099250544,1231.497056217974,2930.9546422757885
0.4,561.600936926717,1820.9368474157066,3773.7825430039106,1999.276867867247,2378.824158820923,1624.972867845729,401.75668574360066,2626.6671682669325,1066.5140580364086,2870.589185661761
0.5,542.1049352352927,2133.0156777536595,3770.246348600756,2008.5370237995096,2399.8227298166976,2246.7494960894514,407.9184075568841,2624.2649796673477,692.4579120102794,1991.8944965133246
0.6,503.3617552898464,1403.64818462947,3281.098933226784,2217.125089201059,1811.9757921430842,1830.874716607804,390.77206184776026,2498.78260775685,730.7739752048675,1136.3166848578344
0.7,483.02855508535794,1231.8701355333128,2241.8928461286896,2388.0399633284355,1855.5593249650979,1870.8994206253124,397.25017775413045,2371.7184470205534,657.9211332685046,887.4410779719477
0.8,395.6194267603916,917.7915181434995,1460.784374708834,1929.3889144643836,1139.0163929311316,1864.6420318061087,392.06102477771225,1856.174767465794,551.0392169939435,606.503346254623
0.9,373.7995202012829,813.849972201448,1053.3318166229506,1917.6491436103431,819.3958829523208,1533.2942049320743,388.190423389122,1508.8196759151213,452.8444866844802,655.0362033035947
1.0,342.45998106696544,826.9193477998145,812.8192892836253,1805.7221194749006,779.8604609356713,1173.7958109812776,369.3898975974076,1045.8138761955809,423.72742228624094,562.003359285238
1.1,318.3091720772797,759.7917480698727,613.1927957399537,1752.3163785534937,816.9427238940706,1008.1370700312475,386.7311361322031,856.7630555761325,261.63133266757353,506.885471617711
1.2,353.069748294045,693.4849037911499,543.0741086489179,1606.5693845770404,570.2026481453228,765.1991239345134,376.3754524936098,543.9253923151538,265.08214693216945,587.5343139606323
1.3,295.2522646103449,616.2012093446543,480.5041221096154,1070.5411498338167,500.47987016230775,926.0805790887755,372.49401200359705,532.408474613978,173.88569162991882,725.9378273827185
1.4,325.87131608354065,565.0447057480542,465.5107052805474,1001.5486510742472,427.2345570884605,634.5611305707117,373.0181825241339,535.1579140548432,342.15287541256026,492.15694512016563
1.5,339.5104922664337,646.2208962905244,378.8574473816989,997.3891105590426,483.73810219462604,665.8459877683756,355.9173028414181,480.43658200578363,107.21143441005411,511.1841174192846
