noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1734.614990234375,2439.34814453125,2087.065185546875,1752.141845703125,1783.9599609375,822.09521484375,1848.9927978515625,1744.099609375,1868.12890625,2445.772705078125
0.1,1726.5322265625,2463.43701171875,2310.080810546875,1623.1859130859375,1807.843994140625,807.76708984375,1816.7679443359375,1720.029052734375,1960.032958984375,2377.4345703125
0.2,1727.7923583984375,2336.0087890625,1970.2353515625,1707.6478271484375,1765.7779541015625,814.0769653320312,1881.5657958984375,1723.1884765625,1752.111572265625,2595.23388671875
0.3,1728.923583984375,2360.22705078125,1735.8170166015625,1695.4849853515625,1944.157958984375,824.7110595703125,1827.585205078125,1754.8724365234375,1917.7744140625,2190.534912109375
0.4,1718.3267822265625,2322.35888671875,1744.560546875,1670.568359375,2039.2060546875,861.3726806640625,1788.959716796875,1852.615478515625,1955.6429443359375,2472.41259765625
0.5,1627.198974609375,2354.59033203125,1948.990234375,1637.695556640625,1845.0718994140625,926.4158935546875,1847.8095703125,1832.985595703125,1921.458740234375,2443.3525390625
0.6,1666.7174072265625,2300.810546875,1621.611328125,1544.5916748046875,1710.714111328125,976.7503051757812,1766.081787109375,1803.995849609375,1769.084228515625,2033.2877197265625
0.7,1616.0716552734375,2331.151123046875,1802.754638671875,1577.9058837890625,1721.656982421875,1014.2501220703125,1729.8873291015625,1811.5205078125,1657.8187255859375,2170.642578125
0.8,1574.06005859375,2018.808837890625,1747.8443603515625,1535.9068603515625,1645.4779052734375,1055.1678466796875,1796.8677978515625,1803.6275634765625,1772.9224853515625,2001.6741943359375
0.9,1614.8800048828125,2128.187744140625,1834.974853515625,1474.513916015625,1727.708251953125,1097.179443359375,1719.6214599609375,1635.593017578125,1619.3314208984375,1859.5933837890625
1.0,1521.776123046875,2000.549072265625,1552.942626953125,1421.1248779296875,1737.368408203125,1115.1282958984375,1627.617431640625,1584.019287109375,1616.328369140625,2096.490966796875
1.1,1436.2994384765625,1653.0023193359375,1695.7095947265625,1344.3074951171875,1527.9830322265625,1129.81640625,1688.0804443359375,1658.2672119140625,1542.1068115234375,1675.2503662109375
1.2,1444.8841552734375,1603.3148193359375,1735.5472412109375,1316.2750244140625,1469.8887939453125,1160.3245849609375,1672.3023681640625,1655.127197265625,1547.101318359375,1662.744384765625
1.3,1407.0552978515625,1549.6690673828125,1402.6153564453125,1183.575927734375,1430.063232421875,1108.5623779296875,1606.909912109375,1539.739501953125,1401.311279296875,1469.9620361328125
1.4,1217.096923828125,1612.455810546875,1556.803466796875,1168.26904296875,1230.45166015625,1119.31005859375,1506.394287109375,1424.3392333984375,1385.33642578125,1363.1177978515625
1.5,1074.6490478515625,1460.0115966796875,1317.1304931640625,1045.75830078125,1181.83447265625,1085.8365478515625,1464.1533203125,1316.00732421875,1306.2781982421875,1273.3641357421875
