param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1920.5435791015625,2013.1097412109375,2140.393310546875,2095.83447265625,1937.789306640625,622.0430297851562,1483.669921875,2122.141845703125,1820.444580078125,2245.19482421875
0.6,1890.6373291015625,2146.344482421875,2160.261474609375,2081.660888671875,2103.627685546875,611.8408813476562,1272.7664794921875,2197.2841796875,1552.470947265625,2614.64599609375
0.7,1801.911376953125,2038.327392578125,2091.37451171875,2006.6656494140625,2154.856201171875,672.044921875,1992.69140625,2068.12841796875,1644.693359375,2108.5322265625
0.8,1873.228759765625,2111.9423828125,2124.530029296875,2019.848876953125,1928.604248046875,662.442138671875,1625.791748046875,2338.47021484375,1812.942626953125,2288.062255859375
0.9,1839.262939453125,2022.592041015625,2130.72216796875,1897.1689453125,2151.813232421875,648.7806396484375,1563.7535400390625,2112.734375,1796.5552978515625,2481.47998046875
1.0,1697.033203125,2071.41552734375,2126.146728515625,2079.203125,2092.434326171875,684.8448486328125,1770.4599609375,2138.06396484375,1765.0950927734375,2359.656494140625
1.1,1866.5162353515625,2055.180908203125,2025.831787109375,1906.2740478515625,2130.95263671875,670.8961181640625,1437.0177001953125,2067.560791015625,1551.000732421875,2061.186767578125
1.2,1778.7213134765625,1847.4271240234375,1924.928466796875,1927.779052734375,1990.391845703125,644.116943359375,972.77490234375,1679.537353515625,1655.6392822265625,1852.4632568359375
1.3,1712.3929443359375,1945.7259521484375,1897.3726806640625,1871.0341796875,1658.609375,779.788330078125,1072.9130859375,1419.328369140625,1533.3743896484375,1427.764892578125
1.4,1580.7864990234375,1637.0306396484375,1781.516845703125,1634.5152587890625,1660.451904296875,761.7105102539062,1040.44189453125,1469.7613525390625,1246.787353515625,1231.0186767578125
1.5,1589.932373046875,1582.7518310546875,1503.062255859375,1719.1929931640625,1670.652587890625,866.6969604492188,990.5489501953125,1292.8922119140625,1286.1561279296875,1127.2156982421875
1.6,1652.0267333984375,1695.4576416015625,1544.2578125,1680.455322265625,1651.0286865234375,818.8311767578125,835.6044921875,1210.341064453125,1157.773193359375,725.849365234375
1.7,1560.713623046875,1311.2271728515625,1473.0631103515625,1623.111572265625,1584.840576171875,818.60693359375,713.0707397460938,1315.760498046875,1178.9893798828125,687.8821411132812
1.8,1440.7591552734375,1321.099853515625,1521.655029296875,1622.41748046875,1481.217529296875,963.6063232421875,719.6492309570312,1346.120361328125,965.8932495117188,716.6698608398438
1.9,1337.0751953125,1175.2833251953125,1421.9599609375,1574.6497802734375,1461.3829345703125,880.9456176757812,625.9730224609375,1280.076904296875,916.8372192382812,680.8356323242188
2.0,1431.6304931640625,1222.1513671875,1285.07666015625,1350.892333984375,1549.504150390625,918.88134765625,473.00384521484375,1397.983642578125,977.0660400390625,725.7445068359375
2.1,1377.2158203125,1243.688720703125,1343.152587890625,1445.4647216796875,1385.8798828125,1056.536865234375,603.7064208984375,1221.089599609375,956.0021362304688,500.69805908203125
2.2,1346.5213623046875,1044.5849609375,1280.0128173828125,1564.003173828125,1285.493896484375,1044.11083984375,640.5870361328125,971.2230224609375,1116.7930908203125,565.7037353515625
2.3,1258.734130859375,888.2867431640625,1317.61474609375,1286.012451171875,1209.2945556640625,1184.169189453125,634.66650390625,1059.4490966796875,932.7322998046875,483.754150390625
2.4,1147.635009765625,764.3123779296875,1235.7886962890625,1401.271240234375,1082.65673828125,887.3658447265625,564.6924438476562,942.3753662109375,824.54736328125,380.65618896484375
