param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1845.5482177734375,1989.2252197265625,2056.671142578125,2076.115234375,2098.173583984375,699.86962890625,1220.2264404296875,2000.208984375,1667.2457275390625,2398.81103515625
0.6,1785.3046875,2037.405029296875,2099.398681640625,2003.1822509765625,2071.57421875,720.0777587890625,1420.3626708984375,2036.8861083984375,1501.5986328125,2009.6741943359375
0.7,1895.4544677734375,2094.107421875,2106.530029296875,2005.4521484375,2099.80126953125,727.9488525390625,1493.3564453125,1884.8509521484375,1761.230224609375,2348.946044921875
0.8,1733.363037109375,2011.072509765625,2152.697998046875,1953.300048828125,2113.535400390625,613.640380859375,1382.445068359375,1957.015625,1752.5689697265625,2362.576416015625
0.9,1911.4886474609375,2035.4993896484375,2154.76513671875,2134.223388671875,2175.88134765625,613.659423828125,1395.6705322265625,1890.7373046875,1624.731689453125,2140.791748046875
1.0,1872.1549072265625,2129.02783203125,2109.503173828125,2114.20654296875,2165.334716796875,712.8001708984375,1553.91650390625,2085.744873046875,1658.102294921875,2291.65673828125
1.1,1886.928466796875,1989.5150146484375,2067.1826171875,2098.65869140625,2126.514404296875,592.3526611328125,1396.957763671875,2183.423828125,1732.424072265625,2499.552490234375
1.2,1865.970947265625,1924.597412109375,2069.41064453125,2102.508544921875,2174.269775390625,610.1897583007812,1698.0078125,2247.23095703125,1739.943115234375,2063.300048828125
1.3,1900.993408203125,1886.3353271484375,2014.360595703125,1978.2769775390625,2093.296875,745.3944702148438,1690.029052734375,2030.8974609375,1684.566162109375,2527.6513671875
1.4,1879.724853515625,2098.1796875,2095.31396484375,1997.6851806640625,2142.693359375,661.1837768554688,1938.4912109375,2081.041015625,1636.779541015625,2017.595703125
1.5,1813.8333740234375,1988.4537353515625,2083.53271484375,1923.756591796875,2136.90234375,589.6090087890625,1717.2607421875,2155.600341796875,1861.2080078125,2578.689453125
1.6,1846.170654296875,2040.129150390625,2098.76513671875,2008.051513671875,1951.2454833984375,585.2258911132812,1640.4495849609375,2267.2861328125,1735.860595703125,2031.1097412109375
1.7,1857.4730224609375,1945.499267578125,2047.534423828125,1983.7281494140625,2109.75927734375,575.6403198242188,1651.2142333984375,2228.654541015625,1789.6119384765625,2114.30126953125
1.8,1834.5267333984375,1879.0054931640625,2105.571044921875,1838.727783203125,2018.6754150390625,776.8506469726562,2012.5989990234375,2167.327880859375,1760.8187255859375,2249.983642578125
1.9,1800.415283203125,1930.0755615234375,2054.7236328125,1872.0257568359375,2042.453125,674.0618896484375,1973.3863525390625,2337.42138671875,1746.638671875,2569.88330078125
2.0,1824.9423828125,1954.1927490234375,2077.062255859375,1807.1500244140625,2133.265625,648.9022216796875,2072.244140625,2190.79736328125,1684.7152099609375,2514.791259765625
2.1,1735.7457275390625,1921.4150390625,2059.89111328125,1902.267822265625,2116.632080078125,619.3174438476562,1803.109130859375,2364.84814453125,1807.087890625,2476.36767578125
2.2,1824.491455078125,1968.0482177734375,2053.29443359375,1753.313232421875,2097.317138671875,680.3201904296875,2381.596435546875,2332.8193359375,1693.237060546875,2497.42822265625
2.3,1816.728759765625,1927.3486328125,2016.322998046875,1827.9388427734375,2027.901611328125,710.119384765625,2079.80322265625,2291.185546875,1568.493408203125,2359.037109375
2.4,1807.270751953125,1956.909912109375,2033.2291259765625,1869.6171875,2098.489990234375,730.4852294921875,2224.690185546875,2313.07373046875,1622.296630859375,1637.062255859375
