param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,517.3113403320312,692.0931396484375,615.4413452148438,634.31884765625,588.9449462890625,332.9045104980469,1038.2213134765625,643.3826904296875,506.701416015625,2089.15234375
0.6,549.1136474609375,771.2249755859375,757.7254028320312,1088.316162109375,1046.1307373046875,428.96636962890625,1066.371826171875,746.5659790039062,539.4723510742188,2742.61962890625
0.7,841.0364990234375,1546.345947265625,1254.4547119140625,2275.665771484375,3119.65478515625,526.6720581054688,1408.308349609375,1695.572998046875,580.6848754882812,2764.011962890625
0.8,1427.447509765625,3275.58984375,891.6702880859375,2282.20361328125,3335.93115234375,600.9317626953125,1865.630859375,2941.04736328125,646.42626953125,2696.68017578125
0.9,2942.3095703125,3296.650390625,2065.555908203125,3020.2138671875,3492.500732421875,3183.541259765625,3139.07470703125,3147.03955078125,992.1883544921875,2660.3017578125
1.0,3171.67138671875,3253.13818359375,2773.624267578125,2949.04150390625,3545.419189453125,3257.91259765625,3058.6025390625,3136.5908203125,3116.554931640625,2797.6796875
1.1,1392.1431884765625,3066.419921875,1397.02880859375,3109.1240234375,633.5824584960938,3096.84228515625,3003.132080078125,992.8547973632812,2861.947265625,880.0421752929688
1.2,962.8410034179688,950.6407470703125,880.1060791015625,2501.1533203125,314.6607360839844,1083.50146484375,1910.3052978515625,630.0447387695312,683.8731079101562,671.868408203125
1.3,811.2262573242188,812.0319213867188,638.4692993164062,854.8464965820312,813.537109375,783.6268310546875,1300.0457763671875,458.97296142578125,519.490234375,481.1471252441406
1.4,671.8616943359375,570.2197265625,365.5758972167969,579.03759765625,679.5801391601562,466.7041015625,762.8863525390625,395.97125244140625,432.74951171875,417.84173583984375
1.5,455.4560546875,450.3924865722656,348.5285949707031,439.4015197753906,441.6553649902344,429.6209411621094,483.3609313964844,402.03533935546875,409.55670166015625,308.75933837890625
1.6,404.8296203613281,406.6532897949219,331.16790771484375,275.97149658203125,403.0780944824219,380.3695068359375,415.1997985839844,372.2644958496094,372.3250732421875,361.739501953125
1.7,362.70025634765625,365.5888671875,315.5753479003906,268.82769775390625,368.00787353515625,341.15740966796875,377.3299560546875,344.3952941894531,340.35711669921875,329.6728210449219
1.8,328.47308349609375,329.0831298828125,302.7230529785156,262.02374267578125,332.1275329589844,304.6757507324219,345.4547424316406,317.85693359375,315.74267578125,303.99853515625
1.9,306.2205810546875,306.13458251953125,298.0680236816406,259.0933837890625,306.0663757324219,288.2963562011719,321.52923583984375,302.8609619140625,295.98626708984375,296.6287841796875
2.0,293.9953308105469,290.95758056640625,295.36590576171875,301.2515869140625,296.49688720703125,284.0564270019531,300.9360656738281,294.93389892578125,282.5867614746094,293.484375
2.1,284.9215087890625,281.11138916015625,285.8729248046875,292.283447265625,289.29736328125,281.08221435546875,287.21435546875,285.8009338378906,273.31646728515625,286.1429443359375
2.2,275.85797119140625,275.9048156738281,278.7283935546875,282.2582702636719,283.4616394042969,276.2159423828125,278.01153564453125,276.01214599609375,265.5133056640625,279.1316833496094
2.3,268.0365905761719,273.5118408203125,272.5054931640625,272.72613525390625,278.25909423828125,272.16229248046875,270.793701171875,267.7955017089844,258.1217956542969,272.8887939453125
2.4,262.97589111328125,271.3166198730469,267.5697937011719,264.5489196777344,274.62982177734375,269.05902099609375,266.9590148925781,263.1604309082031,255.1090087890625,268.46966552734375
