noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2647.25927734375,665.4690551757812,1211.8294677734375,1301.9085693359375,2756.576171875,3094.740234375,3306.770263671875,2820.904296875,2943.111572265625,225.1305694580078
0.1,2736.985595703125,2149.281494140625,1989.8740234375,1320.3360595703125,2709.78759765625,3158.185546875,3231.20654296875,2845.733154296875,2945.463134765625,225.59042358398438
0.2,2809.8876953125,2423.005859375,1205.053466796875,1311.759033203125,1928.2818603515625,3056.4580078125,2143.32666015625,2924.07666015625,3053.97998046875,224.5391387939453
0.3,2757.473876953125,1309.3876953125,670.66552734375,1395.916015625,1135.4613037109375,1672.177490234375,1225.881103515625,2797.92333984375,2838.86865234375,222.56893920898438
0.4,2422.028564453125,918.7689208984375,559.6827392578125,1187.752685546875,1020.8304443359375,984.3580322265625,857.8933715820312,1366.7259521484375,2159.42724609375,222.87802124023438
0.5,854.3712768554688,619.5912475585938,374.57562255859375,1044.0487060546875,733.5684204101562,899.1965942382812,492.6136169433594,761.531982421875,1167.23876953125,220.92135620117188
0.6,461.971923828125,515.5487060546875,324.2081298828125,970.19189453125,511.6363830566406,572.9683837890625,399.1391296386719,560.4805297851562,903.4373168945312,221.8461456298828
0.7,365.65728759765625,448.6622009277344,264.16961669921875,816.9940185546875,460.49627685546875,532.0723876953125,328.9605712890625,330.54559326171875,713.5941162109375,199.02450561523438
0.8,321.3661804199219,346.9316711425781,231.57302856445312,709.614501953125,412.6258239746094,443.32611083984375,311.42059326171875,428.43365478515625,744.5421142578125,210.90835571289062
0.9,299.92840576171875,343.9985046386719,226.2642364501953,635.5477294921875,362.2818603515625,393.99444580078125,315.82806396484375,309.7254638671875,448.2395935058594,205.78121948242188
1.0,313.7796936035156,305.40069580078125,217.02474975585938,605.0335693359375,309.6111755371094,368.7516174316406,282.54437255859375,274.5631408691406,444.07806396484375,208.0642852783203
1.1,311.8122863769531,280.728515625,158.31881713867188,498.5860900878906,273.8251647949219,311.16290283203125,266.97857666015625,179.63656616210938,407.25146484375,191.0786895751953
1.2,288.6736755371094,232.5299530029297,202.1990966796875,433.52294921875,222.71640014648438,334.98004150390625,280.3507385253906,222.8280029296875,369.0020446777344,199.04054260253906
1.3,275.2875671386719,263.8309631347656,166.85067749023438,474.43865966796875,222.13607788085938,303.0619812011719,230.6746826171875,207.84951782226562,376.4153137207031,199.12008666992188
1.4,273.4674377441406,257.3371887207031,175.81182861328125,421.305419921875,253.482666015625,310.7447204589844,263.28631591796875,167.89878845214844,346.4566650390625,194.92416381835938
1.5,308.8817138671875,286.5097961425781,157.92105102539062,359.39056396484375,238.17538452148438,278.75946044921875,225.3004150390625,205.45437622070312,320.09320068359375,186.49868774414062
