noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,-2.596268545314151,-2.243850132444442,-3.1197141786440272,-1.9464982354980684,-2.035548311619652,-1.9900340026554666,-2.368698239808767,-3.2451366503192896,-1.8922119980025602,-1.7680638300469567
0.1,-2.6507261300005562,-2.6126484790951263,-3.179470698406729,-2.2707163450821506,-2.4765311406990276,-2.22717438962699,-1.8777085822045123,-2.55662773049436,-1.951343425763443,-2.445657726343433
0.2,-2.9309188911053488,-2.4341456159969086,-3.344971282551117,-2.482848320265318,-2.524535041586355,-2.309787033822237,-1.7848835067170448,-4.369566839661624,-2.6170869255799416,-2.1031293883018454
0.3,-2.7619476287421256,-2.311021856714688,-3.5391350670766224,-2.221300295595756,-2.4675629667040138,-2.7160877626805084,-2.1489861535752466,-2.735904707606626,-3.16755345336865,-2.1301227460385936
0.4,-2.857650033174953,-2.349635833289867,-3.8380946592146925,-2.6804733544947648,-2.181428984201716,-3.0233470117327603,-2.099068245686115,-3.689147762187237,-2.950689376580141,-1.9286289706190174
0.5,-2.032586771530652,-2.1354495009268084,-3.236020003053492,-2.4084481087487175,-2.112095097207398,-2.1530703337038233,-2.2512212139438836,-2.632377482950889,-3.2363127381563395,-2.5917036385364822
0.6,-2.9233310146273,-1.8482264983339871,-4.164513043248238,-2.095035162131054,-2.005661836312745,-2.7749585560712493,-2.451810600064401,-3.9737094857434565,-2.8721377256993685,-1.8990066171715718
0.7,-1.908226812628352,-2.981283677193816,-3.4236537081907494,-3.151406335129614,-2.5940448789731025,-2.6070166683217475,-2.224090009886781,-3.256916246512147,-3.2966857478286222,-1.5238740687961851
0.8,-3.0460383954991865,-2.668609222333161,-4.137752852383882,-2.7998805435684018,-2.0849637608436966,-2.6361124289862863,-2.171182855241455,-5.128100993776939,-3.0086546270032244,-1.7941695001939462
0.9,-1.5121462356035011,-2.6725968161922116,-2.5238898371241953,-2.132886556675179,-2.65170026063346,-2.1428216203511314,-2.1902464955286836,-4.520281122718449,-2.5923658930899367,-2.444486279643269
1.0,-1.7234369946967925,-2.10861074583453,-2.700054290867029,-1.9102930661601474,-1.6642778627372663,-2.539109544378927,-2.4634747893561033,-4.3173261512397065,-2.106342731941066,-1.8317207808874592
