param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1718.6302490234375,2346.8837890625,2994.02783203125,2265.175048828125,1923.494384765625,710.8447875976562,2895.72607421875,439.61663818359375,596.8486328125,983.4332275390625
0.6,2064.764404296875,2404.080078125,3080.95654296875,2174.4658203125,1883.1998291015625,1098.8382568359375,3067.78173828125,430.02685546875,413.9309997558594,1142.2664794921875
0.7,2025.354248046875,2434.524658203125,3161.48779296875,2244.61376953125,1781.7200927734375,2064.43798828125,2987.50732421875,412.2859802246094,843.2109375,1056.923095703125
0.8,2067.553955078125,2411.5263671875,3074.400390625,2270.706787109375,1815.282958984375,2172.17431640625,3004.60498046875,404.15533447265625,824.0276489257812,1118.3909912109375
0.9,1669.451171875,2410.071044921875,3141.27392578125,2310.949951171875,1899.113037109375,2243.91943359375,2992.4443359375,399.73663330078125,1024.4539794921875,1384.94140625
1.0,991.6808471679688,2407.740234375,3142.6943359375,2327.34033203125,1912.9222412109375,2429.8251953125,2962.42041015625,393.6871337890625,895.794921875,1277.431640625
1.1,1316.493896484375,2440.962890625,3176.4013671875,2349.570556640625,1991.8099365234375,2358.5205078125,2941.293701171875,387.18865966796875,1249.8216552734375,1306.674560546875
1.2,942.71923828125,2623.633544921875,3188.439453125,2370.669189453125,2028.064453125,2640.0615234375,2915.04052734375,386.16790771484375,854.0216674804688,1381.1441650390625
1.3,690.3509521484375,2760.120361328125,3199.223388671875,2233.64794921875,2012.138916015625,2696.912353515625,2893.175537109375,378.3095397949219,907.5771484375,1095.96728515625
1.4,755.3848876953125,2838.364013671875,3161.712890625,2195.49365234375,2051.307861328125,2666.287109375,2889.398193359375,378.80328369140625,798.5174560546875,1307.228271484375
1.5,826.2491455078125,2892.88671875,3034.7197265625,2237.36669921875,2023.11328125,2601.5859375,2876.219970703125,377.8009338378906,700.6513061523438,1258.5421142578125
1.6,862.1849365234375,2914.939453125,3065.279052734375,2173.79248046875,2007.9066162109375,2589.64111328125,2867.097412109375,372.51080322265625,536.9160766601562,1434.7547607421875
1.7,800.3680419921875,2903.4990234375,2966.791259765625,2032.3583984375,2079.14501953125,2692.156982421875,2854.29296875,373.36865234375,939.3277587890625,1483.3682861328125
1.8,821.8186645507812,2860.07666015625,2972.405517578125,1179.552490234375,2043.3677978515625,2489.0361328125,2852.317626953125,370.99395751953125,732.958984375,1186.8480224609375
1.9,825.3841552734375,2934.77685546875,2812.820556640625,941.2566528320312,1714.0230712890625,2224.188720703125,2869.78662109375,372.0415344238281,652.7760009765625,1101.876220703125
2.0,806.98291015625,2838.064697265625,2999.05810546875,799.494384765625,1110.0894775390625,2519.714111328125,2864.86376953125,370.7845764160156,600.5385131835938,1121.0966796875
2.1,832.6261596679688,2135.19287109375,2739.499755859375,638.109619140625,871.9219970703125,2317.04833984375,2876.357421875,368.1495666503906,695.2843017578125,1050.57470703125
2.2,665.4251708984375,1741.9857177734375,2640.509033203125,600.626220703125,797.085693359375,2233.3212890625,2881.73193359375,368.8677978515625,783.3846435546875,1004.89111328125
2.3,633.5047607421875,2126.60107421875,2795.8916015625,582.2650146484375,746.5274658203125,2304.39697265625,2884.831787109375,369.00860595703125,931.3885498046875,1034.38525390625
2.4,525.7677001953125,2147.379150390625,2804.705810546875,567.5967407226562,693.6331176757812,2084.7890625,2880.610107421875,361.96148681640625,1177.620361328125,959.2643432617188
