noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2250.561279296875,1633.8095703125,2504.313232421875,2990.346435546875,1387.87060546875,2370.347412109375,2887.00634765625,3194.271484375,1632.0823974609375,2282.632568359375
0.1,1988.071533203125,1563.52294921875,2557.72412109375,3014.185546875,1997.1741943359375,2211.42626953125,2922.61865234375,3130.64404296875,2068.584716796875,2291.595458984375
0.2,1929.236328125,1904.754150390625,2588.314208984375,2976.16748046875,2221.84716796875,2541.52783203125,3006.747314453125,3054.819580078125,2042.877685546875,2206.5595703125
0.3,1695.5511474609375,1449.7144775390625,2663.53076171875,3031.02099609375,2463.7744140625,2208.6328125,3048.609130859375,3031.74267578125,2169.796142578125,2253.61328125
0.4,1896.1611328125,1605.6871337890625,2096.81103515625,2948.68896484375,2049.10595703125,2573.97412109375,3131.96875,3009.66650390625,2106.989501953125,2116.36083984375
0.5,1738.5443115234375,1156.5560302734375,1402.6829833984375,3064.2021484375,1912.110107421875,1938.3310546875,3053.87646484375,2333.004150390625,1839.737548828125,1816.6275634765625
0.6,1350.727294921875,1178.197509765625,1042.8526611328125,2443.677734375,969.9772338867188,2209.07861328125,2246.861328125,1605.414306640625,1631.11181640625,1622.1690673828125
0.7,1242.124267578125,914.130859375,707.734619140625,1900.8818359375,889.7822265625,1581.7052001953125,2329.294189453125,1061.726806640625,1409.8016357421875,1385.103759765625
0.8,1071.882568359375,744.052490234375,733.4544677734375,1991.4215087890625,635.973388671875,1904.408935546875,1102.5494384765625,717.6207275390625,1029.8834228515625,1031.5186767578125
0.9,877.4324951171875,551.5402221679688,590.9923095703125,1490.75537109375,468.5689392089844,2093.47705078125,1183.443603515625,551.95751953125,911.9459228515625,894.5389404296875
1.0,717.8272705078125,554.3903198242188,516.932373046875,1414.06591796875,418.56695556640625,1659.727294921875,801.57568359375,561.0101318359375,858.4133911132812,731.8923950195312
1.1,752.4760131835938,477.1556091308594,440.9095764160156,879.0780029296875,454.61273193359375,1167.705322265625,578.3842163085938,491.6726989746094,706.1774291992188,709.7976684570312
1.2,613.4628295898438,469.547607421875,459.47601318359375,872.5186767578125,356.47796630859375,938.7463989257812,456.19049072265625,450.1878967285156,608.1512451171875,559.0245361328125
1.3,570.9700927734375,410.2796936035156,435.732666015625,705.2017822265625,374.2696228027344,757.8569946289062,500.92767333984375,466.8382873535156,633.866455078125,497.706298828125
1.4,488.497314453125,391.9989318847656,343.828857421875,760.2623291015625,356.8213806152344,830.318359375,439.25067138671875,372.51068115234375,548.4478149414062,468.71392822265625
1.5,495.87298583984375,380.09393310546875,321.60748291015625,736.7448120117188,340.2931823730469,541.8448486328125,453.20159912109375,375.6153869628906,525.3991088867188,459.8995056152344
