noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2187.8818359375,1599.8336181640625,2219.367919921875,2790.262939453125,1677.9281005859375,2490.90869140625,2069.489013671875,1838.448974609375,1639.0181884765625,3033.05322265625
0.1,2111.031005859375,1750.668212890625,2136.49755859375,2717.97216796875,1691.8896484375,2503.16650390625,2079.716552734375,1874.204345703125,1434.038818359375,2985.44384765625
0.2,2339.47509765625,1718.4652099609375,2250.32177734375,2764.40771484375,1650.373046875,2332.4990234375,2075.45654296875,1932.3486328125,1611.061279296875,2949.4697265625
0.3,2144.56396484375,1860.217041015625,2250.88623046875,2776.13720703125,1665.1234130859375,2412.47412109375,2065.316650390625,1633.56201171875,1650.3197021484375,2771.06884765625
0.4,2330.84521484375,2041.4993896484375,1853.9642333984375,2369.56396484375,1574.686279296875,2230.58349609375,2045.4241943359375,1973.2591552734375,1511.78662109375,2724.907470703125
0.5,2294.87353515625,1422.9720458984375,1874.620849609375,2615.41943359375,1568.2735595703125,2172.052734375,1968.764892578125,1752.281005859375,1601.017333984375,2634.503173828125
0.6,1888.802978515625,1549.652587890625,1639.515869140625,1909.263427734375,1425.732177734375,2125.097412109375,1946.4755859375,1823.011962890625,1562.1873779296875,2297.435546875
0.7,1582.357666015625,1819.7493896484375,1088.7247314453125,2028.354248046875,1612.75439453125,2112.004638671875,1900.0347900390625,1531.967529296875,1546.08935546875,2089.98828125
0.8,1697.635498046875,1422.521484375,1778.4351806640625,1691.170166015625,1462.267333984375,1960.072021484375,1834.6533203125,1706.2034912109375,1536.1348876953125,2273.784423828125
0.9,1689.248291015625,1262.7158203125,1329.50244140625,1512.161376953125,1335.707275390625,1888.547119140625,1728.7047119140625,1600.99658203125,1371.07763671875,1788.439208984375
1.0,1831.3294677734375,1291.083984375,1409.376220703125,1480.269287109375,1151.8602294921875,1844.4964599609375,1687.071044921875,1574.059326171875,1394.979248046875,1606.781982421875
1.1,1699.6197509765625,1453.441650390625,1140.9805908203125,1130.736083984375,1308.028564453125,1650.703857421875,1582.881103515625,1573.7047119140625,1412.87548828125,1571.3076171875
1.2,1529.9864501953125,1399.3309326171875,1263.7130126953125,1319.27294921875,1193.01025390625,1422.108154296875,1548.868408203125,1436.531494140625,1419.8826904296875,1155.619140625
1.3,1226.6734619140625,1181.2320556640625,987.4832153320312,899.8841552734375,1033.3470458984375,1585.1204833984375,1387.1495361328125,1303.0093994140625,1312.1337890625,1165.464111328125
1.4,1036.575439453125,1109.1798095703125,880.2275390625,752.0421142578125,933.30908203125,1326.249755859375,1307.720947265625,1171.621826171875,1236.331298828125,822.7103271484375
1.5,969.3526611328125,1194.637939453125,845.1280517578125,535.9421997070312,733.7338256835938,1142.448974609375,1292.9520263671875,1149.662353515625,1371.521240234375,588.3909912109375
