noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2482.394287109375,1430.700439453125,2468.52685546875,2012.0531005859375,1791.415283203125,2563.533447265625,1992.219970703125,1902.024169921875,2627.449462890625,1943.916015625
0.1,2465.88720703125,1535.5743408203125,2277.40869140625,2013.60546875,1789.7943115234375,2405.37255859375,2193.423095703125,1897.7593994140625,2363.7412109375,1920.3336181640625
0.2,2296.328369140625,1702.165283203125,2182.578857421875,1724.0347900390625,1692.7935791015625,2236.415771484375,1836.506591796875,1729.155029296875,2316.75830078125,2051.061767578125
0.3,2268.838134765625,1479.538818359375,1921.615966796875,1588.535400390625,1504.73876953125,1812.7943115234375,1688.852294921875,1501.904541015625,2088.256591796875,1704.830078125
0.4,2010.1265869140625,1414.968994140625,1818.12890625,1547.99072265625,1427.8079833984375,1765.7080078125,1562.526611328125,1612.309326171875,1745.8115234375,1541.27978515625
0.5,1744.6669921875,1371.98486328125,1468.514404296875,1481.405517578125,1284.6529541015625,1271.065673828125,1406.15576171875,1373.5084228515625,1505.8697509765625,1372.4835205078125
0.6,1557.345947265625,1142.3997802734375,966.9991455078125,1232.5738525390625,1099.74658203125,1102.7474365234375,1093.679931640625,1035.0286865234375,1423.458740234375,984.4580078125
0.7,1286.031005859375,1069.8125,851.3043823242188,1032.8626708984375,1233.8485107421875,789.3377685546875,882.2359619140625,934.2049560546875,1256.18017578125,1218.8995361328125
0.8,992.6875,995.9639892578125,635.5331420898438,842.8489990234375,1003.4091796875,748.2813720703125,835.7919921875,802.6380615234375,1107.138671875,1086.10791015625
0.9,807.7969970703125,888.55078125,590.4049072265625,766.4641723632812,711.7322998046875,480.53204345703125,531.5792236328125,601.8566284179688,1104.3944091796875,776.8963623046875
1.0,508.1942443847656,615.489990234375,298.3476257324219,563.7457275390625,721.1784057617188,341.6542053222656,353.83038330078125,535.92333984375,754.9482421875,607.545166015625
1.1,396.60186767578125,422.5650329589844,258.94134521484375,488.9345703125,444.51263427734375,337.9459228515625,396.63336181640625,417.989990234375,752.3273315429688,519.0555419921875
1.2,344.28173828125,503.1289978027344,290.38232421875,327.5108642578125,416.38616943359375,299.7803649902344,331.6924743652344,276.948486328125,423.9635314941406,421.0499572753906
1.3,204.29473876953125,349.10540771484375,131.98866271972656,313.8580627441406,406.26422119140625,246.3111114501953,251.12380981445312,153.08201599121094,417.8606872558594,281.78289794921875
1.4,162.69912719726562,270.4937744140625,91.32069396972656,230.50326538085938,294.73040771484375,206.77218627929688,132.00479125976562,121.37252044677734,307.6599426269531,226.4840850830078
1.5,139.30471801757812,193.0546112060547,112.2139892578125,167.1119842529297,162.40293884277344,121.5338363647461,126.6557388305664,137.5746612548828,228.8915557861328,201.4625244140625
