param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1654.9302978515625,1546.767822265625,2189.49853515625,2636.732177734375,1648.290771484375,2453.973388671875,2048.00634765625,2085.80712890625,1584.52587890625,3017.984619140625
0.6,2020.652099609375,1700.7144775390625,2099.05810546875,3024.861328125,1443.1318359375,2507.11474609375,2089.93701171875,1986.1556396484375,1632.182373046875,2980.6845703125
0.7,2121.261474609375,1700.622314453125,2226.37744140625,2802.142333984375,1616.73828125,2495.007568359375,2090.47900390625,1939.9154052734375,1672.148193359375,2959.80029296875
0.8,2126.76123046875,1643.8902587890625,2192.07763671875,2841.902587890625,1577.0382080078125,2459.828369140625,2078.22021484375,2058.1689453125,1602.2193603515625,2895.2158203125
0.9,2219.855712890625,1671.391357421875,2035.5911865234375,2862.498046875,1605.045654296875,2501.956787109375,1990.474609375,1866.873779296875,1661.053466796875,2862.750732421875
1.0,2005.459716796875,1599.5858154296875,2286.566650390625,2810.4580078125,1655.0006103515625,2521.690673828125,2094.865234375,1691.685546875,1634.298583984375,2918.808349609375
1.1,2194.428955078125,1812.464111328125,1868.4515380859375,2762.958740234375,1680.896728515625,2539.64892578125,2071.8681640625,1847.466552734375,1528.74951171875,2928.146484375
1.2,2343.73974609375,1603.794189453125,2537.696044921875,2561.324951171875,1665.8665771484375,2476.757080078125,2067.627197265625,1679.101806640625,1620.810546875,2915.419921875
1.3,2215.01806640625,1747.1282958984375,2375.3720703125,2755.955322265625,1622.0567626953125,2535.2509765625,2087.375732421875,1688.0810546875,1634.726806640625,2732.082275390625
1.4,2419.08984375,1930.5999755859375,2465.05517578125,2727.322509765625,1695.974365234375,2560.208740234375,2083.108642578125,1632.6260986328125,1563.6456298828125,2859.519775390625
1.5,2283.288330078125,1734.9375,2229.182861328125,2531.00732421875,1540.1634521484375,2546.95068359375,2063.727294921875,1507.988525390625,1493.427978515625,2856.52197265625
1.6,2249.65478515625,1871.1910400390625,1824.626953125,2640.6962890625,1629.6973876953125,2504.25634765625,2053.958984375,1665.3226318359375,1538.5635986328125,2813.95458984375
1.7,2478.192626953125,1955.6318359375,2355.02294921875,2576.07080078125,1676.302001953125,2571.74365234375,2050.67919921875,1583.288330078125,1510.633544921875,2782.47998046875
1.8,2250.51513671875,2084.065673828125,2196.32275390625,2602.587890625,1583.587646484375,2508.739990234375,2067.2314453125,1481.146240234375,1564.4378662109375,2746.252685546875
1.9,2124.34228515625,1923.054931640625,2102.7763671875,2546.344970703125,1652.924072265625,2591.45068359375,2044.8170166015625,1652.651123046875,1546.732177734375,2712.51416015625
2.0,2443.16748046875,1695.3626708984375,2092.67724609375,2508.24169921875,1664.6351318359375,2563.25732421875,2046.8720703125,1656.1695556640625,1568.24609375,2713.921875
2.1,2426.760498046875,1820.989013671875,2367.0654296875,2473.8525390625,1599.34912109375,2572.067138671875,2048.275390625,1439.7479248046875,1517.428955078125,2623.031005859375
2.2,2224.50927734375,2045.9697265625,1924.114501953125,2429.1357421875,1562.836181640625,2555.064208984375,2046.312255859375,1562.1053466796875,1553.713623046875,2696.694091796875
2.3,2334.288330078125,1720.666259765625,2109.975830078125,2374.053466796875,1612.0732421875,2488.321044921875,2007.603271484375,1710.4615478515625,1495.1715087890625,2641.812744140625
2.4,2304.81787109375,1943.7955322265625,2182.48681640625,2367.067138671875,1645.9127197265625,2562.75244140625,2001.4136962890625,1419.6162109375,1500.880615234375,2569.33740234375
