noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1073.335693359375,2164.536376953125,1654.951904296875,903.2813720703125,2559.88916015625,1002.9271240234375,699.1131591796875,808.2107543945312,3079.45849609375,3046.56005859375
0.1,1016.4661865234375,2190.241455078125,1697.490478515625,715.7239379882812,2585.11279296875,921.2918701171875,627.2740478515625,550.7583618164062,3051.2060546875,2813.8671875
0.2,1041.8353271484375,2101.79833984375,1635.534912109375,811.8385009765625,2585.8837890625,1117.4776611328125,462.65582275390625,888.4810791015625,3083.8408203125,2959.17822265625
0.3,1076.4124755859375,2224.621337890625,1643.411865234375,895.4161987304688,2611.78173828125,960.7149658203125,576.232666015625,770.8444213867188,3102.2509765625,3019.19775390625
0.4,1088.427734375,2192.95068359375,1571.397216796875,693.3414916992188,2554.873046875,1035.9927978515625,523.5718994140625,846.0538330078125,3056.290283203125,3033.132080078125
0.5,1085.8826904296875,2091.53857421875,1624.122802734375,1029.5052490234375,2407.712890625,1048.3897705078125,441.52508544921875,860.57763671875,3068.89404296875,2917.978271484375
0.6,1058.296875,2141.83935546875,1650.8255615234375,734.2089233398438,2532.263671875,1016.3109130859375,598.137451171875,542.5128173828125,3040.1103515625,2989.242919921875
0.7,1043.9888916015625,2215.464111328125,1647.9681396484375,756.86669921875,2527.192626953125,1003.9075317382812,472.2461853027344,885.5075073242188,3057.781494140625,2950.2822265625
0.8,1064.5750732421875,2189.39208984375,1625.2803955078125,733.5343627929688,2516.768798828125,1075.2386474609375,473.4562072753906,897.47119140625,3056.16064453125,3002.1328125
0.9,1080.2030029296875,2150.242431640625,1616.0560302734375,835.6705932617188,2544.79443359375,1076.5091552734375,567.177978515625,557.095703125,3054.37939453125,2863.52197265625
1.0,1027.9617919921875,2143.0400390625,1636.1800537109375,800.9859008789062,2519.906982421875,992.81298828125,303.0447082519531,810.7345581054688,3039.72705078125,2836.44775390625
1.1,1079.510009765625,2136.958251953125,1532.556640625,535.7296142578125,2465.198486328125,994.77294921875,414.34503173828125,687.3291625976562,3006.914794921875,2943.961669921875
1.2,956.9572143554688,2146.4306640625,1553.5384521484375,721.931396484375,2508.81982421875,1036.352783203125,560.875244140625,574.6656494140625,3024.642333984375,2908.08935546875
1.3,1027.222900390625,2034.5826416015625,1603.4326171875,487.185791015625,2367.36865234375,1014.74365234375,391.9675598144531,843.8805541992188,3005.56982421875,2671.565185546875
1.4,1049.26513671875,2047.185791015625,1506.042236328125,540.1724243164062,2401.95458984375,969.05908203125,412.50372314453125,867.8585205078125,3009.03662109375,2902.1943359375
1.5,1073.6961669921875,2088.593994140625,1534.9210205078125,746.231689453125,2435.39306640625,992.7454833984375,382.65985107421875,800.279541015625,3002.396484375,2802.42822265625
