noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1855.3837890625,4080.15673828125,2625.0615234375,1443.534912109375,3187.69677734375,3783.946533203125,766.32763671875,4438.49755859375,2074.70751953125,2675.64501953125
0.1,1826.7447509765625,4079.240966796875,2608.192626953125,1302.2593994140625,3171.25244140625,3673.02099609375,748.3433837890625,4380.10888671875,2290.0625,2655.5625
0.2,1834.347900390625,4011.31689453125,2574.88330078125,1419.183349609375,3150.203125,3598.563232421875,747.4332275390625,4335.1025390625,2181.168701171875,2557.394287109375
0.3,1769.5699462890625,3959.20361328125,2510.4296875,1239.3077392578125,3106.716552734375,3403.802734375,726.0281982421875,4232.8642578125,2119.00439453125,2458.712890625
0.4,1747.3795166015625,3875.69775390625,2496.29248046875,1401.693359375,3008.12109375,3108.9853515625,725.432861328125,4128.9033203125,2021.460693359375,2352.263427734375
0.5,1658.338623046875,3736.78857421875,2367.031005859375,1278.9761962890625,2956.81201171875,2912.116943359375,699.0568237304688,4034.67333984375,1576.952392578125,2122.05908203125
0.6,1706.4312744140625,3619.772216796875,2298.4990234375,1173.260986328125,2829.25537109375,2603.43115234375,691.0509033203125,3901.51318359375,1671.155517578125,2079.344970703125
0.7,1486.260498046875,3297.731689453125,2187.650634765625,981.83984375,2694.69580078125,2533.751953125,689.4541015625,3762.489013671875,1753.462890625,1845.0013427734375
0.8,1514.3699951171875,2958.864501953125,2099.193603515625,1005.6834106445312,2528.471435546875,2306.80029296875,679.5736694335938,3583.53955078125,1524.5205078125,1807.1187744140625
0.9,1524.1680908203125,2790.591552734375,1915.8701171875,958.2932739257812,2430.257568359375,1875.32421875,660.118896484375,3390.23046875,1492.2034912109375,1672.365966796875
1.0,1481.904541015625,2792.593994140625,1875.207275390625,553.6678466796875,2375.913818359375,1900.615966796875,629.8504028320312,3319.388671875,1242.6505126953125,1556.828369140625
1.1,1470.912353515625,2214.69287109375,1815.9654541015625,735.6367797851562,2126.371826171875,1735.4957275390625,610.6636962890625,3151.51904296875,1018.01513671875,1368.1724853515625
1.2,1384.767333984375,2137.9345703125,1695.241943359375,731.5701904296875,2068.009765625,1487.175537109375,609.993896484375,2953.0517578125,886.3631591796875,1184.2169189453125
1.3,1331.9945068359375,1795.2142333984375,1566.104248046875,552.0285034179688,1968.480224609375,1411.8809814453125,555.4866943359375,2817.4560546875,1064.6646728515625,1192.9044189453125
1.4,1282.5355224609375,1442.379638671875,1526.242431640625,568.0008544921875,1872.66015625,1167.258056640625,564.0064697265625,2796.997802734375,704.85302734375,1101.351806640625
1.5,1189.2861328125,1181.3045654296875,1399.5177001953125,590.6728515625,1728.8043212890625,1248.710693359375,551.9759521484375,2281.989013671875,609.0349731445312,885.7666015625
