param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,584.9193115234375,570.62109375,1027.3446044921875,547.6172485351562,231.17160034179688,660.7462768554688,931.5222778320312,383.33697509765625,1019.6897583007812,805.2422485351562
0.6,608.6670532226562,777.6990356445312,1026.999267578125,549.204345703125,235.13687133789062,748.3248901367188,1099.3426513671875,351.75201416015625,937.3400268554688,861.1715087890625
0.7,837.5484619140625,2965.827392578125,1027.2921142578125,1755.632568359375,231.9553985595703,2247.63720703125,1683.4573974609375,807.951171875,989.5576171875,1616.27734375
0.8,2853.858642578125,3212.982421875,1027.1395263671875,2827.630615234375,233.9551544189453,3105.01611328125,2519.5654296875,2869.55810546875,1055.1370849609375,3126.308837890625
0.9,3081.6845703125,3314.12109375,1027.573974609375,2887.170166015625,233.3535919189453,3186.2490234375,2442.68310546875,2932.96044921875,1055.632568359375,3199.2001953125
1.0,3229.5224609375,3204.935546875,1027.445556640625,3086.52685546875,233.6644287109375,3128.35107421875,2519.73583984375,3033.618408203125,900.8069458007812,3264.3671875
1.1,2352.68798828125,3204.464111328125,1027.70654296875,3275.91259765625,232.3589630126953,1062.53955078125,1557.47412109375,3056.93017578125,523.948486328125,3326.76416015625
1.2,981.8963012695312,1055.768310546875,1027.8680419921875,1283.248291015625,231.3680419921875,668.4657592773438,755.0687255859375,2599.61181640625,354.31988525390625,2723.586181640625
1.3,639.3009033203125,687.2802124023438,1027.906005859375,706.841552734375,230.7613983154297,465.6932678222656,604.5614013671875,2846.26025390625,314.7015380859375,2442.935546875
1.4,443.36273193359375,458.3138732910156,1028.4151611328125,450.3961486816406,228.716064453125,434.2364807128906,451.1270446777344,417.70599365234375,302.3336181640625,474.1300354003906
1.5,412.71453857421875,419.6920471191406,245.0046844482422,386.40771484375,225.276123046875,395.2884826660156,431.51739501953125,318.07818603515625,288.62823486328125,374.79327392578125
1.6,372.00665283203125,378.5063171386719,199.70150756835938,329.50823974609375,220.83584594726562,345.25311279296875,334.33233642578125,281.1253356933594,276.58624267578125,340.8080749511719
1.7,348.5213928222656,342.1503601074219,170.14955139160156,298.96600341796875,216.9530792236328,311.6563720703125,331.6092834472656,347.6443786621094,274.31671142578125,309.8680725097656
1.8,328.4274597167969,315.49578857421875,161.73280334472656,285.6046142578125,211.91543579101562,294.77960205078125,280.5415954589844,319.6518249511719,271.28228759765625,288.9819030761719
1.9,317.70599365234375,292.30206298828125,169.84439086914062,302.51373291015625,208.9266815185547,289.1264953613281,283.2923889160156,298.57562255859375,270.0394592285156,276.36529541015625
2.0,302.853759765625,284.69097900390625,169.63687133789062,294.32196044921875,207.9191131591797,285.32904052734375,282.771240234375,290.2047119140625,268.339599609375,265.8787841796875
2.1,288.21502685546875,280.7306823730469,157.8386688232422,283.36138916015625,209.1060028076172,281.71368408203125,277.7642517089844,226.7164764404297,262.69195556640625,262.5966491699219
2.2,279.1113586425781,276.7578430175781,145.37213134765625,275.8284606933594,209.9805450439453,274.9062805175781,271.66790771484375,242.623291015625,252.97830200195312,260.5106201171875
2.3,274.7430114746094,272.1680603027344,138.46852111816406,275.357421875,211.2333984375,269.78826904296875,263.86431884765625,262.22833251953125,245.46896362304688,258.1114501953125
2.4,271.66949462890625,268.53887939453125,134.96168518066406,275.0064697265625,213.9093475341797,266.0223388671875,258.34942626953125,256.31231689453125,240.7574920654297,259.5412902832031
