param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1201.0223388671875,1519.9873046875,804.7238159179688,2566.51318359375,1170.506591796875,697.3400268554688,772.5491943359375,1709.0816650390625,3521.870361328125,3058.342041015625
0.6,2053.74267578125,1505.846435546875,725.9019775390625,2607.23681640625,1120.3798828125,685.1322631835938,1218.576171875,1507.30810546875,3341.97998046875,3031.207275390625
0.7,3168.9345703125,1495.385986328125,919.8727416992188,2619.496826171875,1075.5146484375,666.51416015625,2985.61279296875,2204.569091796875,3351.245361328125,2986.850341796875
0.8,3207.92431640625,1486.6690673828125,1233.8558349609375,2640.254150390625,1143.7713623046875,585.2962036132812,3062.770263671875,2864.588134765625,3359.96826171875,2949.32080078125
0.9,3148.11572265625,1481.386474609375,2102.187255859375,2659.36767578125,1140.658447265625,667.8093872070312,3036.071044921875,2916.44970703125,3416.39892578125,2909.368896484375
1.0,3165.09912109375,1464.10546875,3071.26904296875,2624.845947265625,1138.5352783203125,655.016845703125,3020.090576171875,2682.8154296875,3407.806640625,2725.37109375
1.1,3174.12353515625,1438.181396484375,3188.60791015625,2627.67431640625,1148.569580078125,724.3114013671875,2988.354736328125,2985.20849609375,3380.75390625,2176.294189453125
1.2,3143.369140625,1417.53564453125,2984.711181640625,2556.484375,1140.814453125,697.6897583007812,2935.648681640625,2948.327880859375,3326.58984375,1401.7237548828125
1.3,3074.320556640625,1400.7374267578125,2903.6962890625,2439.943359375,1165.458740234375,706.4774780273438,2832.41552734375,3005.5361328125,3273.8671875,531.8038330078125
1.4,3011.08203125,1389.854736328125,2529.49951171875,2354.11328125,1159.8880615234375,631.110107421875,2673.9697265625,2948.08251953125,3194.31298828125,523.8067626953125
1.5,2939.64892578125,1379.748779296875,2384.155029296875,2347.439453125,1172.764404296875,529.0242309570312,2526.893310546875,2400.481689453125,3126.053955078125,396.44146728515625
1.6,2873.08447265625,1372.358642578125,2357.064453125,2450.017578125,1169.031982421875,659.6477661132812,2423.7880859375,1062.8282470703125,3055.091796875,391.0303955078125
1.7,2766.65576171875,1361.010498046875,2338.60498046875,2482.71435546875,1165.6572265625,674.2352294921875,2333.856201171875,264.2121276855469,3007.32470703125,1181.024169921875
1.8,2701.768310546875,1337.1622314453125,2328.228271484375,2464.130615234375,1158.742431640625,767.6720581054688,2257.8232421875,248.33322143554688,2959.14111328125,2510.865478515625
1.9,2673.361328125,1313.536376953125,2309.56982421875,2435.42431640625,1150.449462890625,636.5709228515625,2184.13720703125,246.23849487304688,2886.41943359375,2476.02685546875
2.0,2634.579833984375,1294.734375,2299.238525390625,2412.907470703125,1142.181884765625,673.4644775390625,2124.11865234375,232.3560028076172,2828.38525390625,2445.270751953125
2.1,2626.1259765625,1278.296875,2289.723388671875,2380.10595703125,1136.481689453125,827.7943115234375,2060.360595703125,346.93524169921875,2809.72412109375,2414.14697265625
2.2,2600.890625,1268.712158203125,2107.260009765625,2353.72705078125,1138.3067626953125,714.587890625,2002.452880859375,221.2399139404297,2749.99169921875,2383.40283203125
2.3,2566.37451171875,1261.13623046875,1724.0791015625,2324.2548828125,1131.837890625,696.4525146484375,1952.214111328125,1175.2769775390625,2706.223388671875,2353.918701171875
2.4,2525.67626953125,1258.585205078125,1533.119140625,2293.75732421875,1130.6455078125,640.6478271484375,1899.4400634765625,1077.6766357421875,2695.78857421875,2324.5107421875
