noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3440.92724609375,1027.1363525390625,2322.66162109375,3189.3369140625,2669.16259765625,3197.099609375,1949.00390625,1014.2412109375,1187.18798828125,2159.22119140625
0.1,3444.33544921875,1027.1937255859375,2375.22705078125,3186.931640625,2692.679931640625,2618.560302734375,1632.5743408203125,967.6497192382812,1187.2283935546875,2162.22509765625
0.2,3452.370361328125,1026.6815185546875,2430.23291015625,3125.38720703125,2689.817626953125,2172.21826171875,1556.9892578125,926.6646728515625,1186.8653564453125,2271.69580078125
0.3,3462.887451171875,1026.331298828125,2257.770263671875,2804.8388671875,2700.875244140625,2007.052734375,1117.614990234375,948.3980712890625,1188.947998046875,2194.264404296875
0.4,3463.127685546875,1026.271240234375,2099.4931640625,2798.547607421875,2704.899169921875,1980.3570556640625,944.9315185546875,1055.4632568359375,1186.075439453125,2217.36279296875
0.5,3461.315673828125,1025.778564453125,1957.0220947265625,2883.040771484375,2711.3896484375,1373.5758056640625,747.1002807617188,935.78857421875,1189.022705078125,2262.739013671875
0.6,3463.938232421875,1025.3590087890625,1768.992431640625,2720.42529296875,2670.011474609375,1025.2440185546875,561.76318359375,836.1729736328125,1187.98291015625,2127.759521484375
0.7,3458.483642578125,1024.8045654296875,1592.3756103515625,1179.54638671875,2500.074951171875,701.7277221679688,500.9127502441406,858.5965576171875,1183.047119140625,2151.60986328125
0.8,3452.925048828125,1024.3905029296875,1117.638671875,793.0457763671875,2508.75537109375,659.4718627929688,360.2172546386719,841.66162109375,1178.778564453125,2129.271484375
0.9,3445.41845703125,1001.6319580078125,881.2188720703125,705.368896484375,2286.403076171875,585.2453002929688,337.5904541015625,862.6559448242188,1130.73974609375,2103.383544921875
1.0,3452.459716796875,1002.2127685546875,790.6411743164062,476.904052734375,2051.01416015625,470.77960205078125,295.45086669921875,780.1013793945312,1082.6771240234375,1896.304931640625
1.1,3216.986572265625,1024.129638671875,672.691162109375,362.2312316894531,1793.294189453125,336.63177490234375,279.35455322265625,703.9354858398438,1109.264404296875,1870.076416015625
1.2,3249.457275390625,1007.0906982421875,754.35986328125,325.2261962890625,1945.700927734375,432.0850524902344,164.74420166015625,625.9498901367188,980.9510498046875,1819.58203125
1.3,3065.730712890625,1019.8905029296875,595.675537109375,328.0331726074219,1463.158203125,383.58123779296875,181.47755432128906,633.4500122070312,997.8834228515625,1560.9813232421875
1.4,3006.97119140625,1006.9338989257812,542.6652221679688,340.24725341796875,1274.732177734375,345.2882080078125,119.49003601074219,605.306640625,1037.9747314453125,1700.451171875
1.5,3174.46240234375,1022.5715942382812,645.8130493164062,369.0218505859375,1585.3658447265625,245.91812133789062,118.96537780761719,569.9229736328125,913.86328125,1194.1031494140625
