noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3230.929443359375,3242.83837890625,1027.349609375,3082.992431640625,232.91552734375,3097.55712890625,2308.46826171875,3030.820068359375,1055.850830078125,3262.268798828125
0.1,2634.063232421875,2355.433349609375,1023.7376708984375,2964.211181640625,233.36587524414062,2815.90869140625,2033.1943359375,2980.813720703125,424.3661193847656,3079.4375
0.2,1475.008056640625,1377.2828369140625,956.0718994140625,2135.725341796875,231.7034149169922,1849.961669921875,1406.5062255859375,2247.320068359375,360.0052490234375,2091.99853515625
0.3,811.7073364257812,814.4891357421875,995.0325317382812,1229.208984375,231.36251831054688,1425.6766357421875,887.9385986328125,1472.079345703125,294.3099670410156,1300.829833984375
0.4,810.3514404296875,530.4422607421875,908.9791870117188,899.6365966796875,229.6083526611328,863.8253784179688,683.9127807617188,874.5130615234375,227.52951049804688,1186.5469970703125
0.5,764.6357421875,470.8311462402344,789.4492797851562,491.0008239746094,228.8812713623047,880.5856323242188,487.166748046875,528.8639526367188,224.73739624023438,870.40283203125
0.6,727.23486328125,359.46771240234375,537.6609497070312,398.31494140625,223.256591796875,648.3543701171875,380.3023376464844,419.49932861328125,192.53939819335938,706.9395751953125
0.7,660.4898071289062,361.64910888671875,387.63427734375,384.70147705078125,225.8904266357422,492.1153259277344,400.8360900878906,401.505615234375,157.73902893066406,523.18359375
0.8,623.8134155273438,310.1817932128906,323.127685546875,306.813720703125,221.530029296875,500.98492431640625,341.30694580078125,353.2803649902344,115.12264251708984,467.0888671875
0.9,495.50030517578125,185.90890502929688,267.35003662109375,321.91400146484375,206.0380401611328,470.14141845703125,386.9750061035156,375.61749267578125,100.72077941894531,446.03057861328125
1.0,471.89666748046875,258.06658935546875,207.141357421875,288.62884521484375,202.71615600585938,387.89019775390625,323.0912170410156,352.2449035644531,133.56358337402344,369.3311462402344
1.1,448.4457092285156,164.51171875,154.8509979248047,224.4773406982422,211.3813934326172,418.83587646484375,303.67181396484375,295.23309326171875,81.4238052368164,369.3638916015625
1.2,383.0577392578125,147.15074157714844,148.96798706054688,235.79080200195312,216.0229034423828,328.3685302734375,274.48687744140625,333.09197998046875,70.3343734741211,382.91925048828125
1.3,396.5713806152344,127.33885192871094,94.6958999633789,242.4028778076172,187.57754516601562,332.90521240234375,241.9839324951172,257.08380126953125,72.14383697509766,352.3492126464844
1.4,328.6241760253906,118.34615325927734,101.83497619628906,225.81118774414062,153.96060180664062,293.9522399902344,244.4761505126953,217.43148803710938,65.05509185791016,330.462158203125
1.5,312.19512939453125,136.40194702148438,77.52420806884766,174.86697387695312,178.68577575683594,266.98260498046875,257.02825927734375,266.729736328125,77.92750549316406,334.48370361328125
