noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,-2.0806716839612323,-2.8537606455314433,-0.8930629849088179,-2.7892570125058542,-1.463219210883158,-2.301866411348837,-1.943740801446588,-3.0186216525042555,-1.650168081815762,-1.7070784862191082
0.1,-1.9165231282912827,-2.153448994670792,-0.8511529406776521,-3.7666522661440673,-1.7771139467593315,-2.776870773276566,-1.5949200553201528,-1.907199532146506,-1.6351831052151984,-1.858197405595876
0.2,-2.4950434147662794,-2.749801568832458,-0.9561735439578964,-3.5411639661584537,-1.8727675839034235,-2.3958565313778344,-2.608345550437813,-2.7660963733403334,-1.4519187204087953,-1.4939958864106102
0.3,-2.833557610705308,-4.751291372929879,-1.1241658672314472,-3.285182224551595,-1.805804096429505,-2.7140465135173204,-2.082903013838556,-2.4789848863139334,-2.217680482763666,-1.3371763866735977
0.4,-2.2345450499254085,-3.113372846151207,-1.035591533829453,-2.9898564728597776,-1.9712557554300556,-1.8184238690738845,-1.8939888942124763,-1.9536408245944688,-2.545122252714805,-1.8878646174713762
0.5,-2.4724237755055025,-3.5830745331334364,-1.1349859984176676,-3.377491567694129,-1.8275813153354719,-2.0193928134868826,-2.6978246494850535,-2.275744581700896,-2.194838976673334,-1.509665618532187
0.6,-1.9392694819133123,-4.037565768607555,-1.261717754310538,-3.173595611443655,-1.7261027191427072,-1.9940974525226678,-2.614421342809405,-2.399043898477315,-2.129451196385376,-2.047091243197955
0.7,-2.85126907931159,-3.4443909832572457,-1.41485954232344,-2.5917429647339656,-1.8566825142043146,-1.9614505908948814,-2.1947892366931834,-2.2044266823187124,-1.982709552667537,-1.4566205367578813
0.8,-2.936894770501243,-3.394996656384823,-1.6774214517881194,-2.7553188340446706,-1.7003278973018046,-1.878391386736423,-2.1368900430563875,-2.8561248421503764,-2.2173471097641064,-1.5566159837601712
0.9,-2.2462310954617815,-3.1737526516940817,-1.1028706207504144,-2.9419863254609924,-2.602488155235993,-1.8066201836236488,-1.9308602917907365,-2.7210570249823602,-1.9255933169878958,-1.532245068001594
1.0,-2.08181171309812,-3.27614143457962,-1.1551975737358788,-3.6128683024616146,-1.8734118742527017,-2.1585459411129526,-2.0539333982828016,-1.682000526495067,-1.7678560319372931,-1.2118499170807915
