noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2283.50048828125,3354.780029296875,2294.54248046875,1957.3997802734375,2003.595947265625,1440.386962890625,1881.2587890625,3022.52783203125,2872.22412109375,1890.1549072265625
0.1,2448.039794921875,3324.96826171875,2171.974609375,2113.43896484375,1674.2236328125,1388.0167236328125,2158.8876953125,2881.275146484375,2633.37939453125,2081.509033203125
0.2,2219.24072265625,2496.6162109375,1750.6820068359375,2000.5484619140625,1871.4310302734375,1499.332763671875,1983.506103515625,2641.881591796875,2198.34619140625,2215.27734375
0.3,1553.9066162109375,1476.2784423828125,1480.8565673828125,1650.9404296875,1229.9119873046875,1082.7740478515625,1927.286376953125,2178.6796875,1796.5599365234375,1822.1693115234375
0.4,1305.3795166015625,784.7128295898438,1413.0546875,1355.1259765625,1020.6320190429688,1115.3480224609375,1883.716796875,1663.4036865234375,1039.923583984375,1681.576416015625
0.5,1129.5648193359375,547.7609252929688,660.6664428710938,1090.7784423828125,912.0819091796875,1059.848388671875,1448.2266845703125,1036.1368408203125,494.55364990234375,1337.120361328125
0.6,1046.7850341796875,367.3416748046875,805.2586669921875,673.2789306640625,684.8087158203125,917.2147216796875,1081.73779296875,684.5515747070312,425.9873962402344,1051.7591552734375
0.7,732.7706298828125,350.2453918457031,628.3507080078125,612.3211669921875,566.6795043945312,725.7811279296875,869.32177734375,611.142333984375,369.2000732421875,746.4581909179688
0.8,602.4892578125,339.8805236816406,459.07470703125,510.8673400878906,417.43524169921875,533.7581787109375,629.2239379882812,462.860107421875,370.00579833984375,753.04931640625
0.9,585.9710693359375,270.39337158203125,431.29791259765625,455.77362060546875,401.72869873046875,571.8049926757812,603.1705932617188,427.0863342285156,325.6113586425781,552.14208984375
1.0,490.51080322265625,187.24539184570312,370.95953369140625,464.5840759277344,369.8105163574219,429.7603454589844,512.2598266601562,338.55181884765625,213.2819366455078,468.7808532714844
1.1,389.21881103515625,188.44070434570312,391.3141784667969,345.7052001953125,275.80975341796875,367.51226806640625,559.8319091796875,328.04083251953125,197.6652069091797,464.14703369140625
1.2,426.4983825683594,90.58584594726562,417.958251953125,336.6914978027344,350.071533203125,367.90838623046875,388.6415100097656,344.5577087402344,175.74008178710938,455.45111083984375
1.3,376.82904052734375,99.32103729248047,207.84793090820312,285.9909362792969,256.6112976074219,221.7171173095703,378.6371765136719,323.97515869140625,132.05026245117188,509.2586975097656
1.4,366.2339782714844,90.35841369628906,291.1757507324219,254.29617309570312,242.6267547607422,177.7421875,380.81231689453125,397.80010986328125,128.21763610839844,450.2886657714844
1.5,359.08837890625,42.642311096191406,222.74264526367188,267.5098876953125,203.60020446777344,197.587158203125,298.1722106933594,247.1725311279297,66.05374908447266,351.7422790527344
