param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,3012.88525390625,900.5081787109375,1537.4195556640625,687.287353515625,1235.818115234375,1889.909912109375,2530.588623046875,1038.539306640625,1661.9674072265625,2274.57275390625
0.6,3179.657958984375,800.0387573242188,1933.206298828125,1035.3466796875,1391.3350830078125,3257.471435546875,2604.35693359375,1423.627685546875,1474.4661865234375,2944.311767578125
0.7,3745.58447265625,942.5816650390625,1728.4193115234375,1612.5653076171875,1689.535888671875,3148.046142578125,2557.04052734375,1619.4886474609375,1885.911376953125,3771.645263671875
0.8,3724.74462890625,647.7481079101562,2211.894775390625,3065.01513671875,2056.840087890625,3350.631591796875,2509.5146484375,1166.5435791015625,1641.212158203125,3991.348876953125
0.9,3990.255126953125,942.4816284179688,2192.7333984375,4362.9716796875,1802.793701171875,3495.02392578125,2504.64599609375,1541.6036376953125,1861.224609375,3949.727294921875
1.0,3791.267578125,891.5921630859375,2738.77880859375,4370.6474609375,2373.334716796875,3574.787841796875,2560.693603515625,1413.266357421875,2424.1357421875,3887.70166015625
1.1,4003.62158203125,883.4002075195312,2668.149658203125,4260.26806640625,2178.93359375,3559.012451171875,2518.218505859375,1461.3486328125,3015.890869140625,3817.305908203125
1.2,3746.78759765625,807.044189453125,2450.095458984375,4203.6376953125,2287.62158203125,3579.651611328125,2409.40185546875,1394.7591552734375,2901.978515625,3713.03564453125
1.3,3549.91259765625,775.8731689453125,2525.53759765625,3847.05859375,2130.739013671875,3537.55859375,2407.513671875,1538.72509765625,2874.6591796875,3629.11083984375
1.4,3597.55859375,878.0763549804688,2432.806640625,3747.59228515625,2023.940185546875,3510.35107421875,2349.632568359375,1152.622314453125,3111.73779296875,3579.23779296875
1.5,3561.251953125,743.0648803710938,2410.42236328125,3515.883544921875,1716.154296875,3440.64990234375,2419.6416015625,1149.9989013671875,3106.453369140625,3515.38671875
1.6,3485.442138671875,665.7347412109375,2294.1435546875,3603.375732421875,1439.538818359375,3431.100341796875,2150.827880859375,1169.7421875,3102.308837890625,3433.842529296875
1.7,3344.344970703125,701.4730224609375,2246.1376953125,3355.88037109375,1055.37451171875,3391.32861328125,2061.149658203125,1104.316162109375,3056.78466796875,3350.79296875
1.8,3173.780029296875,732.8786010742188,2453.96728515625,2839.966796875,1192.100341796875,3362.79150390625,1787.072509765625,994.2384033203125,3053.47802734375,3260.185302734375
1.9,3234.42333984375,813.6170043945312,2467.64404296875,2428.432373046875,1014.3525390625,3314.06689453125,1661.796142578125,858.9254760742188,3003.70458984375,3152.5078125
2.0,3139.131591796875,632.9873657226562,2578.55029296875,2044.535888671875,949.7815551757812,3264.00244140625,1477.5751953125,811.4686889648438,2974.622802734375,3071.98193359375
2.1,3081.522705078125,739.1749267578125,2266.411376953125,1919.0416259765625,1023.8474731445312,3244.7568359375,1043.010498046875,813.4381713867188,2934.61572265625,2995.46044921875
2.2,2877.00634765625,654.0416259765625,2465.106689453125,1798.483154296875,784.1017456054688,3179.9560546875,861.1622314453125,807.8281860351562,2917.824462890625,2939.90380859375
2.3,2805.66064453125,619.5031127929688,2108.4052734375,1640.201416015625,716.7930297851562,3121.82763671875,781.06201171875,759.485595703125,2880.71630859375,2877.44482421875
2.4,2858.161376953125,580.865234375,2262.53955078125,1506.3704833984375,692.6798095703125,2978.466796875,749.0401000976562,744.294921875,2811.980712890625,2625.02294921875
