noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2380.45947265625,1892.341064453125,1623.9949951171875,2530.390380859375,2208.643798828125,3318.251220703125,3445.86279296875,2138.231689453125,782.9130249023438,1521.44482421875
0.1,2047.838623046875,2227.267578125,1446.7039794921875,2667.28662109375,2386.23095703125,3515.813232421875,3476.537841796875,1720.0771484375,724.1217651367188,1458.887451171875
0.2,2596.68798828125,2062.90673828125,1688.526611328125,2798.83935546875,2058.7373046875,3558.99853515625,3474.36181640625,2125.377685546875,676.121826171875,1716.8861083984375
0.3,2061.8037109375,2113.09326171875,1905.2109375,2763.1787109375,2262.829345703125,3533.76416015625,3484.799560546875,1949.4439697265625,679.7644653320312,1664.7177734375
0.4,1808.4156494140625,2391.23486328125,1405.7669677734375,2662.20654296875,2269.24072265625,3487.947998046875,3469.93310546875,1711.349853515625,678.7610473632812,1785.4320068359375
0.5,1912.900390625,1645.054443359375,1832.762451171875,2645.340576171875,2159.900390625,3395.65087890625,3455.463623046875,1556.849853515625,750.8653564453125,1808.5859375
0.6,1714.996337890625,1916.053955078125,1518.468017578125,2777.57666015625,1920.6510009765625,3283.57958984375,3436.014892578125,1060.372314453125,799.406494140625,1378.20263671875
0.7,1659.3929443359375,2092.203369140625,1543.811279296875,2748.845947265625,2192.67138671875,3279.557373046875,3385.022216796875,1549.14697265625,658.8184814453125,1469.615478515625
0.8,1854.7379150390625,1660.438720703125,1370.073486328125,2526.572509765625,2194.401123046875,3417.24951171875,3238.159912109375,1262.6689453125,760.803955078125,1505.719482421875
0.9,1491.8428955078125,1863.2808837890625,1256.498046875,2400.810546875,1870.5289306640625,3430.563232421875,3110.8857421875,1279.8056640625,727.4391479492188,1638.3663330078125
1.0,1628.9248046875,1495.570556640625,1443.0927734375,2506.5703125,2058.333251953125,3176.112060546875,3074.94677734375,1009.50927734375,703.8019409179688,1536.805419921875
1.1,1427.631591796875,1287.6121826171875,1153.7918701171875,2512.64892578125,1888.5491943359375,3019.850341796875,2354.93505859375,1071.1767578125,671.2380981445312,1387.294189453125
1.2,1175.0445556640625,1302.5050048828125,1194.81591796875,2324.94287109375,1642.8648681640625,3222.123291015625,2491.569091796875,840.2445068359375,603.400390625,1596.0057373046875
1.3,1131.4390869140625,1404.8358154296875,1150.9642333984375,2527.4248046875,1671.7796630859375,3253.04150390625,2068.497314453125,857.5556640625,682.8501586914062,1592.227783203125
1.4,1019.6087646484375,1396.4412841796875,1124.826904296875,2403.8466796875,1265.995361328125,2732.295166015625,1680.2890625,815.1626586914062,644.0343017578125,1323.1998291015625
1.5,1182.9801025390625,1353.661376953125,999.0110473632812,2174.667236328125,1172.905517578125,2785.39501953125,1394.7108154296875,801.1873779296875,474.699951171875,1601.277587890625
