noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2833.760498046875,2786.280517578125,2391.98291015625,2384.232177734375,2344.158935546875,1484.137451171875,2779.1884765625,2495.64111328125,2562.03369140625,2045.6031494140625
0.1,2799.503662109375,2742.615234375,2471.52880859375,2269.78271484375,2419.46630859375,1536.1868896484375,2865.71142578125,2593.18505859375,2425.05810546875,1911.0550537109375
0.2,2783.13134765625,2226.92431640625,2232.2080078125,1677.805908203125,2045.974853515625,1541.1446533203125,2314.22021484375,2710.529052734375,1341.297119140625,2329.64404296875
0.3,2523.56787109375,1163.9979248046875,2379.401123046875,1188.2991943359375,1899.2738037109375,1144.880126953125,1604.3734130859375,2597.9228515625,1335.1884765625,1576.627197265625
0.4,2292.76123046875,766.4459228515625,2258.06396484375,813.6158447265625,1985.0931396484375,1478.445556640625,1941.2183837890625,2071.886474609375,855.4578857421875,1427.6944580078125
0.5,1963.2216796875,494.9539489746094,1846.9267578125,605.7775268554688,1767.2183837890625,1320.6689453125,1305.24658203125,2306.3994140625,721.4490966796875,1070.050537109375
0.6,1390.6234130859375,403.0539245605469,1792.600830078125,569.2235717773438,1205.923583984375,1256.7178955078125,925.1643676757812,1575.8865966796875,613.990234375,655.2340087890625
0.7,732.7238159179688,316.9403076171875,1663.032958984375,419.4281311035156,928.46533203125,917.8829345703125,899.05224609375,1339.2850341796875,527.59765625,639.845703125
0.8,602.4222412109375,318.74847412109375,1451.023193359375,404.0545349121094,826.54150390625,1019.2764892578125,577.1665649414062,739.15625,470.01995849609375,560.9359130859375
0.9,458.5809020996094,270.629638671875,921.4044189453125,330.86346435546875,645.4261474609375,950.978515625,499.3208923339844,697.0399780273438,398.60546875,357.25433349609375
1.0,390.40887451171875,211.6243438720703,712.9769287109375,379.5060729980469,608.2545776367188,840.3109130859375,437.33331298828125,597.8860473632812,436.86981201171875,303.8840026855469
1.1,467.1250915527344,161.9673614501953,656.5660400390625,325.74249267578125,529.5947875976562,855.7029418945312,397.26324462890625,579.68798828125,364.57586669921875,238.39047241210938
1.2,384.2666320800781,204.28787231445312,589.3593139648438,253.45681762695312,457.5809631347656,699.469970703125,332.56549072265625,522.253662109375,370.80120849609375,245.3487091064453
1.3,391.8034973144531,148.59034729003906,352.8797302246094,289.92926025390625,433.9827575683594,516.3689575195312,300.5116882324219,418.00537109375,383.69818115234375,255.6279754638672
1.4,315.79150390625,145.7121124267578,569.6603393554688,249.0653076171875,410.774169921875,512.574951171875,272.9539794921875,359.525146484375,357.800048828125,265.59771728515625
1.5,307.47637939453125,150.47195434570312,230.17330932617188,194.2509765625,364.6977233886719,499.12420654296875,284.39642333984375,345.91192626953125,266.0367126464844,190.54147338867188
