noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1974.4287109375,1526.690673828125,1454.1239013671875,2028.770263671875,1928.3681640625,1552.2767333984375,1917.826904296875,2219.756103515625,1832.491455078125,1765.4967041015625
0.1,1843.469970703125,1710.58203125,1671.586181640625,1572.915771484375,1864.289794921875,1525.0396728515625,1998.263427734375,2345.33935546875,1911.583984375,1840.6558837890625
0.2,1849.6273193359375,1425.2623291015625,1604.876708984375,1809.9976806640625,1825.766845703125,1523.020751953125,1726.3929443359375,2000.506591796875,1884.3206787109375,1773.0523681640625
0.3,1645.965576171875,1348.8736572265625,1644.303466796875,1637.26220703125,1729.340087890625,1554.635986328125,1751.345947265625,2130.22705078125,1587.454833984375,1778.5513916015625
0.4,1528.6839599609375,1252.7476806640625,1549.623291015625,1816.089111328125,1574.935302734375,1471.9844970703125,1606.734130859375,1714.7978515625,1787.070556640625,1667.3509521484375
0.5,1298.22314453125,1315.3153076171875,1502.598876953125,1671.6337890625,1341.2435302734375,1477.7156982421875,1363.9053955078125,1361.0167236328125,1448.007080078125,1567.786865234375
0.6,1254.785400390625,1270.3807373046875,1221.4310302734375,1116.6239013671875,1176.105224609375,1355.654052734375,1260.85888671875,1466.24169921875,1326.229736328125,1411.1348876953125
0.7,1015.33447265625,982.6521606445312,1269.570068359375,927.4942626953125,958.4788818359375,1338.917724609375,1071.1383056640625,933.8582763671875,1127.3184814453125,1251.777099609375
0.8,936.4725341796875,830.3377685546875,966.7872924804688,796.435546875,786.9953002929688,1219.108642578125,983.15478515625,804.7593994140625,929.4660034179688,1051.6312255859375
0.9,652.3547973632812,802.3079833984375,950.0960083007812,716.525146484375,656.0203857421875,1000.84716796875,766.1088256835938,761.5249633789062,805.832763671875,849.1140747070312
1.0,557.2669677734375,410.50103759765625,784.8300170898438,545.9214477539062,567.7911987304688,955.2239379882812,722.2027587890625,556.9016723632812,778.3773193359375,755.7325439453125
1.1,524.1646118164062,378.44366455078125,716.3258056640625,279.4227294921875,427.71405029296875,955.7080078125,546.3554077148438,279.4204406738281,562.1009521484375,506.36932373046875
1.2,337.69158935546875,353.54071044921875,454.1133728027344,228.5819854736328,307.4635009765625,775.5993041992188,478.33184814453125,264.55731201171875,411.5242614746094,453.0011291503906
1.3,354.8929138183594,286.0116271972656,442.5076599121094,207.8032684326172,308.5605163574219,686.3045654296875,306.2845458984375,206.3008270263672,405.89373779296875,261.5035095214844
1.4,265.378173828125,161.38510131835938,458.4225158691406,125.91889953613281,193.7548065185547,544.615478515625,334.2469787597656,103.20772552490234,308.13287353515625,176.87759399414062
1.5,219.3739776611328,166.55990600585938,371.65533447265625,87.6833267211914,130.95431518554688,482.48077392578125,223.3235626220703,124.94447326660156,263.0235290527344,180.7691650390625
