param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,2005.62890625,1724.7174072265625,1539.435791015625,1097.398681640625,1813.226318359375,1569.1402587890625,1916.2705078125,2150.8603515625,2234.23291015625,1765.405029296875
0.6,1776.0736083984375,1691.286376953125,1468.2266845703125,1167.7440185546875,1957.700439453125,1509.840576171875,2064.82958984375,2230.41943359375,2170.795654296875,1927.640869140625
0.7,1896.246826171875,1695.775146484375,1520.9197998046875,1548.0738525390625,1906.339111328125,1435.494873046875,1942.637451171875,2336.6416015625,1895.9136962890625,1878.7591552734375
0.8,1974.3046875,1544.0517578125,1485.153076171875,1578.475830078125,1939.6165771484375,1472.73583984375,1937.044921875,2045.8511962890625,2026.379638671875,1860.048095703125
0.9,1912.94140625,1536.7529296875,1484.1759033203125,1703.6187744140625,1958.4525146484375,1560.475830078125,2031.829833984375,2364.568359375,2008.980712890625,1920.0491943359375
1.0,1952.640380859375,1385.9581298828125,1530.584716796875,1697.4876708984375,1864.148193359375,1467.4609375,1959.6748046875,2370.27734375,1999.1685791015625,1910.2301025390625
1.1,1876.5501708984375,1438.278564453125,1468.726318359375,2038.458740234375,1892.403076171875,1503.912841796875,1958.0552978515625,2220.173095703125,1910.171630859375,1844.6220703125
1.2,1941.480224609375,1408.061279296875,1560.5784912109375,2069.60498046875,1938.0892333984375,1489.7158203125,1867.853515625,2423.832275390625,1968.4019775390625,1848.036376953125
1.3,1895.2994384765625,1752.0201416015625,1500.7177734375,1852.1802978515625,1972.3140869140625,1526.36328125,1791.939697265625,2199.26904296875,2044.3662109375,1892.1966552734375
1.4,1780.285888671875,1705.9351806640625,1545.9656982421875,2229.568603515625,1964.7193603515625,1539.068603515625,1856.5150146484375,2204.6806640625,2129.192138671875,1884.742919921875
1.5,1892.7747802734375,1506.18310546875,1563.4942626953125,2161.873291015625,1955.2142333984375,1544.7364501953125,1844.3687744140625,2001.2506103515625,1941.4974365234375,1831.740966796875
1.6,1918.041748046875,1593.3489990234375,1549.4459228515625,2364.51708984375,2000.250732421875,1450.49658203125,1847.08984375,2232.38427734375,2149.181640625,1780.0863037109375
1.7,1845.742919921875,1662.064697265625,1544.1182861328125,2593.95166015625,1918.1217041015625,1521.897216796875,1870.5982666015625,2134.28857421875,2027.027587890625,1876.6748046875
1.8,1879.5126953125,1759.944580078125,1533.4058837890625,2640.39208984375,2046.185546875,1521.847900390625,1808.860107421875,2029.4332275390625,1900.2281494140625,1894.4423828125
1.9,1904.8297119140625,1698.4915771484375,1521.5244140625,2739.68115234375,1814.0830078125,1494.94873046875,1756.3958740234375,1957.116455078125,2068.25439453125,1872.1722412109375
2.0,1869.4652099609375,1835.2894287109375,1505.247314453125,2488.958740234375,2043.620361328125,1491.447265625,1739.4879150390625,2096.89013671875,2102.102294921875,1907.0140380859375
2.1,1886.119873046875,1690.5123291015625,1522.439453125,2675.399658203125,1969.416015625,1503.0887451171875,1689.927978515625,2085.47119140625,2093.07421875,1930.6123046875
2.2,1881.8900146484375,1913.7310791015625,1525.4495849609375,2605.19091796875,2034.760986328125,1493.1522216796875,1775.7620849609375,2072.67529296875,2041.3463134765625,1722.3258056640625
2.3,1797.8984375,1947.5872802734375,1514.523193359375,2629.486083984375,1712.3704833984375,1470.255126953125,1758.173828125,2192.58447265625,1914.593994140625,1930.7738037109375
2.4,1901.2451171875,1672.0166015625,1484.50537109375,2610.96728515625,1992.3447265625,1482.2279052734375,1682.522705078125,2214.35009765625,1874.644287109375,1911.1441650390625
