param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,933.8275146484375,291.14044189453125,1417.3482666015625,220.9041748046875,1970.5474853515625,686.1934204101562,2026.5947265625,670.17724609375,2594.110595703125,3184.27392578125
0.6,994.7918090820312,292.9227600097656,1372.5740966796875,220.1785125732422,1958.478759765625,560.9627685546875,2325.83349609375,1053.7420654296875,2868.56982421875,3141.52978515625
0.7,1002.6787109375,297.02130126953125,1270.383544921875,218.8472137451172,1822.916015625,781.3356323242188,1589.789794921875,1237.5443115234375,3084.24560546875,3096.15771484375
0.8,965.8009643554688,300.2624816894531,1250.540283203125,216.9071502685547,1874.532958984375,1164.675537109375,1052.536865234375,1495.0767822265625,3048.439697265625,3048.06005859375
0.9,1406.7420654296875,301.35546875,1258.9725341796875,215.5507049560547,1877.73046875,1607.2293701171875,1737.5517578125,1786.950439453125,2934.763916015625,3004.203369140625
1.0,1760.3759765625,301.9862976074219,1390.113525390625,213.0521240234375,1771.009521484375,1911.698974609375,2390.59033203125,2240.400634765625,2884.72119140625,2955.933837890625
1.1,1599.8663330078125,301.8961181640625,1324.0064697265625,213.3259735107422,1814.0006103515625,1770.390869140625,2713.71240234375,2330.908447265625,2794.71875,2910.60400390625
1.2,1817.8160400390625,302.4336242675781,1518.131591796875,212.0023956298828,1990.4993896484375,1963.501708984375,2588.491943359375,2128.72802734375,2745.802490234375,2867.290283203125
1.3,2276.355224609375,302.465576171875,1427.878173828125,210.2841033935547,2041.4886474609375,2139.1474609375,2760.067626953125,2026.5677490234375,2683.409423828125,2823.07861328125
1.4,1988.033935546875,303.3701477050781,1349.34716796875,208.657958984375,2125.974609375,2262.894775390625,2839.77783203125,1716.337646484375,2623.495849609375,2782.81982421875
1.5,2159.32568359375,303.726318359375,1490.540283203125,208.16030883789062,2264.052734375,2206.598388671875,2839.68603515625,1720.9505615234375,2584.770263671875,2741.09375
1.6,2647.86474609375,304.04901123046875,1411.48876953125,206.87844848632812,2289.749755859375,2274.79833984375,2854.288330078125,1621.126220703125,2547.057861328125,2701.265380859375
1.7,2366.729248046875,304.06256103515625,1293.6419677734375,205.67697143554688,2474.21435546875,2431.69287109375,2755.54833984375,1252.2025146484375,2510.183837890625,2662.742919921875
1.8,2500.202880859375,305.69403076171875,1480.2127685546875,204.9217529296875,2402.48486328125,2352.772216796875,2597.48876953125,891.7966918945312,2458.116943359375,2623.017822265625
1.9,2447.53955078125,306.0782470703125,1413.117431640625,203.49420166015625,2311.172607421875,2162.294921875,2216.453125,1029.9771728515625,2414.10986328125,2581.203857421875
2.0,2120.986572265625,307.1373291015625,1498.6827392578125,202.96568298339844,2236.31005859375,2053.813720703125,1790.140380859375,818.1840209960938,2376.98291015625,2541.76318359375
2.1,1181.8612060546875,307.48492431640625,1600.811279296875,202.34649658203125,2130.726318359375,2236.861572265625,1957.9140625,718.6495971679688,2341.82958984375,2502.01220703125
2.2,1585.657470703125,308.3642272949219,1791.029296875,201.31167602539062,2027.8245849609375,1455.92333984375,758.6029663085938,765.3306884765625,2310.48388671875,2467.02587890625
2.3,644.8870849609375,309.0589904785156,1839.206298828125,200.4853057861328,1922.965576171875,757.0665893554688,515.9761962890625,713.7138671875,2280.616455078125,2437.476318359375
2.4,757.1487426757812,310.45489501953125,1928.2418212890625,199.3642578125,1815.3873291015625,591.1317138671875,256.138671875,648.4031982421875,2252.3017578125,2407.73681640625
