noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,832.70166015625,2934.703857421875,2271.15576171875,551.0319213867188,1287.6175537109375,2832.56982421875,313.7096252441406,229.07479858398438,1454.842529296875,2844.94091796875
0.1,1120.0230712890625,2656.018798828125,1836.2454833984375,388.90496826171875,1270.4024658203125,2839.92236328125,317.2322082519531,229.2218017578125,1312.87451171875,2237.517333984375
0.2,1450.800048828125,1980.441162109375,1570.9627685546875,400.27545166015625,1192.7789306640625,2629.7099609375,314.180419921875,228.6304168701172,1268.148193359375,1774.253173828125
0.3,1531.800537109375,1637.75048828125,1318.257080078125,449.88592529296875,974.4864501953125,2473.60107421875,298.66070556640625,228.5492706298828,1348.12451171875,1829.352294921875
0.4,978.2962646484375,1097.0693359375,1188.175048828125,481.3246154785156,605.3968505859375,2413.26416015625,296.9169921875,226.06259155273438,1289.001708984375,1066.9747314453125
0.5,643.9576416015625,796.5360107421875,1076.8328857421875,468.47100830078125,409.62744140625,1760.3656005859375,288.644775390625,227.7752685546875,1041.5272216796875,930.6173706054688
0.6,527.1026611328125,661.615478515625,982.671875,436.2225036621094,268.72930908203125,970.6019287109375,261.13226318359375,225.90939331054688,811.5611572265625,726.7718505859375
0.7,472.27154541015625,626.5272216796875,863.9411010742188,397.06207275390625,198.15878295898438,839.5086059570312,302.5861511230469,225.04562377929688,583.8048095703125,554.9408569335938
0.8,406.3271789550781,451.45855712890625,507.42401123046875,367.4718322753906,176.95217895507812,599.3548583984375,251.80978393554688,224.3639678955078,452.419921875,463.53912353515625
0.9,321.13873291015625,411.27093505859375,460.6634826660156,376.5121154785156,150.60586547851562,667.9402465820312,249.854248046875,223.4333953857422,496.63714599609375,363.66119384765625
1.0,261.1475830078125,309.9875183105469,468.11383056640625,364.23406982421875,120.21324157714844,475.3084411621094,251.3172607421875,226.2052001953125,407.0120849609375,224.00308227539062
1.1,270.9197082519531,319.2054138183594,380.05316162109375,318.56280517578125,111.72367095947266,336.1606750488281,248.19998168945312,223.88418579101562,296.29083251953125,287.3204650878906
1.2,224.015380859375,327.74407958984375,295.70379638671875,312.08843994140625,117.5186767578125,392.13226318359375,265.03448486328125,220.98532104492188,321.32293701171875,193.0676727294922
1.3,239.67855834960938,275.80120849609375,299.74566650390625,275.62359619140625,102.13063049316406,346.3899230957031,224.90695190429688,219.41592407226562,237.2130584716797,238.3473663330078
1.4,175.24649047851562,223.53372192382812,289.2176818847656,309.9906005859375,96.164306640625,228.3106231689453,249.2265167236328,216.40054321289062,253.1295166015625,232.4887237548828
1.5,256.43865966796875,222.2429656982422,277.5290222167969,304.62481689453125,91.662353515625,307.3136291503906,235.753173828125,222.43484497070312,151.72035217285156,172.73880004882812
