param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1854.583740234375,2443.3759765625,1387.303955078125,456.97576904296875,820.1722412109375,1990.7652587890625,2071.39892578125,2270.129638671875,1794.2630615234375,922.8152465820312
0.6,2157.39599609375,2512.735107421875,1477.150634765625,436.7687072753906,1827.0638427734375,2496.132080078125,1702.2144775390625,1976.858642578125,2448.35205078125,885.9046020507812
0.7,2700.722412109375,2755.357421875,1702.969482421875,404.7597351074219,2350.64697265625,2610.92138671875,1683.7603759765625,2326.370849609375,2495.054931640625,887.8648681640625
0.8,2726.28955078125,2185.086669921875,1794.7945556640625,391.8480224609375,1847.634765625,2538.9365234375,2060.21826171875,2346.309326171875,2601.60693359375,969.9420166015625
0.9,2956.305419921875,2149.82763671875,2386.288330078125,372.79437255859375,1731.530029296875,2345.28271484375,1926.2376708984375,2372.7353515625,2347.638916015625,834.43212890625
1.0,2817.146728515625,1791.062744140625,2425.298583984375,366.3789978027344,1775.419677734375,2326.03515625,1969.288330078125,2403.740234375,2564.640625,855.7151489257812
1.1,2732.95361328125,1505.6741943359375,2886.54638671875,364.879638671875,1580.0662841796875,2374.63916015625,1759.380126953125,2485.77880859375,2097.293212890625,799.0135498046875
1.2,2323.0751953125,1270.56884765625,3245.15380859375,369.897216796875,1354.589599609375,2157.619140625,1755.6644287109375,2568.6552734375,2302.729736328125,753.9359741210938
1.3,2660.53857421875,1169.574951171875,2982.69921875,340.1082763671875,1354.2108154296875,2243.2626953125,1632.6636962890625,2737.390625,1704.951904296875,772.1666259765625
1.4,2626.942138671875,1296.288818359375,2967.7578125,362.27191162109375,1235.834716796875,1928.103515625,1122.586669921875,2797.705322265625,1841.292724609375,732.825927734375
1.5,2330.034423828125,1263.562255859375,2693.055419921875,369.2740783691406,1050.088134765625,1958.170166015625,1528.99609375,2673.430419921875,1564.40771484375,722.92138671875
1.6,2694.906982421875,1147.644775390625,2986.32861328125,360.05804443359375,895.0211181640625,1729.4310302734375,1267.7337646484375,2786.73681640625,1294.66845703125,706.9715576171875
1.7,1965.851318359375,1278.39599609375,2427.63671875,375.8399658203125,896.6819458007812,1491.1754150390625,1241.74853515625,2738.24951171875,1037.99365234375,693.8406372070312
1.8,2075.12060546875,1306.406005859375,2743.828369140625,362.7278137207031,805.0927734375,1321.788330078125,1234.468505859375,2545.80029296875,1044.447265625,670.5574340820312
1.9,2292.86279296875,1347.36376953125,2823.897705078125,379.914794921875,791.0669555664062,1278.8597412109375,1046.277587890625,2488.807861328125,950.7839965820312,668.2042236328125
2.0,2371.082763671875,1422.099853515625,2636.94091796875,376.8468322753906,775.5933837890625,1447.0994873046875,969.7855224609375,2466.873046875,980.98974609375,648.3419189453125
2.1,2038.1011962890625,1410.012939453125,2252.25,382.42486572265625,811.05126953125,895.4095458984375,997.578125,2480.772705078125,943.7646484375,631.1163330078125
2.2,1543.3656005859375,1432.67724609375,2186.767333984375,374.38946533203125,753.3355712890625,918.4456176757812,796.4315185546875,2489.99267578125,820.3465576171875,617.2224731445312
2.3,1731.861572265625,1315.26708984375,1997.2894287109375,377.8147888183594,701.1137084960938,749.0008544921875,738.0123901367188,2341.4296875,777.0475463867188,605.0092163085938
2.4,1255.1986083984375,1245.80615234375,2397.199462890625,384.45855712890625,672.156982421875,643.4649047851562,811.1950073242188,2202.634765625,715.8421630859375,595.8143310546875
