noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,942.0925903320312,1542.4979248046875,1699.621337890625,1251.7552490234375,1982.172119140625,1865.9390869140625,1761.9144287109375,1242.0972900390625,2214.941162109375,1719.087646484375
0.1,847.1090087890625,1601.99072265625,1684.7802734375,1236.021484375,1706.4625244140625,1786.3616943359375,1765.9306640625,1356.3939208984375,2224.9833984375,1689.748046875
0.2,983.3015747070312,1255.256103515625,1698.155517578125,1273.28759765625,1694.0888671875,1716.9537353515625,1696.4329833984375,1708.8099365234375,2258.78271484375,1737.59375
0.3,842.2155151367188,1654.2255859375,1670.575927734375,1241.665771484375,1846.630859375,1805.036376953125,1720.35546875,1628.337158203125,2338.70849609375,1758.0982666015625
0.4,854.5706176757812,1829.992919921875,1595.7222900390625,1260.6385498046875,1783.166015625,1717.508056640625,1752.2630615234375,1685.6070556640625,2293.97314453125,1766.6943359375
0.5,804.2642822265625,1654.869873046875,1627.895751953125,1230.945556640625,1665.8609619140625,1773.1478271484375,1657.8505859375,1794.9095458984375,2040.7265625,1745.4925537109375
0.6,1143.340576171875,1544.0313720703125,1607.369873046875,1290.2493896484375,1750.9603271484375,1577.826416015625,1613.38818359375,1500.604248046875,2260.08837890625,1717.4136962890625
0.7,1219.4593505859375,1435.44580078125,1565.6558837890625,1268.501953125,1736.0091552734375,1550.1627197265625,1631.2838134765625,1616.361572265625,2022.8433837890625,1703.572509765625
0.8,1318.10595703125,1511.809814453125,1492.39501953125,1250.973388671875,1581.242919921875,1512.566162109375,1533.7454833984375,1288.6573486328125,2056.88330078125,1619.2762451171875
0.9,1317.0819091796875,1528.548095703125,1494.4727783203125,1222.301513671875,1780.9814453125,1425.9791259765625,1481.493896484375,1740.1763916015625,1944.9710693359375,1542.8697509765625
1.0,1309.172119140625,1138.1168212890625,1419.333740234375,1257.1654052734375,1685.603759765625,1502.5950927734375,1436.122314453125,1492.9891357421875,1879.3687744140625,1523.5081787109375
1.1,1301.6478271484375,1540.852783203125,1458.313232421875,1264.5767822265625,1513.0594482421875,1430.416748046875,1328.5596923828125,1307.552734375,1817.536865234375,1446.856201171875
1.2,1365.7989501953125,1283.202392578125,1405.2210693359375,1264.857666015625,1470.3734130859375,1367.8323974609375,1104.2904052734375,1187.734130859375,1785.147216796875,1388.8583984375
1.3,1199.9464111328125,1238.886962890625,1275.8509521484375,1256.426025390625,1302.112060546875,1323.055419921875,1233.204833984375,1310.945556640625,1515.4171142578125,1267.445556640625
1.4,963.45361328125,1091.700927734375,1280.120361328125,1205.960693359375,1344.5203857421875,1008.0968017578125,1088.992919921875,1232.7911376953125,1493.6904296875,1108.73779296875
1.5,1036.93359375,1136.344482421875,1071.7381591796875,1208.812255859375,1180.5047607421875,1229.4122314453125,1037.3482666015625,1249.80322265625,1385.0888671875,1167.3819580078125
