param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,788.9738159179688,1434.4652099609375,1596.207275390625,1282.7628173828125,1985.160888671875,1614.2568359375,1661.1890869140625,881.9324951171875,2301.89794921875,1553.637451171875
0.6,787.58251953125,1425.197998046875,1599.3570556640625,1262.379150390625,1695.8997802734375,1744.3232421875,1662.4222412109375,839.96630859375,2386.37158203125,1500.4058837890625
0.7,779.62744140625,1566.475341796875,1621.1773681640625,1271.630126953125,1969.8558349609375,1725.676025390625,1564.554931640625,809.1741333007812,2213.053955078125,1483.8978271484375
0.8,798.8973388671875,1563.6942138671875,1600.384521484375,1247.2552490234375,1922.5810546875,1602.37744140625,1621.8486328125,814.4993896484375,2107.2275390625,1443.2330322265625
0.9,794.421142578125,1411.289794921875,1605.9449462890625,1246.865966796875,1890.3150634765625,1699.193603515625,1589.0025634765625,792.9790649414062,2258.77783203125,1470.824951171875
1.0,774.0619506835938,1597.4166259765625,1622.530517578125,1270.340576171875,1839.3089599609375,1612.4957275390625,1645.043701171875,820.6802978515625,2027.9566650390625,1522.8990478515625
1.1,796.4299926757812,1627.2215576171875,1562.598876953125,1252.294189453125,1942.3646240234375,1598.626708984375,1640.150390625,793.0655517578125,2061.917236328125,1485.9615478515625
1.2,794.3005981445312,1338.463134765625,1590.063720703125,1234.4595947265625,1931.3072509765625,1704.4326171875,1579.440185546875,795.5484008789062,2110.68994140625,1515.774658203125
1.3,815.9439697265625,1160.4586181640625,1572.988525390625,1260.5216064453125,1744.3896484375,1429.1107177734375,1612.9136962890625,874.0513916015625,1656.610107421875,1514.79736328125
1.4,772.3878784179688,1239.730224609375,1531.681396484375,1256.204833984375,1822.3804931640625,1404.271240234375,1583.7989501953125,851.2404174804688,1384.265869140625,1411.2705078125
1.5,772.0704345703125,1227.091064453125,1560.030029296875,1208.8436279296875,1755.5543212890625,1350.058349609375,1576.5372314453125,716.6903686523438,1517.2354736328125,1427.923583984375
1.6,773.2513427734375,1100.819091796875,1468.720947265625,1248.8463134765625,1580.114013671875,1326.490966796875,1532.3201904296875,732.607177734375,1069.47900390625,1355.968994140625
1.7,784.8399047851562,1117.1397705078125,1527.1304931640625,1202.047119140625,1654.276123046875,1193.8701171875,1567.748046875,758.0281982421875,1381.278564453125,1502.5592041015625
1.8,763.7364501953125,1113.6795654296875,1510.96484375,1189.8172607421875,1287.21630859375,1364.2305908203125,1433.08935546875,680.095703125,1457.0516357421875,1434.0321044921875
1.9,756.5443115234375,1123.9007568359375,1500.52099609375,1187.143798828125,1435.519775390625,984.6277465820312,1448.2001953125,729.505859375,1317.5556640625,1354.813232421875
2.0,781.7459716796875,1033.898681640625,1429.669189453125,1192.71337890625,1571.309326171875,1237.6318359375,1438.0093994140625,655.9004516601562,1272.000732421875,1303.054931640625
2.1,759.0919799804688,973.4755859375,1468.9324951171875,1202.8812255859375,1448.2021484375,1167.3028564453125,1471.5867919921875,740.0164794921875,1039.6387939453125,1350.00439453125
2.2,778.1161499023438,915.3284912109375,1354.708984375,1104.884521484375,1240.614990234375,1127.0770263671875,1327.0150146484375,682.88916015625,1055.396728515625,1270.845458984375
2.3,771.3033447265625,824.5533447265625,1290.7384033203125,1097.9984130859375,1394.5205078125,1107.897705078125,1351.0911865234375,697.063720703125,1074.1143798828125,1203.9302978515625
2.4,746.8460083007812,844.5224609375,1260.3316650390625,1179.0672607421875,1364.795166015625,1170.283935546875,1165.763427734375,795.9414672851562,845.6939697265625,1267.602294921875
