param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,950.2568359375,934.1876220703125,733.1674194335938,604.203857421875,472.7244567871094,1079.353271484375,562.7855224609375,244.40090942382812,592.3973999023438,765.271728515625
0.6,1581.954833984375,1020.4275512695312,810.296630859375,1102.1595458984375,515.662353515625,1139.573974609375,611.1171264648438,248.0016326904297,721.6235961914062,729.9471435546875
0.7,1275.0538330078125,1525.0677490234375,758.2099609375,2174.286376953125,552.9176025390625,2913.65673828125,966.7275390625,274.4527282714844,882.9376220703125,1051.07861328125
0.8,3178.912841796875,2825.176025390625,1400.7137451171875,2190.71044921875,1152.8170166015625,2920.671142578125,3112.749755859375,2947.708251953125,3052.22998046875,2778.47412109375
0.9,3295.76904296875,2875.25537109375,1365.257568359375,3133.73583984375,2128.7900390625,2928.451904296875,3165.3017578125,2969.76806640625,3101.78955078125,3120.251220703125
1.0,3393.75341796875,2965.16943359375,1322.666748046875,3181.069091796875,2690.56982421875,2945.06201171875,3170.348876953125,3006.416748046875,3044.501708984375,2717.02587890625
1.1,863.7369995117188,3182.755126953125,1088.596923828125,922.1808471679688,1312.0052490234375,802.0564575195312,3380.70068359375,3078.86572265625,981.2957763671875,2374.884033203125
1.2,997.6156005859375,1741.8505859375,833.9050903320312,822.9417724609375,977.3307495117188,1171.7740478515625,1076.644287109375,2401.20361328125,627.1911010742188,792.123046875
1.3,662.0694580078125,934.833984375,777.5621337890625,695.8385620117188,432.78955078125,476.7662048339844,895.98046875,587.3462524414062,450.28228759765625,817.0633544921875
1.4,443.72265625,551.2391967773438,434.8486328125,470.6195373535156,415.5428161621094,426.530517578125,522.5086669921875,308.7547912597656,426.8487243652344,439.0023498535156
1.5,420.8021545410156,383.0303039550781,409.88299560546875,432.23455810546875,386.81060791015625,408.6214904785156,413.78448486328125,293.1156005859375,385.1012878417969,410.1097717285156
1.6,379.4594421386719,368.418212890625,379.012451171875,381.71673583984375,360.07476806640625,377.0126953125,385.0539245605469,270.27935791015625,350.97845458984375,357.51922607421875
1.7,346.91937255859375,339.73358154296875,339.3012390136719,331.48358154296875,336.53802490234375,334.98211669921875,359.7881774902344,287.1819763183594,322.78326416015625,327.7897644042969
1.8,316.41412353515625,312.6226806640625,298.4691162109375,295.8642272949219,324.7019348144531,303.0456237792969,340.072021484375,271.5885925292969,300.16351318359375,309.0183410644531
1.9,296.94866943359375,300.32659912109375,274.5491638183594,276.4322204589844,313.3564453125,286.6262512207031,320.9609680175781,310.9641418457031,300.53936767578125,276.66900634765625
2.0,290.9835205078125,297.8785400390625,273.09368896484375,283.3429870605469,311.21502685546875,286.11236572265625,305.4344787597656,299.55169677734375,299.0289611816406,272.5873107910156
2.1,285.3022766113281,294.0992126464844,288.3399658203125,282.47882080078125,301.005126953125,282.74993896484375,293.21197509765625,287.7161560058594,292.77899169921875,272.6965026855469
2.2,277.52972412109375,287.81011962890625,279.6683654785156,276.9504089355469,290.2889709472656,274.21771240234375,270.5394592285156,278.4078063964844,285.4010009765625,271.1322021484375
2.3,274.2809753417969,280.172119140625,273.3792724609375,271.93914794921875,282.7764587402344,267.79168701171875,249.43728637695312,271.4234313964844,280.8432312011719,269.55059814453125
2.4,269.58294677734375,272.75506591796875,269.144287109375,268.2818298339844,274.3889465332031,263.7007141113281,266.15301513671875,267.98944091796875,275.72222900390625,267.75018310546875
