param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,2200.4013671875,956.1126098632812,314.90679931640625,3018.4306640625,3596.072998046875,698.849853515625,311.11163330078125,3324.006591796875,234.4103240966797,285.74560546875
0.6,3651.22412109375,3139.639404296875,315.12701416015625,3066.251708984375,3473.66650390625,727.86572265625,3006.3505859375,3288.97021484375,232.1760711669922,289.69439697265625
0.7,3599.408935546875,3205.82373046875,316.840087890625,3027.48779296875,3382.89208984375,774.0523681640625,3045.13134765625,3251.290771484375,229.5432891845703,418.1448669433594
0.8,3534.14501953125,3146.828125,317.72802734375,3051.74267578125,3345.29296875,794.6661376953125,3349.927001953125,3213.40771484375,228.74539184570312,1832.6148681640625
0.9,3479.28173828125,3171.082763671875,318.5414123535156,3062.6533203125,3306.669189453125,754.4530029296875,3475.65771484375,3176.05517578125,227.1363067626953,2824.681396484375
1.0,3415.809814453125,3138.18603515625,317.3489990234375,2969.5478515625,3242.327880859375,737.5718994140625,3417.967529296875,3135.382568359375,226.1610565185547,2872.93212890625
1.1,3360.34326171875,3092.138671875,318.20330810546875,2849.546142578125,3190.2724609375,610.7894287109375,3359.635986328125,3098.4736328125,224.5107421875,2759.577392578125
1.2,3317.598876953125,3039.24853515625,319.32135009765625,2747.65185546875,3138.79052734375,600.520751953125,3296.01123046875,3059.82373046875,222.3919677734375,2135.878662109375
1.3,3274.22314453125,2997.13330078125,320.5728759765625,2661.86376953125,3044.91455078125,627.8714599609375,3228.50341796875,3015.95361328125,221.460205078125,2287.20654296875
1.4,3227.095703125,2962.93994140625,321.3783874511719,2599.470458984375,2966.89111328125,684.38623046875,3162.10791015625,2973.40380859375,220.23739624023438,2413.84716796875
1.5,3181.727783203125,2931.57763671875,322.86065673828125,2530.4326171875,2919.334716796875,659.2938842773438,3123.5546875,2925.13525390625,219.0851593017578,2112.39599609375
1.6,3137.22216796875,2902.81396484375,324.1482849121094,2429.46728515625,2880.4912109375,619.9539794921875,3085.62060546875,2876.164306640625,217.8751983642578,2092.79931640625
1.7,3088.900390625,2868.671630859375,325.29083251953125,2263.954345703125,2843.9921875,659.9286499023438,3049.267333984375,2827.6708984375,216.4940948486328,1162.6783447265625
1.8,3042.4296875,2831.3662109375,327.6886291503906,2137.87548828125,2811.099609375,664.2793579101562,3007.03857421875,2797.005126953125,216.0420379638672,1491.3072509765625
1.9,2990.538818359375,2794.280517578125,328.29034423828125,2055.104248046875,2770.032470703125,579.490478515625,2965.077880859375,2757.201416015625,214.7009735107422,1527.244873046875
2.0,2935.50146484375,2761.18408203125,274.9997253417969,1982.344482421875,2732.681640625,667.1743774414062,2928.650146484375,2719.45703125,213.18942260742188,1833.379638671875
2.1,2877.9072265625,2737.065185546875,213.1271514892578,1878.043701171875,2703.91357421875,669.0697021484375,2891.597900390625,2670.74853515625,212.38858032226562,1695.041015625
2.2,2820.029052734375,2713.6982421875,203.347412109375,1712.0172119140625,2669.61083984375,632.5010375976562,2842.96630859375,2637.37158203125,211.03341674804688,2106.57373046875
2.3,2777.458984375,2680.92138671875,195.37203979492188,1640.624755859375,2642.44189453125,590.1126708984375,2799.53662109375,2598.19482421875,209.6576385498047,1995.849853515625
2.4,2734.88720703125,2639.89453125,189.84170532226562,1608.426025390625,2611.01220703125,581.1268310546875,2749.02587890625,2558.30078125,208.93167114257812,1947.4779052734375
