noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,3500.57470703125,3289.014404296875,2814.15283203125,3506.697998046875,915.1530151367188,3528.84716796875,3117.6064453125,3099.869140625,274.14166259765625,2388.1591796875
0.1,3463.2109375,2931.958984375,2719.85791015625,3464.856689453125,1872.401611328125,3345.44580078125,3236.9189453125,3167.06982421875,322.0372009277344,2485.2744140625
0.2,3347.64111328125,1719.1627197265625,1973.9468994140625,2968.754150390625,2157.429443359375,2717.68798828125,2333.88671875,3104.69970703125,366.42706298828125,1573.9842529296875
0.3,1962.714599609375,1262.5770263671875,1426.9708251953125,1679.5390625,2109.29248046875,1639.324951171875,1767.6181640625,2253.043212890625,436.83526611328125,1055.81689453125
0.4,1270.968505859375,945.4113159179688,837.30029296875,892.31103515625,1254.526123046875,1252.2486572265625,920.0870361328125,1209.7421875,468.9857482910156,822.4357299804688
0.5,893.5582885742188,780.6487426757812,717.9456176757812,695.46630859375,839.1065673828125,784.0287475585938,755.5657958984375,658.6029052734375,475.6436462402344,477.5291442871094
0.6,782.2950439453125,530.9703369140625,663.968505859375,547.0166625976562,744.1015014648438,679.451904296875,680.9215087890625,509.7273864746094,490.77459716796875,460.099853515625
0.7,492.0201721191406,459.28045654296875,466.6199645996094,420.13958740234375,561.6612548828125,476.4029235839844,471.76953125,393.3770446777344,512.2203369140625,461.07952880859375
0.8,429.72003173828125,401.39007568359375,411.92572021484375,377.25408935546875,526.9014892578125,478.80865478515625,431.39862060546875,414.962646484375,426.2806701660156,364.0063781738281
0.9,447.28680419921875,397.555908203125,417.00445556640625,417.92230224609375,448.926513671875,365.91534423828125,392.64593505859375,377.509033203125,400.028076171875,363.81988525390625
1.0,351.169921875,341.1220397949219,381.2481994628906,339.63201904296875,400.49310302734375,430.50457763671875,305.0237121582031,349.1521301269531,351.1213684082031,359.61700439453125
1.1,331.28192138671875,341.4270935058594,353.52947998046875,331.87786865234375,304.6754455566406,379.82318115234375,327.5007629394531,334.4339904785156,354.4375305175781,349.997314453125
1.2,324.73919677734375,331.8973388671875,351.00018310546875,331.0661315917969,320.134521484375,348.4886169433594,307.337646484375,312.83551025390625,389.9771728515625,356.8034973144531
1.3,311.7873840332031,288.7630615234375,316.60931396484375,293.5082092285156,295.0007019042969,352.1981506347656,280.1630859375,344.793701171875,380.2712707519531,295.8885192871094
1.4,289.6282958984375,281.4154968261719,340.2849426269531,282.1877746582031,265.91986083984375,353.4942321777344,280.45343017578125,314.5115051269531,333.5213317871094,285.05010986328125
1.5,307.20928955078125,267.43707275390625,307.97589111328125,274.57598876953125,241.9691162109375,311.9369201660156,284.73345947265625,294.4513244628906,331.53802490234375,276.4139404296875
