noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,2307.9599609375,940.0949096679688,2364.515869140625,2341.82275390625,538.8489990234375,605.7776489257812,1979.327392578125,1883.3623046875,293.64013671875,1597.4541015625
0.1,2287.565673828125,964.5819091796875,2322.736083984375,2356.878173828125,550.4775390625,600.3603515625,2100.64306640625,1940.7720947265625,291.74761962890625,1588.9190673828125
0.2,2273.697509765625,841.57470703125,2349.18896484375,2388.43603515625,533.8380126953125,598.3906860351562,1893.4134521484375,1546.4163818359375,296.15594482421875,1586.904052734375
0.3,2262.049072265625,794.1971435546875,2336.94189453125,2435.81494140625,519.1032104492188,593.7428588867188,2057.1630859375,1694.3675537109375,295.9153747558594,1913.593017578125
0.4,2276.064697265625,749.0899658203125,2268.871826171875,2346.123046875,508.404052734375,561.3590698242188,1630.66064453125,1236.9603271484375,290.1824035644531,2120.451416015625
0.5,2254.57666015625,666.1946411132812,2273.044677734375,2233.916015625,421.3567810058594,552.0823974609375,1520.154541015625,1089.033203125,285.8975524902344,2093.957763671875
0.6,2189.382080078125,530.2498168945312,2244.493896484375,2467.237060546875,432.92156982421875,585.1902465820312,1293.7589111328125,847.341796875,284.3703308105469,2210.814208984375
0.7,2085.463134765625,520.4908447265625,1976.4534912109375,1964.2099609375,427.40869140625,559.4320068359375,1012.5572509765625,815.3143310546875,291.3663330078125,1934.608154296875
0.8,1833.26171875,500.2041015625,1734.302734375,2129.269775390625,389.5316467285156,548.0330810546875,641.2649536132812,805.8681640625,283.41143798828125,1369.1934814453125
0.9,1794.9019775390625,440.5691833496094,2019.283935546875,1777.705078125,389.9372253417969,535.5958251953125,707.2035522460938,716.7528686523438,288.98919677734375,896.3963012695312
1.0,1480.205322265625,418.04583740234375,1467.0628662109375,1477.279541015625,347.5244445800781,540.2556762695312,521.4528198242188,549.5814819335938,276.94818115234375,629.0890502929688
1.1,1109.941162109375,411.615234375,1210.558349609375,1331.468017578125,319.5441589355469,519.8192749023438,495.2542419433594,486.8931579589844,275.35015869140625,535.9736328125
1.2,1211.013916015625,421.06573486328125,1244.8934326171875,1041.378173828125,306.25946044921875,510.3369140625,484.45855712890625,508.09393310546875,283.0010681152344,310.0555114746094
1.3,881.8668212890625,413.9352111816406,678.3821411132812,1102.097412109375,290.61688232421875,500.6236877441406,423.33563232421875,375.0450744628906,284.3387756347656,391.88348388671875
1.4,854.60205078125,402.47161865234375,808.0717163085938,1043.162841796875,325.76361083984375,459.95074462890625,408.75286865234375,466.24005126953125,264.10430908203125,228.99667358398438
1.5,817.3010864257812,346.6363830566406,668.1939697265625,801.0677490234375,334.87237548828125,486.29254150390625,366.80987548828125,313.0915222167969,275.35687255859375,272.03350830078125
