noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1614.1524658203125,1664.1611328125,820.689453125,1374.11328125,1306.8966064453125,1744.0689697265625,1066.9002685546875,784.2432250976562,1368.1063232421875,1566.0499267578125
0.1,1769.2183837890625,1703.1923828125,843.0106201171875,1082.2655029296875,1280.751220703125,1757.0257568359375,1060.036865234375,840.9274291992188,1357.437744140625,1584.72412109375
0.2,1834.0902099609375,1825.718994140625,837.4710083007812,1138.0767822265625,1338.35302734375,1769.3402099609375,1080.578857421875,929.8214721679688,1361.585693359375,1614.890625
0.3,1655.718017578125,1762.130126953125,894.5904541015625,1333.637939453125,1374.538818359375,1686.1396484375,1087.316650390625,886.61767578125,1442.4205322265625,1526.577880859375
0.4,1860.7581787109375,1597.385986328125,892.1672973632812,1331.098876953125,1518.137451171875,1730.091552734375,1093.124267578125,949.6478271484375,1439.0250244140625,1549.451416015625
0.5,1651.5087890625,1560.4503173828125,1003.2145385742188,1340.546875,1563.0113525390625,1627.176025390625,1096.2861328125,1008.0267333984375,1452.298095703125,1572.0032958984375
0.6,1339.192626953125,1545.101806640625,1209.605712890625,1274.70556640625,1498.058837890625,1706.4185791015625,1097.9600830078125,1007.6891479492188,1453.454345703125,1502.1231689453125
0.7,1557.2503662109375,1436.9256591796875,1218.4927978515625,1236.2017822265625,1540.3502197265625,1584.2645263671875,1138.0018310546875,1031.5006103515625,1430.7491455078125,1531.3955078125
0.8,1419.1761474609375,1652.5228271484375,1390.272216796875,1268.93896484375,1485.7371826171875,1639.985595703125,1163.886474609375,1028.110595703125,1443.483642578125,1472.9190673828125
0.9,1060.141845703125,1412.179443359375,1391.919921875,1253.0367431640625,1429.4691162109375,1544.9847412109375,1160.222900390625,996.7247314453125,1315.6717529296875,1452.890380859375
1.0,1279.455078125,1540.6097412109375,1319.5662841796875,1332.4140625,1472.8291015625,1460.699951171875,1170.007568359375,1047.92822265625,1332.151123046875,1443.695068359375
1.1,1168.0892333984375,1361.60107421875,1374.603271484375,1313.4580078125,1345.6134033203125,1531.650146484375,1196.361328125,1067.0286865234375,1170.515869140625,1384.06201171875
1.2,1201.286865234375,1151.292724609375,1431.3232421875,1466.4344482421875,1381.6925048828125,1274.6337890625,1194.1802978515625,1072.72119140625,1114.316162109375,1307.3316650390625
1.3,1112.858154296875,1233.6732177734375,1402.551025390625,1086.0758056640625,1333.9676513671875,1240.144287109375,1205.1666259765625,1061.513427734375,953.1500244140625,1341.692626953125
1.4,697.0437622070312,1114.099365234375,1369.4268798828125,1144.194580078125,1163.487548828125,1316.9512939453125,1178.9639892578125,1085.373291015625,930.68359375,1248.126708984375
1.5,837.4431762695312,1304.030517578125,1267.62060546875,1218.559814453125,1136.67919921875,1203.16357421875,1235.1845703125,1089.492919921875,922.6823120117188,1291.295166015625
