noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1522.2418212890625,2321.981201171875,2593.137939453125,1872.4599609375,1732.564697265625,1694.936279296875,1822.96875,1823.694091796875,1395.454833984375,1849.2786865234375
0.1,1630.063720703125,2171.77197265625,2571.84912109375,1921.5533447265625,1855.8388671875,1302.005615234375,1832.7861328125,1810.7506103515625,1292.003662109375,1900.18359375
0.2,1695.759765625,1989.260009765625,2293.871337890625,1916.489501953125,1961.7933349609375,1550.861572265625,1854.213134765625,1826.516357421875,1531.5084228515625,1597.3414306640625
0.3,1685.423583984375,2015.842529296875,2097.428955078125,1859.5806884765625,1853.811767578125,1024.9727783203125,1452.018798828125,1600.889404296875,1394.215576171875,1589.9779052734375
0.4,1693.650390625,1690.031005859375,1775.469482421875,1326.8828125,1736.236083984375,1412.365234375,1333.798095703125,1461.919677734375,896.2443237304688,1575.6419677734375
0.5,1350.422119140625,1372.3797607421875,1594.590576171875,1499.51171875,1563.293212890625,1196.551513671875,1098.092529296875,1317.219482421875,1429.157958984375,1613.317626953125
0.6,1341.2230224609375,1302.590576171875,1649.9683837890625,1146.30419921875,1268.741455078125,870.59814453125,1044.413818359375,1071.900390625,1014.3927001953125,1363.498291015625
0.7,902.9998779296875,1108.560546875,1219.197998046875,960.9803466796875,1413.5687255859375,995.4338989257812,615.9451293945312,1009.7091064453125,872.29248046875,925.5394287109375
0.8,918.1608276367188,827.2783203125,1018.2999877929688,679.1339721679688,1032.381103515625,637.9290161132812,445.87030029296875,730.71923828125,588.9517211914062,1160.3348388671875
0.9,679.2249145507812,657.0233764648438,725.637451171875,578.7161254882812,1006.2755126953125,501.69818115234375,358.14288330078125,411.4317932128906,451.5518493652344,973.5100708007812
1.0,601.0799560546875,375.8177490234375,525.7642822265625,348.33636474609375,755.2955322265625,637.1708374023438,323.52960205078125,396.8575744628906,330.896240234375,776.3416748046875
1.1,444.388671875,405.97705078125,448.78485107421875,274.14288330078125,464.5767517089844,314.459228515625,255.11288452148438,363.1426696777344,269.18212890625,654.7911376953125
1.2,306.04656982421875,335.8075866699219,355.0077209472656,291.8389892578125,340.87359619140625,242.75491333007812,149.4969482421875,284.3080749511719,177.11264038085938,504.50457763671875
1.3,295.4986877441406,210.3580322265625,258.3006286621094,171.92112731933594,282.2889099121094,194.67604064941406,157.69464111328125,152.282470703125,161.40182495117188,317.61822509765625
1.4,249.30416870117188,129.61184692382812,219.88400268554688,103.34378814697266,269.62176513671875,166.25936889648438,85.73956298828125,167.53732299804688,68.47637176513672,269.56671142578125
1.5,197.0027313232422,127.97615814208984,133.89634704589844,90.96025085449219,182.7248992919922,143.45120239257812,89.25901794433594,61.0824089050293,61.55077362060547,208.0081787109375
