param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,2192.91064453125,2356.464111328125,1790.908447265625,2042.208984375,2088.930419921875,2453.209228515625,2162.64990234375,1532.356201171875,1833.263427734375,2265.478759765625
0.6,2074.7802734375,2458.8486328125,1865.2701416015625,2010.6185302734375,2156.62744140625,2794.117431640625,2296.55029296875,1729.1558837890625,2127.169921875,2170.088134765625
0.7,1762.2066650390625,2419.630859375,1948.318115234375,2089.408203125,2186.307861328125,2620.87158203125,2280.44384765625,1746.4390869140625,2105.661376953125,2117.197265625
0.8,1882.958984375,2434.18310546875,2079.776123046875,1887.244384765625,2302.697265625,3068.43212890625,2166.99658203125,1971.9615478515625,2226.145751953125,2202.0673828125
0.9,2207.909912109375,2387.6748046875,2065.44775390625,2077.893310546875,2121.124755859375,3284.220703125,2220.20263671875,1944.6533203125,2255.70849609375,2330.48779296875
1.0,2325.483154296875,2437.58349609375,2037.8955078125,2283.9140625,2087.338134765625,3014.293701171875,2201.400390625,2075.447509765625,2244.74951171875,2406.58642578125
1.1,2047.7744140625,2373.85400390625,2075.08642578125,2143.302490234375,2376.51904296875,3134.2041015625,2186.00830078125,2001.6064453125,2182.437255859375,2343.38330078125
1.2,2111.84326171875,2345.395263671875,1932.7252197265625,2220.00341796875,2339.82275390625,3338.042236328125,2116.8828125,2216.4287109375,2228.718017578125,2285.48486328125
1.3,2229.929931640625,2256.5751953125,2073.80859375,2193.585693359375,2242.83642578125,3140.879150390625,2120.77294921875,2176.72119140625,2468.33203125,2294.583740234375
1.4,2323.333740234375,2274.462158203125,2137.239013671875,2233.05810546875,2321.12744140625,3120.984619140625,2024.8980712890625,2269.1962890625,2303.72509765625,2284.38916015625
1.5,2156.018310546875,2205.37646484375,2106.72705078125,2149.106689453125,2201.135986328125,2991.630615234375,2110.6689453125,2328.19189453125,2326.19677734375,2188.48095703125
1.6,2119.485595703125,2111.76953125,2088.45458984375,2092.8779296875,2301.87548828125,2925.35498046875,2068.86572265625,2242.48046875,2415.47021484375,2140.39794921875
1.7,2213.529296875,2262.007568359375,2022.2593994140625,2047.0791015625,2287.27197265625,2853.11474609375,2059.749267578125,2206.021728515625,2492.001220703125,2340.57568359375
1.8,2317.650634765625,2264.443603515625,1908.4134521484375,2006.429931640625,2286.86669921875,3106.44091796875,1970.786376953125,2183.571044921875,2384.895751953125,2436.48681640625
1.9,2220.47998046875,2141.626953125,1910.054931640625,2149.51806640625,2272.981689453125,3034.328857421875,1983.413818359375,2354.207275390625,2458.10693359375,2344.555419921875
2.0,2309.76416015625,2083.695556640625,1912.816162109375,2059.968994140625,2269.229248046875,2677.56103515625,1954.8375244140625,2325.064453125,2506.563720703125,2394.91650390625
2.1,2296.010498046875,1794.208740234375,1752.37109375,2083.875244140625,2260.02685546875,2758.584716796875,1969.0140380859375,2328.759765625,2435.470947265625,2332.343994140625
2.2,2249.94580078125,1773.484375,1805.359130859375,1920.2984619140625,2279.818359375,2639.793701171875,1935.2509765625,2282.68994140625,2464.474365234375,2293.40087890625
2.3,2084.291259765625,1909.5169677734375,1806.6529541015625,1941.2523193359375,2271.09814453125,2627.849853515625,1922.890380859375,2208.60986328125,2459.384765625,2311.4921875
2.4,2004.566650390625,1656.9017333984375,1990.447509765625,2129.271484375,2252.76806640625,2498.905029296875,1903.583251953125,2122.46337890625,2445.907470703125,2347.569091796875
