param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,1255.4664306640625,684.0570068359375,228.17849731445312,297.6408386230469,503.96832275390625,946.62255859375,632.9627685546875,563.6119384765625,752.6800537109375,808.9686279296875
0.6,1481.0848388671875,710.8455810546875,228.79000854492188,298.70831298828125,532.1525268554688,1066.4715576171875,693.9193115234375,562.1705322265625,959.24609375,637.8458251953125
0.7,2826.48779296875,775.4373779296875,230.1434783935547,300.48077392578125,559.4674072265625,2494.60009765625,1771.2181396484375,675.0451049804688,2560.915771484375,1158.8465576171875
0.8,2868.20263671875,1954.483154296875,230.0105743408203,302.63983154296875,637.866455078125,2522.31591796875,2684.18701171875,944.8572998046875,2573.507080078125,1329.1263427734375
0.9,2903.665771484375,2781.86474609375,229.4997100830078,305.8359375,1047.5487060546875,2537.208740234375,2657.46630859375,1939.098876953125,2654.0595703125,1672.8890380859375
1.0,2927.78466796875,2748.958740234375,228.4205780029297,309.62591552734375,2529.076416015625,2541.857421875,899.9979248046875,3274.64990234375,2235.927001953125,2057.718505859375
1.1,2489.4150390625,1695.2744140625,227.8145294189453,313.09906005859375,2124.91064453125,2562.58447265625,390.60113525390625,1421.308837890625,2142.012451171875,876.5557861328125
1.2,1321.348388671875,852.8505859375,226.10366821289062,309.374755859375,959.1937255859375,1723.152099609375,1062.364013671875,980.6237182617188,1005.1204833984375,523.7544555664062
1.3,873.85107421875,492.8965759277344,226.1025390625,294.477294921875,647.0735473632812,515.6751098632812,791.5718994140625,793.8485717773438,482.21533203125,457.51690673828125
1.4,459.57952880859375,418.5665588378906,224.08981323242188,283.9208068847656,420.8963928222656,645.9396362304688,504.7647399902344,637.6715698242188,384.3984375,425.90191650390625
1.5,363.1739807128906,394.4284362792969,222.2335968017578,281.8125,388.814453125,311.09588623046875,404.6087646484375,471.509033203125,213.488525390625,407.61798095703125
1.6,350.6883850097656,363.0184020996094,216.7111358642578,280.66094970703125,510.64324951171875,329.9432373046875,363.9428405761719,398.99957275390625,213.4196014404297,377.79864501953125
1.7,339.9265441894531,339.69903564453125,185.6375274658203,275.1936950683594,272.68585205078125,341.5259094238281,340.7108459472656,356.9219665527344,319.67291259765625,347.0884704589844
1.8,320.0240783691406,322.9591369628906,162.8655242919922,264.5376892089844,297.2254943847656,318.38702392578125,312.42852783203125,327.16302490234375,307.4304504394531,320.70037841796875
1.9,308.41925048828125,306.13067626953125,168.84237670898438,240.4316864013672,281.9001770019531,307.2755126953125,307.52655029296875,307.10870361328125,302.48516845703125,308.92010498046875
2.0,301.9660949707031,288.91204833984375,122.67791748046875,226.9248504638672,296.455322265625,303.777587890625,301.0173034667969,293.1463317871094,301.2086181640625,306.79833984375
2.1,293.4496765136719,272.29833984375,176.83326721191406,222.6846466064453,306.5749816894531,292.94073486328125,293.6689147949219,183.97830200195312,293.5661926269531,304.8020935058594
2.2,283.89215087890625,258.48358154296875,105.57157135009766,222.54110717773438,305.65570068359375,282.89630126953125,284.53790283203125,182.6370391845703,282.772216796875,298.358154296875
2.3,274.58319091796875,247.13027954101562,97.20768737792969,223.513671875,294.69488525390625,273.1986999511719,275.2112121582031,183.48910522460938,271.08251953125,291.0882873535156
2.4,268.9376525878906,243.53506469726562,60.22270965576172,225.9380645751953,283.42071533203125,264.6123962402344,267.48297119140625,184.38723754882812,263.0559997558594,284.22406005859375
