param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.5,262.4176330566406,2546.75537109375,254.95187377929688,185.40243530273438,2417.440673828125,2373.59228515625,2424.0205078125,2316.77294921875,2364.470703125,324.2449035644531
0.6,282.2298889160156,1669.0015869140625,275.3895568847656,209.9882354736328,1697.437255859375,2461.258056640625,2489.46533203125,2353.41357421875,2396.878662109375,339.19976806640625
0.7,794.0586547851562,1556.6414794921875,294.53839111328125,237.8509063720703,1392.5225830078125,2536.07275390625,2543.79052734375,2406.354736328125,2425.033447265625,356.91845703125
0.8,2387.773681640625,1368.604248046875,2618.29931640625,262.82586669921875,1246.6007080078125,2608.78564453125,2748.875244140625,2467.041015625,2451.15283203125,374.94842529296875
0.9,1266.4942626953125,1082.4898681640625,2857.56640625,286.1613464355469,1127.4554443359375,2669.77001953125,2803.82373046875,2517.10693359375,2480.1328125,392.4557189941406
1.0,1173.958740234375,1061.8951416015625,2350.745849609375,335.8086242675781,1072.6419677734375,2729.161865234375,2836.671142578125,2565.828125,2506.18359375,407.4449157714844
1.1,1114.4779052734375,1080.23388671875,2231.58203125,517.0086669921875,985.8331298828125,2787.03369140625,2865.224609375,2610.89306640625,2539.033203125,430.24932861328125
1.2,1164.0673828125,1176.85595703125,1980.4052734375,493.8091735839844,962.3681640625,2849.0458984375,2903.85107421875,2650.2607421875,2592.102783203125,449.95196533203125
1.3,1194.9718017578125,1373.36767578125,1661.821044921875,476.38494873046875,952.8377685546875,2777.0576171875,2947.726806640625,2688.911865234375,2676.408203125,474.3006286621094
1.4,1215.8759765625,1628.556396484375,1261.7579345703125,465.2178649902344,942.92236328125,1435.568115234375,2970.658447265625,2725.035888671875,2717.49365234375,507.7666015625
1.5,1041.04833984375,1264.1265869140625,1010.8916015625,460.2828063964844,925.6719970703125,1088.485595703125,2222.42822265625,2758.3154296875,2745.916259765625,441.6800842285156
1.6,925.2453002929688,1100.063232421875,836.451171875,456.5157775878906,917.2689208984375,897.3527221679688,1369.7489013671875,2789.776123046875,2771.44677734375,387.2878112792969
1.7,870.4637451171875,1030.797607421875,775.5450439453125,453.57501220703125,889.9129638671875,760.9051513671875,1087.184326171875,2819.86279296875,2795.25537109375,326.61541748046875
1.8,978.4396362304688,901.7736206054688,781.6812744140625,450.63531494140625,881.4801635742188,715.2578125,875.73828125,2848.13037109375,2816.23583984375,246.4939727783203
1.9,969.8905029296875,881.7098388671875,754.9403686523438,448.1248474121094,855.9537963867188,684.0977172851562,768.160400390625,2877.40673828125,2841.01611328125,249.50875854492188
2.0,954.8507080078125,775.0028686523438,703.0418701171875,446.6261291503906,756.240234375,668.752685546875,708.5582275390625,2907.00732421875,2860.71728515625,240.09207153320312
2.1,939.3763427734375,739.5101318359375,681.0352783203125,444.7164001464844,652.1693115234375,632.7818603515625,664.9029541015625,2933.06787109375,2885.1103515625,239.54312133789062
2.2,905.4879760742188,730.5435180664062,657.7681884765625,443.3716735839844,625.151611328125,556.7818603515625,642.8659057617188,2950.07421875,2910.111572265625,261.36651611328125
2.3,845.8543701171875,716.2012939453125,628.4000244140625,441.523193359375,538.190185546875,484.9137268066406,629.4024658203125,2965.718994140625,2940.951416015625,273.4591064453125
2.4,763.3709716796875,689.8273315429688,599.5714111328125,439.2671813964844,490.84820556640625,403.1028137207031,608.8828125,2981.76220703125,2983.70068359375,289.4038391113281
