noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,-2.260949153524244,-2.155738368265578,-1.5580719460283858,-2.427537977068117,-1.6808207836484486,-1.5935123870944665,-1.5025823004543115,-2.490275142953318,-2.271318736212469,-1.8118782978010994
0.1,-2.107983216608826,-2.1114330483607526,-1.6821459130693335,-2.2789221124651875,-1.9118106762998532,-1.518751427276989,-1.798128544406382,-3.402560485763135,-2.9135706587437333,-2.4666608386556645
0.2,-2.1608247165956764,-1.8601381474316832,-1.605888712878808,-3.130501571947147,-1.9521078406983647,-1.7164585185741679,-1.8683077315601893,-2.966857935936185,-3.854809097821703,-2.198810911584993
0.3,-2.2565802939378785,-2.33323034830524,-1.8546164463216972,-2.5348711468423217,-2.014816631948501,-1.6047058671206702,-2.0283524342363615,-3.0307024028863663,-2.4435839122205176,-2.232713360122509
0.4,-2.513999531003284,-2.6703879553754226,-1.8262601474748312,-2.3180205344612763,-2.0259545344929735,-1.8486504449620167,-2.1994869848130794,-3.183132349312909,-4.815174867783601,-1.5569114390358845
0.5,-1.4864901764651117,-1.8638019871614724,-1.8548720204688458,-2.3533830355894354,-2.713464441269925,-1.8769192897775107,-1.9578562224030613,-3.1979246070836775,-3.7531927113495227,-2.399141969457521
0.6,-2.4978012045887623,-3.0351912728667485,-2.014972314905555,-2.6316443740023603,-2.087687171607738,-1.9223164537627582,-2.276755495121285,-3.3033180116781913,-2.990258523736998,-2.110767558857756
0.7,-1.8882630801667482,-1.9581498960934223,-2.8385322190435085,-2.5552815169071725,-1.99827774063538,-2.014162845271118,-1.9886371580387625,-3.317712335672167,-2.234109946729983,-2.322351592946291
0.8,-1.6649817628049228,-1.8112364319253398,-1.9541201560371142,-2.871719920009128,-1.9059774023698322,-1.5159729218794555,-1.8418032766261412,-3.0113106197754034,-3.284062005259371,-2.9984265039891893
0.9,-1.6483254951733788,-2.1341179210524888,-1.9161905654307376,-2.554647649710364,-1.6042644181476935,-1.6023747955530339,-2.2346679651378225,-3.1543616787934154,-3.2997243830380434,-1.9520526542760996
1.0,-1.8847378072517356,-1.9634671187068264,-1.6045283036992821,-2.342877979120851,-1.5851522705051189,-1.5156162970196774,-1.962523555953645,-2.2009286376806174,-3.29954277177963,-2.5919935690179146
