noise scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9
0.0,1799.693115234375,559.9476318359375,1279.781982421875,2407.823974609375,1027.1458740234375,1559.414306640625,2062.60400390625,2593.37939453125,234.015869140625,2284.05615234375
0.1,1664.539306640625,553.9034423828125,1174.6256103515625,2155.74169921875,919.3304443359375,1548.9644775390625,1811.758056640625,2466.181396484375,254.1196746826172,1822.19140625
0.2,1777.257568359375,557.8048095703125,1208.382080078125,2027.8294677734375,848.0802612304688,1281.177490234375,1717.380126953125,2303.826416015625,247.40097045898438,1315.8056640625
0.3,1722.3883056640625,558.5975952148438,1216.8973388671875,1606.13916015625,787.7296752929688,1261.1671142578125,1450.631103515625,2334.456298828125,231.9537353515625,891.2214965820312
0.4,1211.407958984375,555.0682373046875,938.462890625,1307.5953369140625,682.3163452148438,1239.7822265625,1226.37158203125,2254.96923828125,207.9835205078125,624.9853515625
0.5,1143.575927734375,535.406005859375,920.4124145507812,1195.5361328125,622.5721435546875,1083.978271484375,1023.17529296875,2492.476318359375,198.32009887695312,593.9910278320312
0.6,781.0419311523438,541.4180908203125,811.2449951171875,917.0247802734375,563.5853271484375,1026.0791015625,963.58056640625,1807.1295166015625,177.16738891601562,536.8998413085938
0.7,644.3975830078125,532.1676025390625,622.5828857421875,905.5234375,481.78936767578125,890.0989379882812,850.1961059570312,1088.6380615234375,185.60128784179688,519.158935546875
0.8,457.2974548339844,513.7532958984375,658.1978759765625,596.688720703125,403.6226806640625,690.2109375,758.9176025390625,669.8690185546875,153.94189453125,486.436767578125
0.9,545.0182495117188,485.05169677734375,546.6483154296875,622.6068725585938,451.0555114746094,756.186767578125,604.8414306640625,506.815673828125,138.23731994628906,457.566162109375
1.0,453.1328125,489.9017028808594,587.955810546875,696.4540405273438,410.1361389160156,754.5166625976562,501.73431396484375,524.5003662109375,170.05807495117188,392.94989013671875
1.1,340.38043212890625,425.89532470703125,699.2020263671875,396.0479736328125,352.2810974121094,727.7005004882812,595.9521484375,532.3605346679688,131.28146362304688,441.1829528808594
1.2,422.13751220703125,402.94171142578125,647.6648559570312,416.5292053222656,362.5138244628906,617.4417724609375,572.6097412109375,504.64190673828125,184.98760986328125,347.8936462402344
1.3,337.7074279785156,421.023681640625,658.8804321289062,466.3494567871094,335.08209228515625,617.8621826171875,472.2798767089844,460.7428283691406,161.99197387695312,359.15093994140625
1.4,309.3495178222656,390.482177734375,529.0845947265625,511.521240234375,389.90460205078125,563.04833984375,450.61151123046875,474.2940368652344,146.49801635742188,309.39715576171875
1.5,390.16046142578125,419.83026123046875,472.6055603027344,427.6581115722656,318.01287841796875,606.2869873046875,456.2433166503906,420.0557556152344,115.85420227050781,349.62054443359375
