,embedding,model
0,"[9.252772298944826, -3.876187362510596]",0
1,"[10.63480936645027, -28.094744879142468]",0
2,"[38.15530298178303, -13.380021175172798]",0
3,"[38.49234582842389, -15.454997746366574]",0
4,"[32.94025985766639, -23.972224275761093]",0
5,"[38.83100093012919, -15.271183301042106]",0
6,"[34.41198882705445, -22.200345256991252]",0
7,"[-37.02965125569808, -8.366264095208383]",0
8,"[-6.607493325361578, 13.766531313747421]",0
9,"[28.688389498931823, 26.98120088559966]",0
10,"[22.101484785774744, 38.51331936059342]",0
11,"[22.416213495060703, 38.82893095720384]",0
12,"[22.410994827186684, 38.8085244983766]",0
13,"[22.36821602850685, 38.74731295033965]",0
14,"[-5.003598543728239, 47.42322587149426]",0
15,"[9.080017045665533, -26.203561928956933]",0
16,"[2.7998441693177165, -26.744870853465834]",0
17,"[-24.221537941460383, -27.580808600389375]",0
18,"[-40.63582852662196, -7.165689765467641]",0
19,"[2.9066732878497303, -26.617317916179143]",0
20,"[-22.489245389918352, -29.52716056320522]",0
21,"[-40.07764723050369, -7.787010828498825]",0
22,"[25.038634021464844, 3.456328279098906]",0
23,"[31.43970991265706, 9.978640486171464]",0
24,"[31.312618150522816, 10.255595282183704]",0
25,"[13.610654241765111, 6.377947490292897]",0
26,"[13.16304808172387, 6.895684413311412]",0
27,"[1.081600074340971, -5.140969523298272]",0
28,"[-38.72102018738019, -12.180149831624226]",0
29,"[-12.690015005064158, 34.50881723158538]",0
30,"[28.505428852134862, 0.14882843083283517]",0
31,"[20.204685638380713, -25.4708691803023]",0
32,"[-14.87782708995022, 0.9748037420747155]",0
33,"[-22.75554650095553, -25.12377694814405]",0
34,"[-39.15925497217034, 1.9611623290928224]",0
35,"[1.2985294372951133, 2.9087428003269484]",0
36,"[-38.657669261718986, -11.235857508028346]",0
37,"[9.565384925772472, -27.11891422460844]",0
38,"[1.7852749355122721, -34.91960041264793]",0
39,"[-21.858138486100383, -23.98221363405221]",0
40,"[-19.308909645460588, 21.019766824297925]",0
41,"[24.761609491164705, 4.664644537559727]",0
42,"[33.99636990453565, -1.930539487159535]",0
43,"[24.553941643244016, 4.937734463818878]",0
44,"[28.627026775821474, 12.101464825539482]",0
45,"[3.9506285728025436, 5.690620103800842]",0
46,"[-25.502656760741946, -24.96765328138482]",0
47,"[-6.402494626690862, 9.676100575716838]",0
48,"[-25.083548527883767, -25.226976197456384]",0
49,"[-27.07489345542528, 12.55751749592507]",0
50,"[24.668752114412797, 3.456513487849423]",0
51,"[25.124567931497555, 4.729229865485295]",0
52,"[24.470125567549406, 5.776500685917985]",0
53,"[13.892798660192758, 6.463900227970154]",0
54,"[1.1342751528665522, -0.2214584439568558]",0
55,"[-4.990762900791952, 10.337467843890684]",0
56,"[-28.987604121469573, -19.46650677067133]",0
57,"[-1.7588702150312248, 46.07414725639227]",0
58,"[-37.83924868495069, -12.717492971035274]",0
59,"[-26.142924886523243, 13.121363295023578]",0
60,"[-19.229587349897646, 20.608159114031256]",0
61,"[1.720819262450594, 2.9596960389695974]",0
62,"[-0.7985488981994451, 9.477903535909624]",0
63,"[-18.6577254723258, 20.863512967648123]",0
64,"[-0.7099863558713985, 9.37982352652209]",0
65,"[-4.43984911246379, 8.831847766858289]",0
66,"[-5.941408746216941, 8.956171912799029]",0
67,"[-6.179896627985603, 8.771923528723242]",0
68,"[-6.5691478419276965, 8.869854085727088]",0
69,"[-7.09875283160712, 9.047078517602122]",0
70,"[-26.848947937561764, 11.204547338243112]",0
71,"[-27.840197176965773, 11.26335196879528]",0
72,"[-30.0498019874751, 10.097135731160645]",0
73,"[-40.36334346394491, 3.3178411518088344]",0
74,"[-41.2305008496737, 3.6682294218864095]",0
75,"[-41.7337910913081, 3.727539672829951]",0
76,"[-42.47277456330128, 3.7777592468898162]",0
77,"[-43.91768389028125, 3.7177702772797194]",0
78,"[-45.09840327591204, 3.6585117220060557]",0
79,"[-45.899576317824, 3.420390478248216]",0
80,"[-47.540959549697945, 3.1019945216997824]",0
81,"[-49.33316993513944, 3.7855090772327915]",0
82,"[-14.124119170542507, 16.64234522292924]",0
83,"[20.887135928150638, -3.6973487202331143]",0
84,"[22.94531513315489, -20.874847637765495]",0
85,"[36.75875810868071, -9.835530288220067]",0
86,"[23.17916908121768, -20.585884837725928]",0
87,"[24.026930451926415, -0.31890443920370576]",0
88,"[35.78836581676173, -8.43635193234707]",0
89,"[14.272220825470667, -23.714023969040834]",0
90,"[37.175352342241226, -11.501562010999297]",0
91,"[34.8729419887106, -8.405381052299969]",0
92,"[35.47631324885368, -6.82198241157096]",0
93,"[37.182487273379664, -4.742950365165126]",0
94,"[7.479897229312518, -17.938247234271742]",0
95,"[22.151497572642405, 27.954096868269204]",0
96,"[26.184552115979034, 27.1070500243021]",0
97,"[29.69956717045752, 26.718613228265852]",0
98,"[25.348137074682857, 26.79973256499825]",0
99,"[23.3545620616097, 27.201995935565982]",0
100,"[25.386299523137886, 17.77829744374141]",0
101,"[31.443784773031258, -7.790553919294464]",0
102,"[5.95803001535307, -28.208616296387998]",0
103,"[-25.720152290858522, -23.06126058147557]",0
104,"[-41.563866780055065, 0.2176916184040781]",0
105,"[-38.7303799183626, -9.201459850330918]",0
106,"[-41.225596971486254, 0.7761293313556139]",0
107,"[-21.878532448385553, 19.31050496230945]",0
108,"[6.710342109670645, -25.503920102273234]",0
109,"[1.8582445624437411, -37.12878725904336]",0
110,"[22.152903245503353, 8.792351302786065]",0
111,"[5.762141241902879, -33.34430551625872]",0
112,"[34.61556242431017, -4.545100343326974]",0
113,"[2.527517369065216, -25.957634172750993]",0
114,"[-38.20697831669319, -3.3743486482487803]",0
115,"[1.0891831193708388, 12.513917970535784]",0
116,"[-23.273604176982882, -25.8129770313586]",0
117,"[22.400710806902616, 11.153549345565015]",0
118,"[29.841696823309242, -6.686895087289051]",0
119,"[-20.926816859996148, -27.573262356941758]",0
120,"[23.939948780524794, 7.821861831931993]",0
121,"[-1.9776754077450829, 1.9499156798996438]",0
122,"[-38.25315537430156, -8.221858809182327]",0
123,"[-0.5258938746117257, 11.495381283754032]",0
124,"[-21.929321424374436, -25.940605858849267]",0
125,"[-12.679199664043207, 25.616735623723578]",0
126,"[34.573665829611194, -4.487357665269102]",0
127,"[5.481657383805193, -26.92488668758194]",0
128,"[-38.83020714667091, -9.806038955088468]",0
129,"[-12.777063348158034, 24.653571008049692]",0
130,"[37.990513660184206, -2.734249610102872]",0
131,"[0.0462733947159852, 12.729570620825143]",0
132,"[29.101287447891213, 14.060276846713457]",0
133,"[29.917385386501582, -7.007279987962365]",0
134,"[-20.712778894733514, -27.570940446223254]",0
135,"[-12.387534728171707, 25.374889002700815]",0
136,"[0.7255637039316212, 12.140856823208965]",0
137,"[-21.716628058212258, -26.329314845290433]",0
138,"[-12.275653908071115, 25.12137257338783]",0
139,"[1.4701793926667912, 11.579087111374703]",0
140,"[-36.66128068888113, -8.603707225288721]",0
141,"[-36.16773584903505, 7.649752658619671]",0
142,"[-23.007382066234992, 17.961511568202933]",0
143,"[0.8899200858473855, 9.653478309042756]",0
144,"[-21.530388011613717, -29.742563499182992]",0
145,"[-33.71878828603133, 6.557357311899147]",0
146,"[-36.23092487043921, -12.569867242241871]",0
147,"[-29.229875459555046, -22.005808719765977]",0
148,"[-36.896179831510125, -12.247170816677787]",0
149,"[-36.69774606486801, -11.061206607135082]",0
150,"[-23.930528862598617, 16.900320127551428]",0
151,"[-23.31353975288286, 17.44469773422669]",0
152,"[-25.145456346348155, 11.49603032363554]",0
153,"[-26.036262181043128, 10.42132490118979]",0
154,"[-26.975615950934813, 10.345192251962755]",0
155,"[-29.189280165063558, 9.82949613134941]",0
156,"[-31.646375747299974, 8.970965548983372]",0
157,"[-40.89939555416506, 4.969522561996054]",0
158,"[-41.81022842316309, 4.685177558183577]",0
159,"[-43.08654025107881, 4.366581501276672]",0
160,"[-44.52464077107639, 4.029871326620091]",0
161,"[-45.65560585915893, 3.61553108494439]",0
162,"[-46.864724244174894, 2.688899230340742]",0
163,"[-13.176388742502198, -1.9583167401778232]",0
164,"[20.406906794403714, -2.982761580256793]",0
165,"[23.70561994700407, -21.489434139023857]",0
166,"[37.196362660800474, -13.187061616254686]",0
167,"[36.03770914702259, -8.262261148082205]",0
168,"[0.23153320528312896, -41.31265972706217]",0
169,"[37.700189599447256, -11.798726457180706]",0
170,"[21.38069659098625, -20.727458301292806]",0
171,"[33.88814801736443, -8.279000252238019]",0
172,"[34.8862811732634, -8.122699526930738]",0
173,"[36.220868161174366, -6.152387720014888]",0
174,"[0.2506447791521875, -41.379439876228936]",0
175,"[35.19634822144952, -11.337429482672965]",0
176,"[31.28516585533858, 5.452097504604544]",0
177,"[27.442795186227666, 19.15991588522202]",0
178,"[32.318214598633126, 25.88639529334353]",0
179,"[29.476535337348796, 26.692651380456624]",0
180,"[25.570902059354474, 26.624048654904914]",0
181,"[23.717123050139712, 27.011650725230048]",0
182,"[34.4044716040645, -1.7702738455164602]",0
183,"[23.026941946854162, -22.329679389921306]",0
184,"[4.969729855944459, -31.99401397509944]",0
185,"[-25.865875940452245, -22.99379699893294]",0
186,"[-41.626246658335575, 0.5291104073277143]",0
187,"[-38.58014029001695, -9.225558216893576]",0
188,"[-26.72615190290819, -24.81302414789298]",0
189,"[-40.22265356533102, 0.22490085511188884]",0
190,"[2.6799388856743587, -27.59834824779423]",0
191,"[1.0681724644995727, -37.17703729772665]",0
