,embedding,model
0,"[0.009963184558474033, -5.855415266413569]",0
1,"[6.218076983260662, 2.1149474196434546]",0
2,"[10.545378007264748, 3.0134449608089855]",0
3,"[0.14957965743000376, -6.1406934250608725]",0
4,"[10.450147219092637, 3.817345706457668]",0
5,"[0.04875364222443737, -4.245831650840492]",0
6,"[9.796784138800597, 3.1751000044838267]",0
7,"[0.17319898190703403, -4.089582179208624]",0
8,"[9.653907152420176, 3.873763726744941]",0
9,"[-7.073685979501888, 1.1986375154469078]",0
10,"[9.057417752220973, 3.7124137491821685]",0
11,"[-8.32143031129828, 2.9808428905148427]",0
12,"[0.8238752948770676, -3.5876190933228163]",0
13,"[3.185525024996357, -0.3839256912410046]",0
14,"[3.3387451078889026, 0.36456776614207353]",0
15,"[6.4676653505418, 2.7511639328774873]",0
16,"[6.456387992645804, -5.036833319741196]",0
17,"[-1.7620421636342118, -1.3375736248898202]",0
18,"[-1.130177898008282, -1.884189039953774]",0
19,"[-1.1123241054020383, -1.564764650534454]",0
20,"[-0.7620130917417258, -0.9335316096202747]",0
21,"[-0.5924440239559761, -1.8899597991325683]",0
22,"[-1.1510460026852214, -0.7003753595096758]",0
23,"[0.09379063381392513, -1.4209930625497122]",0
24,"[0.06203449983437213, -0.7657452438452192]",0
25,"[-0.10175816260340922, -0.965295821081961]",0
26,"[-0.11474701157054136, -0.15938731783360954]",0
27,"[2.0467457808462877, 4.281253608444726]",0
28,"[1.804681081290915, 5.001011824946025]",0
29,"[-8.020342643140426, 2.7742289253117653]",0
30,"[8.589800069512076, 1.6607006167386378]",0
31,"[-8.11765662439955, 1.596923879824996]",0
32,"[8.914461363202003, 2.123276232131828]",0
33,"[1.4345932749230055, 7.219493733358434]",0
34,"[0.08782842068404906, 7.262181787917785]",0
35,"[0.22653202323913954, 4.458785054030561]",0
36,"[5.818756087464507, 7.728151525945721]",0
37,"[0.8298106080885156, 7.437199492591128]",0
38,"[5.407521129946136, 7.796954097777516]",0
39,"[-10.180367503223172, 1.904367785815042]",0
40,"[-9.346653601640549, 3.0492814963893076]",0
41,"[2.6161276167791647, -0.23437468502193007]",0
42,"[7.327533736554783, 3.2755739339733667]",0
43,"[-8.935382245638449, 1.5586402766006473]",0
44,"[3.5999781421348382, 0.516180027568468]",0
45,"[7.7029563696617505, 4.424656746693959]",0
46,"[-8.732989746664266, 0.9952600608663476]",0
47,"[3.448831770559154, 0.7038993966083152]",0
48,"[7.839298325416935, 3.940787821817483]",0
