,embedding,model
0,"[3.9022147289471762, -1.285481821510568]",0
1,"[-4.663659774536992, 5.813600696494375]",0
2,"[2.0181528915204217, -7.4137025618869075]",0
3,"[0.6264273858937704, 8.826918092730715]",0
4,"[3.776390191459527, -7.762093885065499]",0
5,"[-4.888948620663103, 10.250399133358643]",0
6,"[2.7670761526942624, -8.710026540630185]",0
7,"[-1.61179842016103, 8.378196555971968]",0
8,"[2.161327359290363, -8.341760691603822]",0
9,"[-2.3022686916429205, 11.924947281921959]",0
10,"[3.45715960768703, -8.65395840756504]",0
11,"[-5.7515117407065555, 10.671568961836387]",0
12,"[2.6409257761071605, 0.011093608056248903]",0
13,"[-2.747811821453194, 0.9907275923015915]",0
14,"[-3.184676055863902, 1.3362460405496346]",0
15,"[-3.1735771903632086, 0.7797654485135052]",0
16,"[-6.304590756539272, -6.522421798610265]",0
17,"[-3.830710884356967, 9.721226302883153]",0
18,"[-0.01600096417848524, 2.24714073288604]",0
19,"[0.6762355056492309, -0.8118165234122414]",0
20,"[-0.34693479361314483, -1.8196911325289253]",0
21,"[1.4607408844073424, -1.431707912077042]",0
22,"[-0.5564150801302831, -2.1567248764408715]",0
23,"[-0.9073463996742005, -1.0266206020247872]",0
24,"[-0.6066525067841835, -0.8022674935839764]",0
25,"[-0.33889230446992047, 0.9548609550445701]",0
26,"[-0.21100818645674532, 1.4653929771256244]",0
27,"[0.33885004649948103, -6.308899431042826]",0
28,"[-5.961162277145124, 8.43964743079709]",0
29,"[-1.5906533841822157, -3.9985738960432116]",0
30,"[-4.2692909386327855, 6.191842609683411]",0
31,"[-0.23953876898725443, -4.088866038656272]",0
32,"[0.6659154092360409, -9.05274715818918]",0
33,"[-10.479339478125068, 8.072773610191236]",0
34,"[-2.5668743901516407, -4.172367446874345]",0
35,"[-8.14200238376536, -3.2408677817915543]",0
36,"[-10.344816008635688, 5.5810432538600905]",0
37,"[-4.906128386201988, -7.6544528356513295]",0
38,"[-10.136156443360235, 6.762634405832503]",0
39,"[-4.704919164271647, -5.430452710590007]",0
40,"[-5.435827923396137, 9.34848024529301]",0
41,"[-2.542598038591533, 1.5373838239225317]",0
42,"[-3.8063949736507596, 5.906703480692094]",0
43,"[0.22733789766007603, -3.6159953550106043]",0
44,"[-2.364271251535792, 5.738133773629836]",0
45,"[-5.435894560830877, 5.421278544456847]",0
46,"[-0.18580905515555252, -4.070647047877646]",0
47,"[0.5396999329836677, -8.132273044122996]",0
48,"[-5.135200071754025, 5.977288554799997]",0
49,"[-5.582067408321026, 13.243084600562268]",0
50,"[0.3912575674476168, -2.3415845895823795]",1
51,"[5.408712677716216, -7.2727638663177885]",1
52,"[4.442875932484064, 8.656190571021572]",1
53,"[4.2033653135765, 10.241706015611356]",1
54,"[6.815654012185992, 6.151104630122549]",1
55,"[-5.884450872713949, 13.540445968170989]",1
56,"[-8.618023725410866, -7.920205052828566]",1
57,"[-6.532352225501624, 11.094794114736626]",1
58,"[-9.288856268112939, -1.093211925760519]",1
59,"[-8.164298177059317, -8.605458812347436]",1
60,"[-3.4360092398481012, 12.697067711525909]",1
61,"[-5.126480311661454, -4.0558374280453275]",1
62,"[6.635859649968557, -7.367006836598884]",1
63,"[7.9036560077557025, 2.386971328206036]",1
64,"[7.8752617060098595, 0.9044884827742065]",1
65,"[9.841057976160247, -1.8795679753318728]",1
66,"[-0.7031917273022543, 6.497847658221786]",1
67,"[-3.838480844185117, 12.562622200312417]",1
68,"[1.7514166336391777, 13.350449424485705]",1
69,"[5.694268090588187, 6.019875440627842]",1
70,"[-5.546797110997027, 11.396505795753594]",1
71,"[-10.242673944734632, -5.309186385766577]",1
72,"[7.698790265104037, -12.594608668037855]",1
73,"[0.473876438012768, -1.89880379526146]",1
74,"[-5.546260173742851, -7.9363486694699175]",1
75,"[0.5904334578885726, 8.52662721597913]",1
76,"[2.6548454498792275, 5.7730161751603175]",1
77,"[-1.0373137253485014, 9.643832390454563]",1
78,"[3.03491842489181, 5.547764688442014]",1
79,"[4.748111372523963, 8.075861304085475]",1
80,"[7.572110629428386, 6.053537378353047]",1
81,"[-5.951027089603143, 5.834777465209645]",1
82,"[-1.1910470837312706, 6.711242848502088]",1
83,"[-1.7411714818137038, 7.198084940952413]",1
84,"[-9.311775943632593, -5.648730360910863]",1
85,"[-7.909884371133917, -8.117009238581144]",1
86,"[6.034355582570806, 5.640735803264568]",1
87,"[3.301897056816013, 10.297328892448624]",1
88,"[-0.23047537088554992, 6.711672665966726]",1
89,"[-10.54864920329506, 9.37936914264315]",1
90,"[-11.92753647978885, 7.874734449495496]",1
